inchikey	smiles	chembl_id	name
MPUQHZXIXSTTDU-QXGSTGNESA-N	NS(=O)(=O)OC[C@@H]1C[C@@H](n2ccc3c(N[C@H]4CCc5ccccc54)ncnc32)C[C@@H]1O	CHEMBL1231160	PEVONEDISTAT
GOVYBPLHWIEHEJ-UHFFFAOYSA-N	CN1CCc2c(c3ccccc3n2Cc2ccc(C(=O)NO)cc2)C1	CHEMBL2018302	Tubastatin-A
LDGIHZJOIQSHPB-UHFFFAOYSA-N	O=C(O)c1ccc2cc(-c3ccc(O)c(C45CC6CC(CC(C6)C4)C5)c3)ccc2c1	CHEMBL1180	AHPN
CYOHGALHFOKKQC-UHFFFAOYSA-N	Cn1cnc2c(F)c(Nc3ccc(Br)cc3Cl)c(C(=O)NOCCO)cc21	CHEMBL1614701	SELUMETINIB
XQVVPGYIWAGRNI-JOCHJYFZSA-N	CC[C@@H]1C(=O)N(C)c2cnc(Nc3ccc(C(=O)NC4CCN(C)CC4)cc3OC)nc2N1C1CCCC1	CHEMBL513909	BI 2536
AQGNHMOJWBZFQQ-UHFFFAOYSA-N	Cc1c[nH]c(-c2cnc(NCCNc3ccc(C#N)cn3)nc2-c2ccc(Cl)cc2Cl)n1	CHEMBL412142	CHIR-99021
MFFMDFFZMYYVKS-SECBINFHSA-N	N[C@@H](CC(=O)N1CCn2c(nnc2C(F)(F)F)C1)Cc1cc(F)c(F)cc1F	CHEMBL1422	SITAGLIPTIN
QJJXYPPXXYFBGM-LFZNUXCKSA-N	C=CC[C@@H]1/C=C(\C)C[C@H](C)C[C@H](OC)[C@H]2O[C@@](O)(C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@H](/C(C)=C/[C@@H]3CC[C@@H](O)[C@H](OC)C3)[C@H](C)[C@@H](O)CC1=O)[C@H](C)C[C@@H]2OC	CHEMBL269732	TACROLIMUS
MVCOAUNKQVWQHZ-UHFFFAOYSA-N	Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(OCCN3CCOCC3)c3ccccc23)cc1	CHEMBL103667	DORAMAPIMOD
AUMDBEHGJRZSOO-UHFFFAOYSA-N	Nc1ncnc2c1c(COc1cccc(Cl)c1)nn2C1CCOCC1	CHEMBL2069623	PF-4800567
BKWJAKQVGHWELA-UHFFFAOYSA-N	C=CCn1c(=O)c2cnc(Nc3ccc(N4CCN(C)CC4)cc3)nc2n1-c1cccc(C(C)(C)O)n1	CHEMBL1976040	Adavosertib
ZNNLBTZKUZBEKO-UHFFFAOYSA-N	COc1ccc(Cl)cc1C(=O)NCCc1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1	CHEMBL472	GLYBURIDE
WSEQXVZVJXJVFP-UHFFFAOYSA-N	CN(C)CCCC1(c2ccc(F)cc2)OCc2cc(C#N)ccc21	CHEMBL549	CITALOPRAM
OBSYBRPAKCASQB-AGQYDFLVSA-N	COC(=O)[C@@H]1C[C@H](OC(C)=O)C(=O)[C@H]2[C@@]1(C)CC[C@H]1C(=O)O[C@H](c3ccoc3)C[C@]21C	CHEMBL445332	SALVINORIN A
FAEKWTJYAYMJKF-QHCPKHFHSA-N	CCOc1cc(CC(=O)N[C@@H](CC(C)C)c2ccccc2N2CCCCC2)ccc1C(=O)O	CHEMBL1272	REPAGLINIDE
HPJKCIUCZWXJDR-UHFFFAOYSA-N	N#Cc1ccc(C(c2ccc(C#N)cc2)n2cncn2)cc1	CHEMBL1444	LETROZOLE
QXKHYNVANLEOEG-UHFFFAOYSA-N	COc1c2occc2cc2ccc(=O)oc12	CHEMBL416	METHOXSALEN
QLHHRYZMBGPBJG-UHFFFAOYSA-N	CNC(=O)Nc1ccc(-c2nc(N3CC4CCC(C3)O4)c3cnn(C4CCC5(CC4)OCCO5)c3n2)cc1	CHEMBL601661	WYE-125132
YIQPUIGJQJDJOS-UHFFFAOYSA-N	c1cc(CN2CCCNCCNCCCNCC2)ccc1CN1CCCNCCNCCCNCC1	CHEMBL18442	PLERIXAFOR
YEVOZZZLKJKCCD-UHFFFAOYSA-N	CNc1nc(Nc2ccc(C(=O)N3CCOCC3)cc2OC)ncc1Cl	CHEMBL2170016	HG-10-102-01
YEEZWCHGZNKEEK-UHFFFAOYSA-N	COc1cc(C(=O)NS(=O)(=O)c2ccccc2C)ccc1Cc1cn(C)c2ccc(NC(=O)OC3CCCC3)cc12	CHEMBL603	ZAFIRLUKAST
TXEBNKKOLVBTFK-UHFFFAOYSA-N	C=CC(=O)Nc1cccc(C)c1Nc1ncc2cc(-c3c(Cl)c(OC)cc(OC)c3Cl)ccc2n1	CHEMBL4068896	BLU-9931
YOVVNQKCSKSHKT-HNNXBMFYSA-N	Cc1c(CN2CCN(C(=O)[C@H](C)O)CC2)sc2c(N3CCOCC3)nc(-c3cnc(N)nc3)nc12	CHEMBL1922094	APITOLISIB
