target_key	name	type
BRD7@BRD		
BRD9@BRD		
NTRK1		
NTRK2		
NTRK3		
DDR1		
DDR2		
JAK3@kinase 1		
CLK4		
DYRK1A		
DYRK1B		
DYRK2		
CLK1		
CLK2		
PIKFYVE		
SRPK1		
SRPK2		
SRPK3		
PRMT6@Methyltransferase		
PRMT8@Methyltransferase		
PRMT1@Methyltransferase		
PRMT3@Methyltransferase		
CARM1@Methyltransferase		
RORC		
NR1F3		
NR1H2		
NR1H3		
NR1I2		
ACVR1B		
TGFBR1		
BTK		
BMX		
PIK3CA		
PIK3CB		
PIK3CG		
PIK3CD		
WNK1		
WNK2		
WNK3		
WNK4		
PBK		
CDK11B		
MAPKAPK2		
MAPKAPK3		
MAPKAPK5		
CDK14		
CDK16		
CDK2		
CDK9		
NR1H4		
CDK13		
BRDT		
BRD2		
BRD3		
BRD4		
CTNNB1		
MAPK7		
MAP2K1		
MAP2K2		
AURKB		
GSK3A		
GSK3B		
AKT1		
AKT2		
AKT3		
MAPK11		
MAPK14		
STK6		
ROCK1		
ROCK2		
BRAF		
PTK2		
PTK2B		
EPHA2		
EPHB4		
MERTK		
TYRO3		
AXL		
PDPK1		
PRKCA		
PRKCB		
PRKCG		
PRKCE		
CDK8		
PAK1		
AAK1		
BMP2K		
CAMKK2		
PLK1		
STK3		
STK4		
NR2B1		
NR2B2		
NR2B3		
PPARA		
PPARG		
NR1C1		
NR1C3		
NR1C2		
PPARD		
BRD1@BRD		
TAF1@BD2		
BAZ2A@BRD		
BAZ2B@BRD		
SUV420H1@Methyltransferase		
SUV420H2@Methyltransferase		
EHMT1/GLP@Methyltransferase		
EHMT2/G9a@Methyltransferase		
CREBBP@BRD		
EP300@BRD		
SETD7		
PRMT5		
PBRM1@BRD		
SMARCA2@BRD		
SMARCA4@BRD		
BRD4@BD2		
BRDT@BD1		
BRDT@BD2		
BRD2@BD1		
BRD2@BD2		
BRD3@BD1		
BRD3@BD2		
BRD4@BD1		
CECR2@BRD		
BRPF1@BRD		
BRPF3@BRD		
GAK		
EZH1@Methyltransferase		
EZH2@Methyltransferase		
WDR5		
KDM1A/LSD1@Demethylase		
L3MBTL3@MBT1		
DOT1L@Methyltransferase		
KDM6A/UTX@Demethylase		
KAT2B@BRD		
KAT2A@BRD		
EED		
SMYD2		
SMYD3@Methyltransferase		
IDH1(R132C)		
IDH1(R132H)		
IDH1(R132G)		
BRD7		
BRD9		
EGLN1		
CARM1		
LIMK1		
LIMK2		
PRDM9		
PRMT7		
MAP4K2		
MALT1		
