target_key	type	name
PLK1	protein	Serine/threonine-protein kinase PLK1
BRD4	protein	Bromodomain-containing protein 4
BRD2	protein	Bromodomain-containing protein 2
PARP1	protein	Poly [ADP-ribose] polymerase 1
PARP 1, 2 and 3	family	PARP 1, 2 and 3
CDK1/cyclin B1	complex	Cyclin-dependent kinase 1/cyclin B1
