inchikey	portal_path	published_date	pains	toxicophore	cansar_id	rating_in_cell	rating_in_organism	rating_count	reference	source_id
YYLKKYCXAOBSRM-JXMROGBWSA-N	unsuitables/kw-2449	2016-12-09	No	No	1708627	0	0	0		997
OWRXHGAFWZFFCW-UHFFFAOYSA-N	unsuitables/kinome1194	2016-12-09	No	No	455055	0	0	0		998
JZTOUVBEZONDKA-UHFFFAOYSA-N	unsuitables/kinome2079	2016-12-09	No	No	1720177	0	0	0		999
RYYNGWLOYLRZLK-UHFFFAOYSA-N	unsuitables/pf-03814735	2016-12-09	No	No	593029	0	0	0		1000
FUMCKNCUEAQHCV-XYPYZODXSA-N	unsuitables/chembl2062936	2016-12-09	No	No	1543298	0	0	0		1001
ZGZVRPRSFXRGCF-UHFFFAOYSA-N	unsuitables/kinome1054	2016-12-09	No	No	593085	0	0	0		1002
ZPEIMTDSQAKGNT-UHFFFAOYSA-N	unsuitables/chlorpromazine	2016-12-09	No	No	1233755	0	0	0		1003
CGIGDMFJXJATDK-UHFFFAOYSA-N	unsuitables/indometacin	2016-12-09	No	No	1616755	0	0	0		1004
GCBJDOWIQHMCMR-UHFFFAOYSA-N	unsuitables/kinome1199	2016-12-09	No	No	1705658	0	0	0		1005
KRIUNPBAQZGFQA-UHFFFAOYSA-N	unsuitables/zinc04335977	2016-12-09	No	Yes	1049783	0	0	0		1006
HJGFPNFAFSFDNN-UHFFFAOYSA-N	unsuitables/cx5011	2016-12-09	No	No	1798236	0	0	0		1007
BPNUQXPIQBZCMR-IBGZPJMESA-N	unsuitables/674563	2016-12-08	No	No	1807394	0	0	0		1008
RFAXLXKIAKIUDT-UHFFFAOYSA-N	unsuitables/ipa-3	2017-01-04	No	Yes	1503412	0	0	0		1009
KRMDCWKBEZIMAB-UHFFFAOYSA-N	unsuitables/amitriptyline	2016-12-09	Yes	No	1253640	0	0	0		1010
DDLZLOKCJHBUHD-WAVHTBQISA-N	unsuitables/6-bromoindirubin-3-oxime	2016-12-09	No	Yes	1322637	0	0	0		1011
UUADYKVKJIMIPA-UHFFFAOYSA-N	unsuitables/enzastaurin-hydrochloride	2016-12-09	No	Yes	826365	0	0	0		1012
KSOVGRCOLZZTPF-UHFFFAOYSA-N	unsuitables/kinome635	2016-12-09	Yes	No	521608	0	0	0		1013
ZVWRFVCNQOECJS-UHFFFAOYSA-N	unsuitables/kinome1202	2016-12-09	No	No	292199	0	0	0		1014
VADOZMZXXRBXNY-UHFFFAOYSA-N	unsuitables/chembl3115681	2016-12-09	Yes	No	462817	0	0	0		1015
UIARLYUEJFELEN-LROUJFHJSA-N	unsuitables/lestaurtinib	2016-12-09	No	No	578962	0	0	0		1016
BSFNGHCTZDCQBF-UHFFFAOYSA-N	unsuitables/kinome1901	2016-12-09	No	No	698309	0	0	0		1017
LYNBNVBMAGDJRW-UHFFFAOYSA-N	unsuitables/4-anilinopyrimidine-8c	2016-12-09	No	No	1493914	0	0	0		1018
GCYXEGSPUDSZJY-PTNGSMBKSA-N	unsuitables/gw8510	2016-12-09	Yes	Yes	352155	0	0	0		1019
YMIJUBCSOKSFRU-UHFFFAOYSA-N	unsuitables/4-anilinopyrimidine-15a	2016-12-09	No	No	1699687	0	0	0		1020
KLBQZWRITKRQQV-UHFFFAOYSA-N	unsuitables/thioridazine	2016-12-09	No	No	1583578	0	0	0		1021
GPSZYOIFQZPWEJ-UHFFFAOYSA-N	unsuitables/cyc-116	2016-12-09	Yes	No	1709990	0	0	0		1022
BIIVYFLTOXDAOV-YVEFUNNKSA-N	unsuitables/flavopiridol	2016-12-09	No	No	1905588	0	0	0		1023
OUSFTKFNBAZUKL-UHFFFAOYSA-N	unsuitables/bms-387032	2016-12-09	No	No	1596650	0	0	0		1024
JPYQFPGTGGLOMD-UHFFFAOYSA-N	unsuitables/chembl1649761	2016-12-09	No	No	1643156	0	0	0		1025
BQDHCGJUSXMIIS-UHFFFAOYSA-N	unsuitables/schembl3814469	2016-12-09	No	No	3312912	0	0	0		1026
AFSDNFLWKVMVRB-UHFFFAOYSA-N	unsuitables/ellagic-acid	2016-12-09	Yes	Yes	1305685	0	0	0		1027
AYQYIBVVCJFCAE-KSEXSDGBSA-N	unsuitables/c646	2016-12-13	Yes	No	654302	0	0	0		1028
XHBVYDAKJHETMP-UHFFFAOYSA-N	unsuitables/dorsomorphin	2016-12-15	No	No	252407	0	0	0		1029
SHPFDGWALWEPGS-UHFFFAOYSA-N	unsuitables/ki-20227	2017-03-02	No	No	592278	0	0	0		1030
MLKHXLFEYOOYEY-NVNXTCNLSA-N	unsuitables/k00564a	2021-02-18	Yes	No	1588377	0	0	0		1031
FMETVQKSDIOGPX-UHFFFAOYSA-N	unsuitables/lck-inhibitor	2017-03-02	No	No	1889063	0	0	0		1032
SXOZSDJHGMAEGZ-IGKKHSBFSA-N	unsuitables/sl0101	2017-03-02	No	No	716875	0	0	0		1033
BLQYVHBZHAISJM-CMDGGOBGSA-N	unsuitables/enmd-2076	2017-02-01	No	No	1907784	0	0	0		1034
CXQHYVUVSFXTMY-UHFFFAOYSA-N	unsuitables/foretinib	2017-02-01	No	No	916365	0	0	0		1035
XZXHXSATPCNXJR-UHFFFAOYSA-N	unsuitables/ninetedanib	2017-02-01	No	Yes	826661	0	0	0		1036
IFPPYSWJNWHOLQ-UHFFFAOYSA-N	unsuitables/pd166285	2017-02-01	No	No	614800	0	0	0		1037
ZBNZXTGUTAYRHI-UHFFFAOYSA-N	unsuitables/dasatinib	2017-02-01	No	No	501089	0	0	0		1038
GCIKSSRWRFVXBI-UHFFFAOYSA-N	unsuitables/tozasertib	2017-02-01	No	No	567748	0	0	0		1039
JJWMRRNGWSITSQ-UHFFFAOYSA-N	unsuitables/upf1069	2017-01-31	No	No	1302916	0	0	0		1040
HAYYBYPASCDWEQ-UHFFFAOYSA-N	unsuitables/entrectinib	2017-02-01	No	No	849266	0	0	0		1041
GKEYKDOLBLYGRB-LGMDPLHJSA-N	unsuitables/famitinib	2017-02-01	No	No	265157	0	0	0		1042
JLYAXFNOILIKPP-KXQOOQHDSA-N	unsuitables/navitoclax	2017-01-31	No	Yes	997861	0	0	0		1043
UQTPDWDAYHAZNT-AWEZNQCLSA-N	unsuitables/ns-018	2017-02-01	No	No	147527	0	0	0		1044
WVXNSAVVKYZVOE-UHFFFAOYSA-N	unsuitables/rebastinib	2017-02-01	No	No	848780	0	0	0		1045
MLDQJTXFUGDVEO-UHFFFAOYSA-N	unsuitables/sorafenib	2017-02-01	No	No	429624	0	0	0		1046
UYJZZVDLGDDTCL-UHFFFAOYSA-N	unsuitables/pj34	2017-01-31	No	No	1321633	0	0	0		1047
WVMANZPBOBRWCB-UHFFFAOYSA-N	unsuitables/aloisine	2017-02-01	No	No	1264460	0	0	0		1048
QYPJBTMRYKRTFG-UHFFFAOYSA-N	unsuitables/maritoclax	2017-03-13	No	No	466403	0	0	0		1049
