id	inchikey	target_id	moa	bioactivity_type	relation	value	unit	assay_type	assay_description	cell_line	concentration	concentration_unit	source_id	source_xref
3098	LTNDTFYBIKTRBQ-UHFFFAOYSA-N	323	covalent inhibitor			40	nM	biochemical	PhosphoSens assay @ 60 min				828	jnk2_3-cov56d
3099	LTNDTFYBIKTRBQ-UHFFFAOYSA-N	323	covalent inhibitor			5	nM	biochemical	KINOMEscan				828	jnk2_3-cov56d
3100	LTNDTFYBIKTRBQ-UHFFFAOYSA-N	323	covalent inhibitor			1909	nM	biochemical	33PanQuinase assay				828	jnk2_3-cov56d
3101	OVUNRYUVDVWTTE-UHFFFAOYSA-N	288	antagonist					biochemical					829	jnj-31020028
3102	OVUNRYUVDVWTTE-UHFFFAOYSA-N	288	antagonist	IC50		10	nM	cell	"Inhibition of the PYY binding to human Y2 receptors in
KAN-Ts cells"				829	jnj-31020028
3103	OVUNRYUVDVWTTE-UHFFFAOYSA-N	288	antagonist			10	nM	cell	FLIPR assay (pKB =−log IC50/1 + [conc agonist/EC50]				829	jnj-31020028
3104	HUOLMBXGHHSYHC-QWQFASRJSA-N	389	inhibitor			12	nM	binding	SPR assay | 12 ± 6 nM				830	nx-1607
3105	HUOLMBXGHHSYHC-QWQFASRJSA-N	389	inhibitor			12	degC	binding	DSF assay | 12 ± 0.2 °C				830	nx-1607
3106	HUOLMBXGHHSYHC-QWQFASRJSA-N	389	inhibitor			1.84	nM	biochemical	TR-FRET				830	nx-1607
3107	HUOLMBXGHHSYHC-QWQFASRJSA-N	389	inhibitor	ΔTm	>	15	degC	cell	HiBIT target engagement cellular thermal shift assay (CETSA)				830	nx-1607
3108	HUOLMBXGHHSYHC-QWQFASRJSA-N	389	inhibitor	EC50		54.3	nM	cell	IL-2 secreation measurement (ELISA assay)				830	nx-1607
3109	HUOLMBXGHHSYHC-QWQFASRJSA-N	389	inhibitor	EC50		26.8	nM	cell	Cell proliferation assay				830	nx-1607
3110	CEGVLCNHZDUFIJ-NSHDSACASA-N	517	inhibitor	Ki		14	nM	cell	Cell-Based NanoBRET Tracer Competition Binding Experiments in Human HEK293 Cells				831	azd4144
3111	CEGVLCNHZDUFIJ-NSHDSACASA-N	517	inhibitor	IC50		76	nM	cell	Inflammasome Speck Formation Assay				831	azd4144
3112	CEGVLCNHZDUFIJ-NSHDSACASA-N	517	inhibitor	IC50		27	nM	cell	NLRP3 IL-1β Release Assays				831	azd4144
3113	CEGVLCNHZDUFIJ-NSHDSACASA-N	517	inhibitor	IC50		25	nM	cell	AIM2 IL-1β Release Assay				831	azd4144
3114	ZVDNXHUSIKGTSF-UHFFFAOYSA-N	606	inhibitor			31	nM	biochemical	Enzymatic assay				832	rentosertib
3115	ZVDNXHUSIKGTSF-UHFFFAOYSA-N	606	inhibitor			4.3	nM	binding	SPR assay				832	rentosertib
3116	ZVDNXHUSIKGTSF-UHFFFAOYSA-N	606	inhibitor			14.7	nM	biochemical	FRET assay @ 64 uM ATP				832	rentosertib
3117	ZVDNXHUSIKGTSF-UHFFFAOYSA-N	606	inhibitor			7.8	nM	biochemical	Radiometric assay				832	rentosertib
3118	ZVDNXHUSIKGTSF-UHFFFAOYSA-N	606	inhibitor	IC50		63	nM	cell	HSC activation				832	rentosertib
3119	ZVDNXHUSIKGTSF-UHFFFAOYSA-N	606	inhibitor	IC50		27	nM	cell	Reduction of TGF-β-mediated α-SMA expression in lung fibroblast cells				832	rentosertib
3120	QJWQAZTYFYCFQU-RMKNXTFCSA-N	260	inhibitor			51	nM	biochemical	Inhibition of the NADP+-dependent oxidation of S-tetralol catalyzed by AKR1C3. | 51 ± 6 nM				833	unmck90
3121	NORRDWRSNUOCBV-XCIZWWPASA-N	501	degrader (protac)			11	nM	binding	Fluorescence Polarization (FP) assay				834	cbpd-268
3122	NORRDWRSNUOCBV-XCIZWWPASA-N	501	degrader (protac)	DC50		0.5	nM	cell	CBP degradation activity was tested using HiBiT assay with 24 h treatment time and Dmax 100%				834	cbpd-268
3123	NORRDWRSNUOCBV-XCIZWWPASA-N	501	degrader (protac)	DC50		0.01	nM	cell	Degradation detected via western blot Dmax 98% after 4 h				834	cbpd-268
3124	NORRDWRSNUOCBV-XCIZWWPASA-N	501	degrader (protac)	DC50		0.02	nM	cell	Degradation detected via western blot Dmax 99% after 4 h				834	cbpd-268
3125	NORRDWRSNUOCBV-XCIZWWPASA-N	501	degrader (protac)	IC50		3.7	nM	cell	Cell growth inhibition assay over 4 days (CellTiter-Glo)				834	cbpd-268
3126	NORRDWRSNUOCBV-XCIZWWPASA-N	501	degrader (protac)	IC50		10.3	nM	cell	Cell growth inhibition assay over 4 days (CellTiter-Glo)				834	cbpd-268
3127	NORRDWRSNUOCBV-XCIZWWPASA-N	501	degrader (protac)	IC50		4.6	nM	cell	Cell growth inhibition assay over 4 days (CellTiter-Glo)				834	cbpd-268
3128	NORRDWRSNUOCBV-XCIZWWPASA-N	376	degrader (protac)			9.5	nM	binding	Fluorescence Polarization (FP) assay				834	cbpd-268
3129	NORRDWRSNUOCBV-XCIZWWPASA-N	376	degrader (protac)	DC50		0.8	nM	cell	p300 degradation activity was tested using HiBiT assay with 24 h treatment time and Dmax 100%				834	cbpd-268
3130	NORRDWRSNUOCBV-XCIZWWPASA-N	376	degrader (protac)	DC50		0.03	nM	cell	Degradation detected via western blot Dmax 98% after 4 h				834	cbpd-268
3131	NORRDWRSNUOCBV-XCIZWWPASA-N	376	degrader (protac)	DC50	<	0.01	nM	cell	Degradation detected via western blot Dmax 99% after 4 h				834	cbpd-268
3132	BFMWIVWPPKENIN-AWEZNQCLSA-N	622	inhibitor			3.4	nM	biochemical	Biochemical assay				835	art5537
3133	BFMWIVWPPKENIN-AWEZNQCLSA-N	622	inhibitor			6.8	nM	binding	SPR				835	art5537
3134	BFMWIVWPPKENIN-AWEZNQCLSA-N	622	inhibitor	EC50		55	nM	cell	NanoBRET				835	art5537
3135	BFMWIVWPPKENIN-AWEZNQCLSA-N	622	inhibitor	EC50		7.2	nM	cell	HR reporter assay				835	art5537
3136	BFMWIVWPPKENIN-AWEZNQCLSA-N	622	inhibitor	activity		1	uM	cell	dose-dependent retention of GPF2-EXO1 on chromatin				835	art5537
