id	inchikey	target_id	moa	bioactivity_type	relation	value	unit	assay_type	assay_description	cell_line	concentration	concentration_unit	source_id	source_xref
3226	IYFKRANQUJUTKF-UHFFFAOYSA-N	247	degrader (protac)	Dmax		89	%	cell	Decreased level of αSyn aggregates (seeded) in model cells after treatment of 48 h				861	alphasyn-protac-2b
3227	IYFKRANQUJUTKF-UHFFFAOYSA-N	247	degrader (protac)	DC50		7510	nM	cell	Decreased level of αSyn aggregates (seeded) in model cells after treatment of 48 h | 7510 ± 530 nM				861	alphasyn-protac-2b
3228	LDFDXTNMCGLUMQ-YGKODULZSA-N	150	inhibitor			140	nM	biochemical	Biolayer interferometry (BLI) assay				862	nu227326
3229	LDFDXTNMCGLUMQ-YGKODULZSA-N	150	inhibitor			321	nM	biochemical	Biolayer interferometry (BLI) assay of the ternary complex IDO1-PROTAC-CRBN				862	nu227326
3230	LDFDXTNMCGLUMQ-YGKODULZSA-N	150	inhibitor	DC50		4.6	nM	cell	Target degradation followed by Western Blot at 24h				862	nu227326
3231	LDFDXTNMCGLUMQ-YGKODULZSA-N	150	inhibitor	Dmax		63	%	cell	Target degradation followed by Western Blot at 24h				862	nu227326
3232	RIEBAXQZOMUWKX-UHFFFAOYSA-N	569	agonist	EC50		19	nM	cell	IP-One assay				863	t-10430
3233	RIEBAXQZOMUWKX-UHFFFAOYSA-N	569	agonist	EC50		0.51	nM	cell	cAMP assay				863	t-10430
3234	RIEBAXQZOMUWKX-UHFFFAOYSA-N	569	agonist	EC50		31	nM	cell	Tag-lite displacement on BLT2				863	t-10430
3235	LPDOIXPRZOWBJV-HOCLYGCPSA-N	301	inhibitor			12.8	nM	biochemical	Kinase activity of recombinant His-tagged KHK isoforms.				864	bi-9787
3236	LPDOIXPRZOWBJV-HOCLYGCPSA-N	301	inhibitor	IC50		123	nM	cell	Quantitative determination of fructose-1-phosphate in HepG2 cells				864	bi-9787
