inchikey	smiles	name
ODPGGGTTYSGTGO-UHFFFAOYSA-N	CCN1CCN(Cc2ccc(NC(=O)Nc3ccc(Oc4cc(NC)ncn4)cc3)cc2C(F)(F)F)CC1	AST 487
WAEXFXRVDQXREF-UHFFFAOYSA-N	O=C(CCCCCCC(=O)Nc1ccccc1)NO	Vorinostat
WINHZLLDWRZWRT-ATVHPVEESA-N	CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C	Sunitinib
HVXKQKFEHMGHSL-QKDCVEJESA-N	COc1cc2c(Nc3ccc(Cl)c(Cl)c3F)ncnc2cc1OC[C@@H]1C[C@@H]2CN(C)C[C@@H]2C1	XL-647
VMWNQDUVQKEIOC-CYBMUJFWSA-N	CN1CCc2cccc3c2[C@H]1Cc1ccc(O)c(O)c1-3	Apomorphine
DYEFUKCXAQOFHX-UHFFFAOYSA-N	O=c1c2ccccc2[se]n1-c1ccccc1	Ebselen
IQPNAANSBPBGFQ-UHFFFAOYSA-N	O=c1cc(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12	Digitoflavone
KZNIFHPLKGYRTM-UHFFFAOYSA-N	O=c1cc(-c2ccc(O)cc2)oc2cc(O)cc(O)c12	Apigenin
ZIUSSTSXXLLKKK-KOBPDPAPSA-N	COc1cc(/C=C/C(=O)/C=C(O)/C=C/c2ccc(O)c(OC)c2)ccc1O	Curcumin
IZEKFCXSFNUWAM-UHFFFAOYSA-N	OCCN(CCO)c1nc(N2CCCCC2)c2nc(N(CCO)CCO)nc(N3CCCCC3)c2n1	Dipyridamole
KTEIFNKAUNYNJU-GFCCVEGCSA-N	C[C@@H](Oc1cc(-c2cnn(C3CCNCC3)c2)cnc1N)c1c(Cl)ccc(F)c1Cl	Crizotinib
IYIKLHRQXLHMJQ-UHFFFAOYSA-N	CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1	Amiodarone
MPVGZUGXCQEXTM-UHFFFAOYSA-N	Cc1ccc(F)c(NC(=O)Nc2ccc(-c3cccc4[nH]nc(N)c34)cc2)c1	Linifanib
QDPVYZNVVQQULH-UHFFFAOYSA-N	CC(O)C(=O)O.CN1CCN(c2ccc3nc(-c4c(N)c5c(F)cccc5[nH]c4=O)[nH]c3c2)CC1.O	Dovitinib lactate
RTIXKCRFFJGDFG-UHFFFAOYSA-N	O=c1cc(-c2ccccc2)oc2cc(O)cc(O)c12	5,7-Dihydroxyflavone
QQWUGDVOUVUTOY-UHFFFAOYSA-N	COc1cc(N2CCC(N3CCN(C)CC3)CC2)ccc1Nc1ncc(Cl)c(Nc2ccccc2S(=O)(=O)C(C)C)n1	NVP-TAE684
GUBJNPWVIUFSTR-UHFFFAOYSA-N	CN(C)CC(=O)N1CCC(c2ccc(NC(=O)c3nc(C#N)c[nH]3)c(C3=CCCCC3)c2)CC1	JNJ-28312141
WPHKIQPVPYJNAX-UHFFFAOYSA-N	Nc1ncc(-c2cnn(CCO)c2)c2scc(-c3ccc(NC(=O)Nc4cccc(F)c4)cc3)c12	Ilorasertib
XZXHXSATPCNXJR-ZIADKAODSA-N	COC(=O)c1ccc2c(c1)NC(=O)/C2=C(\Nc1ccc(N(C)C(=O)CN2CCN(C)CC2)cc1)c1ccccc1	Intedanib
MZDKLVOWGIOKTN-UHFFFAOYSA-N	CN(c1ncccc1CNc1nc(Nc2ccc3c(c2)CC(=O)N3)ncc1C(F)(F)F)S(C)(=O)=O	PF-562271
QQUXFYAWXPMDOE-UHFFFAOYSA-N	O=C1Cc2c([nH]c3ccc(Br)cc23)-c2ccccc2N1	Kenpaullone
SEJGTFPOEJWEGG-UHFFFAOYSA-N	COc1cc2c(Oc3ccc(NC(=O)C4(C(=O)NC5=CCC(F)C=C5)CC4)cc3F)ccnc2cc1OCCCN1CCOCC1	CHEMBL1908393
JOOXLOJCABQBSG-UHFFFAOYSA-N	Cc1cnc(Nc2ccc(OCCN3CCCC3)cc2)nc1Nc1cccc(S(=O)(=O)NC(C)(C)C)c1	Fedratinib
MVJMMLFMPWITEJ-UHFFFAOYSA-N	N#CCOc1ccc(Nc2nc(Nc3cccc(S(N)(=O)=O)c3)ncc2Br)cc1	Kinome_1198
CTNPALGJUAXMMC-PMFHANACSA-N	Cc1[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c(C)c1C(=O)NC[C@H](O)CN1CCOCC1	SU14813
KDKUVYLMPJIGKA-UHFFFAOYSA-N	Nc1nc(Nc2ccc(S(N)(=O)=O)cc2)nn1C(=O)c1c(F)cccc1F	JNJ-7706621
YYLKKYCXAOBSRM-JXMROGBWSA-N	O=C(c1ccc(/C=C/c2n[nH]c3ccccc23)cc1)N1CCNCC1	KW-2449
OWRXHGAFWZFFCW-UHFFFAOYSA-N	CNS(=O)(=O)c1ccccc1Nc1nc(Nc2cc(OC)c(OC)c(OC)c2)ncc1Cl	Kinome_1194
JZTOUVBEZONDKA-UHFFFAOYSA-N	Cc1cccc(Nc2nc(NC3CCCCC3N)cnc2C(N)=O)c1	Kinome_2079
