id	inchikey	organism	dose_value	dose_unit	route	dose_raw	source_id
193	FSWFYCYPTDLKON-CMJOXMDJSA-N	Monkey (Cynomolgus)				0.50 (IV), 1.50 (PO) mg/Kg	1223
194	FSWFYCYPTDLKON-CMJOXMDJSA-N	Other					1223
195	SKZQFKBIJUXXCG-INIZCTEOSA-N	Rat	1	mg/kg		1 mg/kg	1224
196	SKZQFKBIJUXXCG-INIZCTEOSA-N	Rat	3	mg/kg		3 mg/Kg	1224
197	TVGAHWWPABTBCX-UHFFFAOYSA-N	Mouse	10	mg/kg		10 mg/Kg	1225
198	TVGAHWWPABTBCX-UHFFFAOYSA-N	Mouse	3	mg/kg		3 mg/Kg	1225
199	TVGAHWWPABTBCX-UHFFFAOYSA-N	Mouse	1	mg/kg		1 mg/Kg	1225
200	FRBRZGLUFOZRGD-JVPBZIDWSA-N	Rat	1	mg/kg		1 mg/Kg	1226
201	FRBRZGLUFOZRGD-JVPBZIDWSA-N	Rat	3	mg/kg		3 mg/Kg	1226
202	FRBRZGLUFOZRGD-JVPBZIDWSA-N	Dog	0.5	mg/kg		0.5 mg/Kg	1226
203	FRBRZGLUFOZRGD-JVPBZIDWSA-N	Dog	1	mg/kg		1 mg/Kg	1226
204	PXQATVYJKMMHAU-UHFFFAOYSA-N	Rat					1227
205	PXQATVYJKMMHAU-UHFFFAOYSA-N	Dog					1227
206	PXQATVYJKMMHAU-UHFFFAOYSA-N	Monkey (Cynomolgus)					1227
207	YNFDIGJKJPNFFD-SJORKVTESA-N	Rat	4	mg/kg		4 mg/kg	1228
208	RPHDOVLXDYWDGF-UHFFFAOYSA-N	Mouse	10	mg/kg		10 mg/kg	1229
209	KVJFJJXCBRSCDY-UHFFFAOYSA-N	Mouse	100	mg/kg		100 mg/Kg BID	1230
210	PGIVGIFOWOVINL-GOSISDBHSA-N	Rat	0.3	mg/kg		0.3 mg/Kg	1231
211	WZQLVEPIBAOOGF-RMMWZPCPSA-N	Rat	1	mg/kg		1 mg/Kg	1232
212	WZQLVEPIBAOOGF-RMMWZPCPSA-N	Rat	3	mg/kg		3 mg/Kg	1232
213	WZQLVEPIBAOOGF-RMMWZPCPSA-N	Dog	1	mg/kg		1 mg/Kg	1232
214	WZQLVEPIBAOOGF-RMMWZPCPSA-N	Dog	2	mg/kg		2 mg/Kg	1232
215	QZZCUOVXHPAQRQ-UHFFFAOYSA-N	Rat	1	mg/kg		1 mg/Kg	1233
216	QZZCUOVXHPAQRQ-UHFFFAOYSA-N	Rat	3	mg/kg		3 mg/Kg	1233
217	QZZCUOVXHPAQRQ-UHFFFAOYSA-N	Dog	0.5	mg/kg		0.5 mg/Kg	1233
218	QZZCUOVXHPAQRQ-UHFFFAOYSA-N	Dog	1	mg/kg		1.0 mg/Kg	1233
219	JZTTUZXIQIRVAB-FZEVHQGJSA-N	Mouse	3	mg/kg		3 mg/Kg	1234
220	JZTTUZXIQIRVAB-FZEVHQGJSA-N	Mouse	3	mg/kg		3 mg/Kg	1234
221	ZLGNYFOIDAVMHY-MPKOGUQCSA-N	Mouse	25	mg/kg	IV	25 mg/Kg IV once weekly, 10 mg/Kg 3 times weekly, 25 mg/Kg 5 days a week for 2 weeks, 50 mg/Kg every other day for 3 weeks	142
222	ZLGNYFOIDAVMHY-MPKOGUQCSA-N	Mouse	10	mg/kg		25 mg/Kg IV once weekly, 10 mg/Kg 3 times weekly, 25 mg/Kg 5 days a week for 2 weeks, 50 mg/Kg every other day for 3 weeks	142
223	ZLGNYFOIDAVMHY-MPKOGUQCSA-N	Mouse	25	mg/kg		25 mg/Kg IV once weekly, 10 mg/Kg 3 times weekly, 25 mg/Kg 5 days a week for 2 weeks, 50 mg/Kg every other day for 3 weeks	142
224	ZLGNYFOIDAVMHY-MPKOGUQCSA-N	Mouse	50	mg/kg		25 mg/Kg IV once weekly, 10 mg/Kg 3 times weekly, 25 mg/Kg 5 days a week for 2 weeks, 50 mg/Kg every other day for 3 weeks	142
225	QULDDKSCVCJTPV-UHFFFAOYSA-N	Mouse	125	mg/kg		31, 62.5, 125 mg/Kg, 75, 150 mg/Kg, 100 mg/Kg	143
226	QULDDKSCVCJTPV-UHFFFAOYSA-N	Mouse	150	mg/kg		31, 62.5, 125 mg/Kg, 75, 150 mg/Kg, 100 mg/Kg	143
227	QULDDKSCVCJTPV-UHFFFAOYSA-N	Mouse	100	mg/kg		31, 62.5, 125 mg/Kg, 75, 150 mg/Kg, 100 mg/Kg	143
228	BLVQHYHDYFTPDV-VCABWLAWSA-N	Other	10	mg/mL		10 mg/mL	144
229	VLLFGVHGKLDDLW-SFHVURJKSA-N	Rat	0.3	mg		0.3 mg /Kg	1235
230	VLLFGVHGKLDDLW-SFHVURJKSA-N	Rat	1	mg/kg		1 mg/Kg	1235
231	VLLFGVHGKLDDLW-SFHVURJKSA-N	Dog	0.3	mg/kg		0.3 mg/Kg	1235
232	VLLFGVHGKLDDLW-SFHVURJKSA-N	Dog	1	mg/kg		1 mg/Kg	1235
233	VLLFGVHGKLDDLW-SFHVURJKSA-N	Monkey (Cynomolgus)	0.3	mg/kg		0.3 mg/Kg	1235
234	VLLFGVHGKLDDLW-SFHVURJKSA-N	Monkey (Cynomolgus)	0.3	mg/kg		0.3 mg/Kg	1235
235	UEMQPCYDWCSVCU-UHFFFAOYSA-N	Mouse	3	mg/kg	PO	3 mg/kg (oral), 1 mg/kg (IV)	146
236	UEMQPCYDWCSVCU-UHFFFAOYSA-N	Mouse	1	mg/kg	IV	3 mg/kg (oral), 1 mg/kg (IV)	146
237	XMBSZPZJLPTFMV-UHFFFAOYSA-N	Mouse	3	mg/kg	IV	3 mg/Kg IV, 10 mg/Kg PO, up to 50 mg/Kg	147
238	XMBSZPZJLPTFMV-UHFFFAOYSA-N	Mouse	10	mg/kg	PO	3 mg/Kg IV, 10 mg/Kg PO, up to 50 mg/Kg	147
239	XMBSZPZJLPTFMV-UHFFFAOYSA-N	Mouse	50	mg/kg		3 mg/Kg IV, 10 mg/Kg PO, up to 50 mg/Kg	147
240	QYDASSGXBXGRBS-CKJXQJPGSA-N	Other	1	mg/kg		1 mg/kg and 30 mg/kg	151
241	QYDASSGXBXGRBS-CKJXQJPGSA-N	Other	30	mg/kg		1 mg/kg and 30 mg/kg	151
242	YQOLEILXOBUDMU-KRWDZBQOSA-N	Other	3	mg/kg		3-30 mg/Kg	152
243	JNSLBXJNVHYNNW-CXNSMIOJSA-N	Mouse	50	mg/kg		50 mg/kg	153
244	RNQODBQYMXYMCT-SJORKVTESA-N	Other					1236
245	RFZQYGBLRIKROZ-PCLIKHOPSA-N	Mouse	3	mg/kg		3 mg/Kg	1237
246	RFZQYGBLRIKROZ-PCLIKHOPSA-N	Mouse	10	mg/kg		10 mg/Kg	1237
247	RFZQYGBLRIKROZ-PCLIKHOPSA-N	Mouse	30	mg/kg		30 mg/Kg	1237
248	BPLVDYJDAVYLRQ-UHFFFAOYSA-N	Rat	10	mg/kg		10 mg/Kg	1238
249	WNEILUNVMHVMPH-UHFFFAOYSA-N	Other	8	mg/kg		0.5, 1, 2, 4, 8 mg/Kg	160
250	AEJOEPSMZCEYJN-HXUWFJFHSA-N	Other	10	mg/kg		10 mg/kg	162
251	OJKONCJPCULNOW-DYVFJYSZSA-N	Other	100	mg/kg		1, 3, 10, 100 mg/Kg	164
252	YDNOHCOYQVZOMC-UHFFFAOYSA-N	Other	75	mg/kg		75 mg/Kg	165
253	OFWWWKWUCDUISA-UHFFFAOYSA-N	Rat					166
254	CDQRIIUMNLMHRH-UHFFFAOYSA-N	Other	10	mg/kg	PO	10 mg/kg (oral); 1 mg/kg (IV)	1239
255	CDQRIIUMNLMHRH-UHFFFAOYSA-N	Other	1	mg/kg	IV	10 mg/kg (oral); 1 mg/kg (IV)	1239
256	CHEANNSDVJOIBS-MHZLTWQESA-N	Other	1	mg/kg	IV	1 mg/kg, iv; 5 mg/kg, po (M), 0.5 mg/kg, iv; 2 mg/kg, po (R), 0.5 mg/kg, iv; 2 mg/kg, po (C), up to 100 mg/Kg po	168
257	CHEANNSDVJOIBS-MHZLTWQESA-N	Other	5	mg/kg	PO	1 mg/kg, iv; 5 mg/kg, po (M), 0.5 mg/kg, iv; 2 mg/kg, po (R), 0.5 mg/kg, iv; 2 mg/kg, po (C), up to 100 mg/Kg po	168
258	CHEANNSDVJOIBS-MHZLTWQESA-N	Other	0.5	mg/kg	IV	1 mg/kg, iv; 5 mg/kg, po (M), 0.5 mg/kg, iv; 2 mg/kg, po (R), 0.5 mg/kg, iv; 2 mg/kg, po (C), up to 100 mg/Kg po	168
259	CHEANNSDVJOIBS-MHZLTWQESA-N	Other	2	mg/kg	PO	1 mg/kg, iv; 5 mg/kg, po (M), 0.5 mg/kg, iv; 2 mg/kg, po (R), 0.5 mg/kg, iv; 2 mg/kg, po (C), up to 100 mg/Kg po	168
260	CHEANNSDVJOIBS-MHZLTWQESA-N	Other	0.5	mg/kg	IV	1 mg/kg, iv; 5 mg/kg, po (M), 0.5 mg/kg, iv; 2 mg/kg, po (R), 0.5 mg/kg, iv; 2 mg/kg, po (C), up to 100 mg/Kg po	168
261	CHEANNSDVJOIBS-MHZLTWQESA-N	Other	2	mg/kg	PO	1 mg/kg, iv; 5 mg/kg, po (M), 0.5 mg/kg, iv; 2 mg/kg, po (R), 0.5 mg/kg, iv; 2 mg/kg, po (C), up to 100 mg/Kg po	168
262	CHEANNSDVJOIBS-MHZLTWQESA-N	Other	100	mg/kg	PO	1 mg/kg, iv; 5 mg/kg, po (M), 0.5 mg/kg, iv; 2 mg/kg, po (R), 0.5 mg/kg, iv; 2 mg/kg, po (C), up to 100 mg/Kg po	168
263	QBGKPEROWUKSBK-QPPIDDCLSA-N	Other	50	mg/kg		50 mg/kg	172
264	NRSGWEVTVGZDFC-UHFFFAOYSA-N	Other	1	mg/kg		1 mg/Kg, 3 mg/Kg, 10 mg/Kg, 0.1-0.3 mg/Kg IV	173
265	NRSGWEVTVGZDFC-UHFFFAOYSA-N	Other	3	mg/kg		1 mg/Kg, 3 mg/Kg, 10 mg/Kg, 0.1-0.3 mg/Kg IV	173
266	NRSGWEVTVGZDFC-UHFFFAOYSA-N	Other	10	mg/kg		1 mg/Kg, 3 mg/Kg, 10 mg/Kg, 0.1-0.3 mg/Kg IV	173
267	NRSGWEVTVGZDFC-UHFFFAOYSA-N	Other	0.1	mg/kg	IV	1 mg/Kg, 3 mg/Kg, 10 mg/Kg, 0.1-0.3 mg/Kg IV	173
268	HUUSXLKCTQDPGL-UHFFFAOYSA-N	Other	3	mg/kg	IV	3 mg/Kg (IV), 20 mg/Kg (PO)	174
269	HUUSXLKCTQDPGL-UHFFFAOYSA-N	Other	20	mg/kg	PO	3 mg/Kg (IV), 20 mg/Kg (PO)	174
270	ARBRHWRTXPWZGN-UHFFFAOYSA-N	Rat	1	mg/kg	IV	1 mg/Kg IV, 2.5 or 5 mg/Kg PO	1240
271	ARBRHWRTXPWZGN-UHFFFAOYSA-N	Rat	5	mg/kg	PO	1 mg/Kg IV, 2.5 or 5 mg/Kg PO	1240
272	PXVFFBGSTYQHRO-REQIQPEASA-N	Other	7.5	mg/kg		7.5-15 mg/Kg	176
273	KPBNHDGDUADAGP-VAWYXSNFSA-N	Mouse	5	mg/kg		5 mg/Kg	179
274	KPBNHDGDUADAGP-VAWYXSNFSA-N	Mouse	10	mg/kg		10 mg/Kg	179
275	KPBNHDGDUADAGP-VAWYXSNFSA-N	Mouse	30	mg/kg		30 mg/Kg	179
276	JFOAJUGFHDCBJJ-UHFFFAOYSA-N	Mouse	10	mg/kg		10 mg/Kg	1241
277	JFOAJUGFHDCBJJ-UHFFFAOYSA-N	Mouse	10	mg/kg		10 mg/Kg	1241
278	FNYGWXSATBUBER-UHFFFAOYSA-N	Mouse	150	mg/kg		150 mg/kg, 450 mg/kg	181
279	FNYGWXSATBUBER-UHFFFAOYSA-N	Mouse	450	mg/kg		150 mg/kg, 450 mg/kg	181
280	WVAKRQOMAINQPU-UHFFFAOYSA-N	Mouse	2	mg/kg		2 mg/Kg	182
281	WVAKRQOMAINQPU-UHFFFAOYSA-N	Mouse	10	mg/kg		10 mg/Kg	182
282	WVAKRQOMAINQPU-UHFFFAOYSA-N	Rat	1	mg/kg		1 mg/Kg	182
283	WVAKRQOMAINQPU-UHFFFAOYSA-N	Rat	4	mg/kg		4 mg/Kg	182
284	NAXSRXHZFIBFMI-UHFFFAOYSA-N	Mouse	10	mg/kg		10 mg/kg	183
285	ZDBWLRLGUBSLPG-FDHYQTMZSA-N	Mouse	10	mg/kg		10 mg/Kg	185
286	KSGZCKSNTAJOJS-DZBMUNJRSA-N	Mouse	1	mg/kg		1 mg/kg (PK study), 0.16 mg/kg once-daily (efficacy study)	186
287	KSGZCKSNTAJOJS-DZBMUNJRSA-N	Mouse	0.16	mg/kg		1 mg/kg (PK study), 0.16 mg/kg once-daily (efficacy study)	186
288	JLFSBHQQXIAQEC-UHFFFAOYSA-N	Mouse	30	mg/kg		30-100 mg/kg	187
289	FWLMVFUGMHIOAA-UHFFFAOYSA-N	Rat	12.5	mg/kg		12.5-50 mg/Kg	1242
290	FWLMVFUGMHIOAA-UHFFFAOYSA-N	Dog	12.5	mg/kg		12.5-50 mg/Kg	1242
291	XYFPWWZEPKGCCK-GOSISDBHSA-N	Mouse	3.31	mg/kg		3.31 mg/Kg	189
292	XYFPWWZEPKGCCK-GOSISDBHSA-N	Mouse	14.2	mg/kg		14.2 mg/Kg	189
293	LLVZBTWPGQVVLW-SNAWJCMRSA-N	Mouse	2.5	mg/kg		2.5 mg/kg	190
294	VUVUVNZRUGEAHB-CYBMUJFWSA-N	Mouse	3	mg/mL		3 mg/mL	193
295	ALGHKWSXJUQNJJ-UHFFFAOYSA-N	Rat	2.5	mg/kg		2.5 mg/Kg	1243
296	ALGHKWSXJUQNJJ-UHFFFAOYSA-N	Rat	10	mg/kg		10 mg/Kg	1243
297	ALGHKWSXJUQNJJ-UHFFFAOYSA-N	Dog	1	mg/kg		1.0 mg/Kg	1243
298	ALGHKWSXJUQNJJ-UHFFFAOYSA-N	Dog	3	mg/kg		3.0 mg/Kg	1243
299	QPTCYEYTAWEZNT-UHFFFAOYSA-N	Mouse	30	ug		30 ug	195
300	KSERXGMCDHOLSS-LJQANCHMSA-N	Mouse	1	mg/kg		1 mg/Kg	197
301	KSERXGMCDHOLSS-LJQANCHMSA-N	Mouse	10	mg/kg		10 mg/Kg	197
302	BIAVGWDGIJKWRM-FQEVSTJZSA-N	Rat	0.1	mg/kg		6.9 ± 0.1 mg/Kg	1244
303	BIAVGWDGIJKWRM-FQEVSTJZSA-N	Dog	0.02	mg/kg		0.93 ± 0.02 mg/Kg	1244
304	BIAVGWDGIJKWRM-FQEVSTJZSA-N	Rat	0	mg/kg		8.0 ± 0.0 mg/Kg	1244
305	BIAVGWDGIJKWRM-FQEVSTJZSA-N	Dog				4.2 ± 0.2	1244
306	WRCGBYNVBFVRTN-UHFFFAOYSA-N	Mouse	25	mg/kg		25 mg/Kg	1245
307	XNULRSOGWPFPBL-REWPJTCUSA-N	Rat	2	mg/kg		2 mg/Kg	1246
308	XNULRSOGWPFPBL-REWPJTCUSA-N	Rat	2	mg/kg		2 mg/Kg	1246
309	ADZBMFGQQWPHMJ-RHSMWYFYSA-N	Mouse	200	mg/kg		200 mg/Kg	201
310	ILOIOIGZFHGSMS-UHFFFAOYSA-N	Mouse	10	mg/kg		10 mg/Kg	203
311	FROGGFONBYACJB-KRWDZBQOSA-N	Rat	10	mg/kg		10 mg/Kg	1247
312	UQZCQKXJAXKZQH-LBPRGKRZSA-N	Mouse	300	mg/kg		3, 10, 30, 300 mg/Kg	1248
313	JZCWLJDSIRUGIN-UHFFFAOYSA-N	Mouse	60	mg/kg		60 mg/Kg	206
314	LCFFREMLXLZNHE-GBOLQPHISA-N	Rat	2	mg/kg	IV	2 mg/Kg IV, 20 mg/Kg PO	1249
315	LCFFREMLXLZNHE-GBOLQPHISA-N	Rat	20	mg/kg	PO	2 mg/Kg IV, 20 mg/Kg PO	1249
316	FUIYMYNYUHVDPT-HDJSIYSDSA-N	Rat	1	mg/kg		1-3 mg/Kg	1250
317	FUIYMYNYUHVDPT-HDJSIYSDSA-N	Dog	1	mg/kg		1-3 mg/Kg	1250
318	GRTDDIZIUSADLD-CRAIPNDOSA-N	Rat	3	mg/kg		3 mg/Kg	1251
319	GRTDDIZIUSADLD-CRAIPNDOSA-N	Rat	3	mg/kg		3 mg/Kg	1251
320	GRTDDIZIUSADLD-CRAIPNDOSA-N	Monkey (Cynomolgus)	3	mg/kg		3 mg/Kg	1251
321	GRTDDIZIUSADLD-CRAIPNDOSA-N	Monkey (Cynomolgus)	3	mg/kg		3 mg/Kg	1251
322	OXQNLLVUVDAEHC-OAQYLSRUSA-N	Other					1252
323	PKNYXWMTHFMHKD-UHFFFAOYSA-N	Rat	3	mg/kg		3 mg/Kg BID	1253
324	PKNYXWMTHFMHKD-UHFFFAOYSA-N	Other	3	mg/kg		3 mg/Kg BID	1253
325	OYUDYQMFVRHPIY-UHFFFAOYSA-N	Mouse	2.5	mg/kg		2.5 mg/Kg	1254
326	OYUDYQMFVRHPIY-UHFFFAOYSA-N	Mouse	5	mg/kg		5 mg/Kg	1254
327	OYUDYQMFVRHPIY-UHFFFAOYSA-N	Rat	2.5	mg/kg		2.5 mg/Kg	1254
328	OYUDYQMFVRHPIY-UHFFFAOYSA-N	Rat	5	mg/kg		5 mg/Kg	1254
329	OYUDYQMFVRHPIY-UHFFFAOYSA-N	Dog	3	mg/kg		3 mg/Kg	1254
330	OYUDYQMFVRHPIY-UHFFFAOYSA-N	Dog	3	mg/kg		3 mg/Kg	1254
331	OYUDYQMFVRHPIY-UHFFFAOYSA-N	Monkey (Cynomolgus)	3	mg/kg		3 mg/Kg	1254
332	OYUDYQMFVRHPIY-UHFFFAOYSA-N	Monkey (Cynomolgus)	3	mg/kg		3 mg/Kg	1254
333	USHQRIKZLHNPQR-JTQLQIEISA-N	Rat	1	mg/kg	IV	1 mg/Kg IV, 3 mg/Kg PO	1255
334	USHQRIKZLHNPQR-JTQLQIEISA-N	Rat	3	mg/kg	PO	1 mg/Kg IV, 3 mg/Kg PO	1255
335	USHQRIKZLHNPQR-JTQLQIEISA-N	Dog	0.46	mg/kg	IV	0.46 mg/kg IV, 3 mg/kg PO	1255
336	USHQRIKZLHNPQR-JTQLQIEISA-N	Dog	3	mg/kg	PO	0.46 mg/kg IV, 3 mg/kg PO	1255
337	USHQRIKZLHNPQR-JTQLQIEISA-N	Monkey (Cynomolgus)	0.1	mg/kg	IV	0.1 mg/Kg IV, 10 mg/Kg PO	1255
338	USHQRIKZLHNPQR-JTQLQIEISA-N	Monkey (Cynomolgus)	10	mg/kg	PO	0.1 mg/Kg IV, 10 mg/Kg PO	1255
339	PQUGCKBLVKJMNT-UHFFFAOYSA-N	Rat	10	mg/kg		10 mg/Kg	217
340	PQUGCKBLVKJMNT-UHFFFAOYSA-N	Rat	10	mg/kg		10 mg/Kg	217
341	WWOOWAHTEXIWBO-QFRSUPTLSA-N	Mouse	10	mg/kg		10 mg/Kg	1256
342	WULUGQONDYDNKY-UHFFFAOYSA-N	Mouse	1	mg/kg	IV	1 mg/Kg IV, 10 mg/Kg PO	219
343	WULUGQONDYDNKY-UHFFFAOYSA-N	Mouse	10	mg/kg	PO	1 mg/Kg IV, 10 mg/Kg PO	219
344	WULUGQONDYDNKY-UHFFFAOYSA-N	Rat	3	mg/kg	IV	3 mg/Kg IV, 10 mg/Kg PO	219
345	WULUGQONDYDNKY-UHFFFAOYSA-N	Rat	10	mg/kg	PO	3 mg/Kg IV, 10 mg/Kg PO	219
346	YEVOZZZLKJKCCD-UHFFFAOYSA-N	Mouse	10	mg/kg		10 mg/kg	1257
347	YEVOZZZLKJKCCD-UHFFFAOYSA-N	Mouse	1	mg/kg		1 mg/Kg	1257
348	YEVOZZZLKJKCCD-UHFFFAOYSA-N	Mouse	100	mg/kg		3, 10, 30, 50, and 100 mg/kg	1257
349	PRNXOFBDXNTIFG-FQEVSTJZSA-N	Mouse	10	mg/kg		10 mg/Kg	222
350	PRNXOFBDXNTIFG-FQEVSTJZSA-N	Mouse	100	mg/kg		100 mg/Kg	222
351	COOGVHJHSCBOQT-MRVPVSSYSA-N	Rat	2	mg/kg		2 mg/Kg	1258
352	COOGVHJHSCBOQT-MRVPVSSYSA-N	Rat	10	mg/kg		10 mg/Kg	1258
353	COOGVHJHSCBOQT-MRVPVSSYSA-N	Mouse	2	mg/kg		2 mg/Kg	1258
354	COOGVHJHSCBOQT-MRVPVSSYSA-N	Mouse	5	mg/kg		5 mg/Kg	1258
355	COOGVHJHSCBOQT-MRVPVSSYSA-N	Dog	2	mg/kg		2 mg/Kg	1258
356	COOGVHJHSCBOQT-MRVPVSSYSA-N	Dog	10	mg/kg		10 mg/Kg	1258
357	DLNFTRSEHUWEGO-HUUCEWRRSA-N	Mouse	50	mg/kg		50-200 mg/Kg BID	225
358	LIIWIMDSZVNYHY-UHFFFAOYSA-N	Other	5	mg/kg		5 mg/kg	226
359	PDMXSCCBEBCTGX-UHFFFAOYSA-N	Rat	3	mg/kg		3 mg/Kg	1259
360	QBIGUDRHHJTXKG-UUWRZZSWSA-N	Mouse	100	mg/kg		3, 10, 30, 100 mg/kg BID or 60 mg/kg QD	1260
361	QBIGUDRHHJTXKG-UUWRZZSWSA-N	Mouse	60	mg/kg		3, 10, 30, 100 mg/kg BID or 60 mg/kg QD	1260
362	QBIGUDRHHJTXKG-UUWRZZSWSA-N	Rat	1	mg/kg		1 mg/kg	1260
363	QBIGUDRHHJTXKG-UUWRZZSWSA-N	Rat	5	mg/kg		5 mg/kg	1260
364	GRXCLNMCJWKTAT-UHFFFAOYSA-N	Mouse	1	mg/kg		1 mg/Kg	1261
365	GRXCLNMCJWKTAT-UHFFFAOYSA-N	Mouse	5	mg/kg		5 mg/kg	1261
366	VGRLXWFIXGZRMS-UHFFFAOYSA-N	Rat	2	mg/kg	IV	2 mg/kg IV, 10 mg/kg PO	231
367	VGRLXWFIXGZRMS-UHFFFAOYSA-N	Rat	10	mg/kg	PO	2 mg/kg IV, 10 mg/kg PO	231
368	PGKXDIMONUAMFR-AREMUKBSSA-N	Guinea Pig					1262
369	PGKXDIMONUAMFR-AREMUKBSSA-N	Guinea Pig					1262
370	PWKAYICUBVNJAZ-UHFFFAOYSA-N	Mouse	30	mg/kg		30 mg/Kg	1263
371	MSTXJJGAXXJCBY-UHFFFAOYSA-N	Rat	1	mg/kg		1 mg/Kg	1264
372	MSTXJJGAXXJCBY-UHFFFAOYSA-N	Rat	10	mg/kg		10 mg/Kg	1264
373	IVDUVEGCMXCMSO-FQEVSTJZSA-N	Mouse	150	mg/kg		150 mg/Kg	1265
374	HRJWTAWVFDCTGO-UHFFFAOYSA-N	Rat	5	mg/kg		5 mg/Kg	238
375	HRJWTAWVFDCTGO-UHFFFAOYSA-N	Dog	5	mg/kg		5 mg/Kg	238
376	BZZKEPGENYLQSC-FIBGUPNXSA-N	Mouse	1	mg/kg		1 mg/Kg	1266
377	BZZKEPGENYLQSC-FIBGUPNXSA-N	Mouse	10	mg/kg		10 mg/Kg	1266
378	BZZKEPGENYLQSC-FIBGUPNXSA-N	Dog	2	mg/kg		2 mg/Kg	1266
379	BZZKEPGENYLQSC-FIBGUPNXSA-N	Dog	10	mg/kg		10 mg/Kg	1266
380	BZZKEPGENYLQSC-FIBGUPNXSA-N	Monkey (Cynomolgus)	2	mg/kg		2 mg/Kg	1266
381	BZZKEPGENYLQSC-FIBGUPNXSA-N	Monkey (Cynomolgus)	10	mg/kg		10 mg/Kg	1266
382	XUKUURHRXDUEBC-KAYWLYCHSA-N	Mouse	10	mg/kg	IV	10 mg/kg (IV), 300 mg/kg (PO)	240
383	XUKUURHRXDUEBC-KAYWLYCHSA-N	Mouse	300	mg/kg	PO	10 mg/kg (IV), 300 mg/kg (PO)	240
384	WDHOIABIERMLGY-CMJOXMDJSA-N	Other				2/5 IV/PO mg/Kg (M), 0.5/1 IV/PO mg/Kg (R)	241
385	YTINZZFBHWSAGL-NDEPHWFRSA-N	Rat	2	mg/kg		2 mg/Kg	1267
386	YTINZZFBHWSAGL-NDEPHWFRSA-N	Rat	10	mg/kg		10 mg/Kg	1267
387	YTINZZFBHWSAGL-NDEPHWFRSA-N	Monkey (Cynomolgus)	3	mg/kg		3 mg/Kg	1267
388	VRQMAABPASPXMW-HDICACEKSA-N						244
389	JKJMWHULJIOKPJ-UHFFFAOYSA-N	Mouse	0.1	mg/kg		0.1 - 10 mg/Kg	1268
390	TXJZRSRTYPUYRW-GHTZIAJQSA-N	Other	100	mg/kg		100 mg/kg	258
391	ARYUXFNGXHNNDM-UHFFFAOYSA-N	Rat	10	mg/kg		10 mg/Kg	1269
392	WQAVGRAETZEADU-UHFFFAOYSA-N	Mouse	0.03	mg/kg		10, 1, 0.1, and 0.03 mg/kg	1270
393	WQAVGRAETZEADU-UHFFFAOYSA-N	Rat	0.03	mg/kg		10, 1, 0.1, and 0.03 mg/kg	1270
394	WQAVGRAETZEADU-UHFFFAOYSA-N	Dog	0.03	mg/kg		10, 1, 0.1, and 0.03 mg/kg	1270
395	WQAVGRAETZEADU-UHFFFAOYSA-N	Monkey (Cynomolgus)	0.03	mg/kg		10, 1, 0.1, and 0.03 mg/kg	1270
396	CDJPHTNUARAVMH-SECBINFHSA-N	Rat	1	mg/kg		1 mg/kg	1271
397	HFNKQEVNSGCOJV-OAHLLOKOSA-N	Mouse	90	mg/kg		90 mg/kg	263
398	OQFCHSFVWSLDAO-UHFFFAOYSA-N	Mouse	10	mg/kg		10 mg/Kg	1272
399	OQFCHSFVWSLDAO-UHFFFAOYSA-N	Mouse	2	mg/kg		2 mg/Kg	1272
400	WSEQXVZVJXJVFP-FQEVSTJZSA-N	Rat	1.6	mg/kg		1.6 mg/Kg	265
401	KJDAGXLMHXUAGV-DGWLBADLSA-N	Mouse	25	mg/kg		12.5, 18.8, 25 mg/Kg	268
402	CMJJZRAAQMUAFH-INIZCTEOSA-N	Mouse	4	mg/kg		4 mg/Kg	1273
403	CMJJZRAAQMUAFH-INIZCTEOSA-N	Mouse	1	mg/kg		1 mg/Kg	1273
404	CMJJZRAAQMUAFH-INIZCTEOSA-N	Rat	20	mg/kg		20 mg/Kg	1273
405	CMJJZRAAQMUAFH-INIZCTEOSA-N	Rat	4	mg/kg		4 mg/Kg	1273
406	FFLJVBPCONQSQW-UHFFFAOYSA-N	Mouse	20	mg/kg		20 mg/Kg	272
407	IESAJAZKMLPVIB-VXGBXAGGSA-N	Rat	30	mg/kg		30-90 mg/Kg	1274
408	PEMUGDMSUDYLHU-ZEQRLZLVSA-N	Other	3	mg/kg	IV	3 mg/Kg IV, 3 to 100 mg/Kg PO	274
409	PEMUGDMSUDYLHU-ZEQRLZLVSA-N	Other	3	mg/kg	PO	3 mg/Kg IV, 3 to 100 mg/Kg PO	274
410	NXQKSXLFSAEQCZ-SFHVURJKSA-N	Other	1	mg/kg	IV	1 mg/Kg IV, 10 mg/Kg PO, Reviewer suggest 30 and 100 mg/Kg PO	275
411	NXQKSXLFSAEQCZ-SFHVURJKSA-N	Other	10	mg/kg	PO	1 mg/Kg IV, 10 mg/Kg PO, Reviewer suggest 30 and 100 mg/Kg PO	275
412	NXQKSXLFSAEQCZ-SFHVURJKSA-N	Other	100	mg/kg	PO	1 mg/Kg IV, 10 mg/Kg PO, Reviewer suggest 30 and 100 mg/Kg PO	275
413	RIGHCDSORZCRDE-UHFFFAOYSA-N	Mouse	2	mg/kg	IV	2 mg/Kg IV, 10 mg/Kg	277
