id	inchikey	target_id	moa
95	GBJVVSCPOBPEIT-UHFFFAOYSA-N	511	inhibitor
96	GBAKVEWPYUIGHN-UHFFFAOYSA-N	148	are activator
97	NBOJHRYUGLRASX-UHFFFAOYSA-N	9	covalent inhibitor
98	DJOVLOYCGXNVPI-UHFFFAOYSA-N	336	antagonist
99	WGJCHHJGGFCCRS-DEYDLUNASA-N	250	degrader (protac)
100	QXCXMVYVUHVFLP-UHFFFAOYSA-N	607	inhibitor
101	KNOUWGGQMADIBV-KRWDZBQOSA-N	397	inhibitor
102	LUHCYAOYQIFNRN-UHFFFAOYSA-N	344	degrader (protac)
103	IDKAKZRYYDCJDU-HBMMIIHUSA-N	348	antagonist
104	SGIWFELWJPNFDH-UHFFFAOYSA-N	327	agonist
105	SGIWFELWJPNFDH-UHFFFAOYSA-N	384	agonist
106	QADPYRIHXKWUSV-UHFFFAOYSA-N	141	inhibitor
107	QADPYRIHXKWUSV-UHFFFAOYSA-N	171	inhibitor
108	QADPYRIHXKWUSV-UHFFFAOYSA-N	177	inhibitor
109	QADPYRIHXKWUSV-UHFFFAOYSA-N	176	inhibitor
110	YYDUWLSETXNJJT-MTJSOVHGSA-N	106	inhibitor
111	YYDUWLSETXNJJT-MTJSOVHGSA-N	434	inhibitor
112	YYDUWLSETXNJJT-MTJSOVHGSA-N	431	inhibitor
113	BLNNXJOEJRKHAM-UHFFFAOYSA-N	289	agonist
114	ZMNWFTYYYCSSTF-SOAUALDESA-N	108	inhibitor
115	LXFOLMYKSYSZQS-XKHGBIBOSA-N	496	inhibitor
116	XQFINGFCBFHOPE-WXUXXXNLSA-N	430	inhibitor
117	XQFINGFCBFHOPE-WXUXXXNLSA-N	503	inhibitor
118	CGWBJJZOKGZCSJ-UHFFFAOYSA-N	376	antagonist
119	CGWBJJZOKGZCSJ-UHFFFAOYSA-N	501	antagonist
120	AIOCFZJGGGEWDK-UHFFFAOYSA-N	562	degrader (protac)
121	RUBYHLPRZRMTJO-MOVYNIQHSA-N	586	covalent inhibitor
122	RUBYHLPRZRMTJO-MOVYNIQHSA-N	404	covalent inhibitor
123	RDALZZCKQFLGJP-UHFFFAOYSA-N	328	inhibitor
124	JBHLOPKIPKTRSU-UHFFFAOYSA-N	625	inhibitor
125	LQSHXYHWYGKAMX-FQEVSTJZSA-N	529	inhibitor
126	AQTPWCUIYUOEMG-INIZCTEOSA-N	290	inhibitor
127	JFGOILLZIAIYGA-UHFFFAOYSA-N	595	inhibitor
128	RPMGXDCRCWWCRY-JTQLQIEISA-N	239	inhibitor
129	RIJLVEAXPNLDTC-UHFFFAOYSA-N	180	inhibitor
130	HWGQMRYQVZSGDQ-HZPDHXFCSA-N	131	inhibitor
131	HWGQMRYQVZSGDQ-HZPDHXFCSA-N	600	inhibitor
132	SEDFZSHSBUXKAC-NIYFSFCBSA-N	376	inhibitor
133	SEDFZSHSBUXKAC-NIYFSFCBSA-N	501	inhibitor
134	ZOPNBMMVVZRSGH-NRFANRHFSA-N	19	partial agonist
135	BWYBBMQLUKXECQ-GIVPXCGWSA-N	270	inhibitor
136	BWYBBMQLUKXECQ-GIVPXCGWSA-N	116	inhibitor
137	BWYBBMQLUKXECQ-GIVPXCGWSA-N	56	inhibitor
138	CVWXJKQAOSCOAB-UHFFFAOYSA-N	240	inhibitor
139	VRVJKILQRBSEAG-LFPIHBKWSA-N	376	inhibitor
140	VRVJKILQRBSEAG-LFPIHBKWSA-N	501	inhibitor
141	UQRCJCNVNUFYDX-UHFFFAOYSA-N	127	inhibitor
142	UQRCJCNVNUFYDX-UHFFFAOYSA-N	236	inhibitor
143	LWXLECMNBTVASW-UHFFFAOYSA-N	501	inhibitor
144	LWXLECMNBTVASW-UHFFFAOYSA-N	376	inhibitor
145	AILRADAXUVEEIR-UHFFFAOYSA-N	618	inhibitor
146	HUFOZJXAKZVRNJ-UHFFFAOYSA-N	93	covalent inhibitor
147	GHVMTHKJUAOZJP-CGTJXYLNSA-N	14	inhibitor
148	ZEGMEJVULDALSH-NSHDSACASA-N	133	inhibitor
149	SNCRCEGCQVMUBS-DNVCBOLYSA-N	72	inhibitor
150	FNBUZGRPJLEIMO-UHFFFAOYSA-N	33	inhibitor
151	OBSYBRPAKCASQB-AGQYDFLVSA-N	253	agonist
152	ORDHXXHTBUZRCN-NTEUORMPSA-N	489	antagonist
153	CUBDGLIBZGKXKQ-ZBLYBZFDSA-N	19	full agonist
154	XPLWBHWPOUEOSJ-GSZYCOFVSA-N	19	agonist
155	YSVWFFNZZGLLAI-XNTOLAJGSA-N	508	agonist
156	LPCWQWNRCGWRFC-UHFFFAOYSA-N	641	inhibitor
157	JYTIXGYXBIBOMN-UHFFFAOYSA-N	522	partial agonist
158	KLHOCHQJHXNKAS-UHFFFAOYSA-N	10	pirin ligand
159	IFRGXKKQHBVPCQ-UHFFFAOYSA-N	117	inhibitor
160	IFRGXKKQHBVPCQ-UHFFFAOYSA-N	125	inhibitor
161	BKLJDIJJOOQUFG-UHFFFAOYSA-N	138	inhibitor
162	FYQFEJFTCLKXTQ-UHFFFAOYSA-N	327	inverse agonist
163	FYQFEJFTCLKXTQ-UHFFFAOYSA-N	384	inverse agonist
164	RRELDGDKULRRDM-UHFFFAOYSA-N	255	inhibitor
165	IYHHRZBKXXKDDY-UHFFFAOYSA-N	20	inhibitor
166	DYUTWRFEEOPXMN-UHFFFAOYSA-N	59	inhibitor
167	AUYCSWFYKYVCLD-HXUWFJFHSA-N	584	inhibitor
168	OEDSFMUSNZDJFD-UHFFFAOYSA-N	192	inhibitor
169	OEDSFMUSNZDJFD-UHFFFAOYSA-N	55	inhibitor
170	OEDSFMUSNZDJFD-UHFFFAOYSA-N	416	inhibitor
171	OEDSFMUSNZDJFD-UHFFFAOYSA-N	441	inhibitor
172	QMHRLXNEGYTSRV-UHFFFAOYSA-N	159	antagonist
173	LQEHCKYYIXQEBM-FUKIBTTHSA-N	183	antagonist
174	WEGLOYDTDILXDA-OAHLLOKOSA-N	370	inhibitor
175	CSJYMAFXYMYNCK-UHFFFAOYSA-N	530	inhibitor
176	ILHNIWOZZKIBNW-UHFFFAOYSA-N	549	inhibitor
177	OAMLIJKKGZLNHE-UHFFFAOYSA-N	158	inhibitor
178	JTCAGRAKUAAYDY-OAHLLOKOSA-N	637	antagonist
179	FSWFYCYPTDLKON-CMJOXMDJSA-N	102	inhibitor
180	SKZQFKBIJUXXCG-INIZCTEOSA-N	330	antagonist
181	TVGAHWWPABTBCX-UHFFFAOYSA-N	113	inhibitor
182	FRBRZGLUFOZRGD-JVPBZIDWSA-N	192	inhibitor
183	FRBRZGLUFOZRGD-JVPBZIDWSA-N	416	inhibitor
184	FRBRZGLUFOZRGD-JVPBZIDWSA-N	55	inhibitor
185	FRBRZGLUFOZRGD-JVPBZIDWSA-N	441	inhibitor
186	PXQATVYJKMMHAU-UHFFFAOYSA-N	225	antagonist
187	YNFDIGJKJPNFFD-SJORKVTESA-N	290	inhibitor
188	PCJVXTDIDUMIRR-QGZVFWFLSA-N	182	inhibitor
189	RPHDOVLXDYWDGF-UHFFFAOYSA-N	173	agonist
190	KVJFJJXCBRSCDY-UHFFFAOYSA-N	79	inhibitor
191	PGIVGIFOWOVINL-GOSISDBHSA-N	126	inhibitor
192	WZQLVEPIBAOOGF-RMMWZPCPSA-N	192	inhibitor
193	WZQLVEPIBAOOGF-RMMWZPCPSA-N	416	inhibitor
194	WZQLVEPIBAOOGF-RMMWZPCPSA-N	55	inhibitor
195	WZQLVEPIBAOOGF-RMMWZPCPSA-N	441	inhibitor
196	QZZCUOVXHPAQRQ-UHFFFAOYSA-N	192	inhibitor
197	QZZCUOVXHPAQRQ-UHFFFAOYSA-N	416	inhibitor
198	QZZCUOVXHPAQRQ-UHFFFAOYSA-N	55	inhibitor
199	QZZCUOVXHPAQRQ-UHFFFAOYSA-N	441	inhibitor
200	JZTTUZXIQIRVAB-FZEVHQGJSA-N	164	inhibitor
201	ZLGNYFOIDAVMHY-MPKOGUQCSA-N	348	degrader (protac)
202	QULDDKSCVCJTPV-UHFFFAOYSA-N	117	inhibitor
203	QULDDKSCVCJTPV-UHFFFAOYSA-N	125	inhibitor
204	BLVQHYHDYFTPDV-VCABWLAWSA-N	31	inhibitor
205	VLLFGVHGKLDDLW-SFHVURJKSA-N	331	inhibitor
206	UEMQPCYDWCSVCU-UHFFFAOYSA-N	329	antagonist
207	UEMQPCYDWCSVCU-UHFFFAOYSA-N	82	antagonist
208	UEMQPCYDWCSVCU-UHFFFAOYSA-N	614	antagonist
209	XMBSZPZJLPTFMV-UHFFFAOYSA-N	211	inhibitor
210	XMBSZPZJLPTFMV-UHFFFAOYSA-N	51	inhibitor
211	WILMROCKORZEMQ-VJVIIGMYSA-N	111	inhibitor
212	FYICDSWKKFSYOM-UHFFFAOYSA-N	172	covalent inhibitor
213	NBDJDKAXIGWAIM-XZOQPEGZSA-N	415	inhibitor
214	QYDASSGXBXGRBS-CKJXQJPGSA-N	197	covalent inhibitor
215	YQOLEILXOBUDMU-KRWDZBQOSA-N	267	antagonist
216	JNSLBXJNVHYNNW-CXNSMIOJSA-N	192	bivalent inhibitor
217	JNSLBXJNVHYNNW-CXNSMIOJSA-N	55	bivalent inhibitor
218	JNSLBXJNVHYNNW-CXNSMIOJSA-N	416	bivalent inhibitor
219	JNSLBXJNVHYNNW-CXNSMIOJSA-N	441	bivalent inhibitor
220	GACOFEKSDCOVMV-RRYXBOBMSA-N	594	agonist
221	GACOFEKSDCOVMV-RRYXBOBMSA-N	612	agonist
