target_id	source_db	property	ordinal	value
48	Chemical Probes Portal	class	0	Kinase
48	Chemical Probes Portal	subClass	0	CAMK
49	Chemical Probes Portal	class	0	Epigenetic
50	Chemical Probes Portal	class	0	Enzyme
50	Chemical Probes Portal	subClass	0	Hydrolase
51	Chemical Probes Portal	class	0	Other post-translational modification
51	Chemical Probes Portal	subClass	0	Acyltransferase
52	Chemical Probes Portal	class	0	Protein kinase
52	Chemical Probes Portal	class	1	Kinase
52	Chemical Probes Portal	subClass	0	TK
52	Chemical Probes Portal	subClass	1	Tyrosine kinase
53	Chemical Probes Portal	class	0	Epigenetic
53	Chemical Probes Portal	subClass	0	Protein methyltransferase
53	Chemical Probes Portal	subClass	1	Methyltransferase
54	Chemical Probes Portal	class	0	Ion Channel
54	Chemical Probes Portal	subClass	0	Potassium/Sodium Channel
55	Chemical Probes Portal	class	0	Epigenetic
55	Chemical Probes Portal	subClass	0	Bromodomain
56	Chemical Probes Portal	class	0	Protein metabolism
56	Chemical Probes Portal	subClass	0	Protease
57	Chemical Probes Portal	class	0	Kinase
57	Chemical Probes Portal	subClass	0	AGC
58	Chemical Probes Portal	class	0	Epigenetic
58	Chemical Probes Portal	subClass	0	Histone demethylase
59	Chemical Probes Portal	class	0	Enzyme
59	Chemical Probes Portal	subClass	0	Dehydrogenase
60	Chemical Probes Portal	class	0	Kinase
60	Chemical Probes Portal	subClass	0	Autophagy Activating Kinases
61	Chemical Probes Portal	class	0	Enzyme
61	Chemical Probes Portal	subClass	0	DNA Polymerase
62	Chemical Probes Portal	class	0	Kinase
62	Chemical Probes Portal	subClass	0	Ser/Thr Kinase
63	Chemical Probes Portal	class	0	Epigenetic
63	Chemical Probes Portal	subClass	0	Polycomb family
64	Chemical Probes Portal	class	0	CGRP-receptor component protein
65	Chemical Probes Portal	class	0	Enzyme
65	Chemical Probes Portal	subClass	0	Helicase
66	Chemical Probes Portal	class	0	Kinase
66	Chemical Probes Portal	subClass	0	Ser/Thr Kinase
67	Chemical Probes Portal	class	0	Transient Receptor
67	Chemical Probes Portal	class	1	Ion Channel
67	Chemical Probes Portal	subClass	0	Transient receptor, TRPV subfamily
68	Chemical Probes Portal	class	0	Enzyme
68	Chemical Probes Portal	class	1	Kinase
68	Chemical Probes Portal	subClass	0	Dehydrogenase
69	Chemical Probes Portal	class	0	Other
69	Chemical Probes Portal	class	1	Enzyme
69	Chemical Probes Portal	subClass	0	Diacylglycerol O-acyltransferase
69	Chemical Probes Portal	subClass	1	Acyltransferase
70	Chemical Probes Portal	class	0	Protein kinase
70	Chemical Probes Portal	subClass	0	STE
71	Chemical Probes Portal	class	0	Kinase
71	Chemical Probes Portal	subClass	0	CMGC
72	Chemical Probes Portal	class	0	Nucleic acid metabolism
72	Chemical Probes Portal	subClass	0	Phosphodiesterase
73	Chemical Probes Portal	class	0	Kinase
73	Chemical Probes Portal	subClass	0	CAMK
74	Chemical Probes Portal	class	0	Other post-translational modification
74	Chemical Probes Portal	subClass	0	Deubiquitinase
75	Chemical Probes Portal	class	0	Kinase
75	Chemical Probes Portal	subClass	0	CMGC
76	Chemical Probes Portal	class	0	Enzyme
76	Chemical Probes Portal	subClass	0	Glutaminase
77	Chemical Probes Portal	class	0	Epigenetic
77	Chemical Probes Portal	subClass	0	Histone demethylase
78	Chemical Probes Portal	class	0	Ion Channel
78	Chemical Probes Portal	subClass	0	Potassium Channel
79	Chemical Probes Portal	class	0	Epigenetic
79	Chemical Probes Portal	subClass	0	Histone Acetyltransferase
80	Chemical Probes Portal	class	0	Other post-translational modification
80	Chemical Probes Portal	subClass	0	PARP
81	Chemical Probes Portal	class	0	Vanin
81	Chemical Probes Portal	subClass	0	Biotinidase
82	Chemical Probes Portal	class	0	Epigenetic
82	Chemical Probes Portal	subClass	0	Bromodomain
83	Chemical Probes Portal	class	0	Transcription factor
83	Chemical Probes Portal	subClass	0	Zinc Finger
84	Chemical Probes Portal	class	0	Kinase
84	Chemical Probes Portal	subClass	0	AGC
85	Chemical Probes Portal	class	0	Epigenetic
85	Chemical Probes Portal	subClass	0	Nudix
86	Chemical Probes Portal	class	0	Epigenetic
86	Chemical Probes Portal	subClass	0	Methyl-lysine reader
87	Chemical Probes Portal	class	0	Protein kinase
87	Chemical Probes Portal	class	1	Kinase
87	Chemical Probes Portal	subClass	0	STE
88	Chemical Probes Portal	class	0	Protein kinase
88	Chemical Probes Portal	subClass	0	CAMK
89	Chemical Probes Portal	class	0	Epigenetic
89	Chemical Probes Portal	subClass	0	Methyltransferase
90	Chemical Probes Portal	class	0	Enzyme
90	Chemical Probes Portal	subClass	0	LDH family
91	Chemical Probes Portal	class	0	Other
91	Chemical Probes Portal	subClass	0	aldehyde dehydrogenase
92	Chemical Probes Portal	class	0	Kinase
92	Chemical Probes Portal	subClass	0	TK
93	Chemical Probes Portal	class	0	Kinase
93	Chemical Probes Portal	class	1	Protein kinase
93	Chemical Probes Portal	subClass	0	RTK
93	Chemical Probes Portal	subClass	1	TK
94	Chemical Probes Portal	class	0	Other
94	Chemical Probes Portal	subClass	0	Serine Protease
95	Chemical Probes Portal	class	0	Enzyme
95	Chemical Probes Portal	subClass	0	Angiotensinogenase
96	Chemical Probes Portal	class	0	Enzyme
96	Chemical Probes Portal	subClass	0	Anhydrase family
97	Chemical Probes Portal	class	0	Enzyme
97	Chemical Probes Portal	subClass	0	GTPase
98	Chemical Probes Portal	class	0	Enzyme
98	Chemical Probes Portal	subClass	0	GTPase
99	Chemical Probes Portal	class	0	Enzyme
99	Chemical Probes Portal	class	1	Kinase
99	Chemical Probes Portal	subClass	0	GTPase
99	Chemical Probes Portal	subClass	1	Ras Family
100	Chemical Probes Portal	class	0	Catalytic receptor
100	Chemical Probes Portal	subClass	0	Transforming Growth Factor
101	Chemical Probes Portal	class	0	Other
101	Chemical Probes Portal	class	1	NHR
101	Chemical Probes Portal	subClass	0	Hormone Receptor
101	Chemical Probes Portal	subClass	1	Estrogen Receptor
101	Chemical Probes Portal	subClass	2	NR3 Subfamily
101	Chemical Probes Portal	subClass	3	Estrogen receptor
102	Chemical Probes Portal	class	0	Enzyme
102	Chemical Probes Portal	subClass	0	Peptidase S1 family
103	Chemical Probes Portal	class	0	Lipid metabolism
103	Chemical Probes Portal	subClass	0	Sterol biosynthesis
104	Chemical Probes Portal	class	0	NHR
104	Chemical Probes Portal	class	1	Nuclear Receptor
104	Chemical Probes Portal	subClass	0	Subfamily 3
104	Chemical Probes Portal	subClass	1	Nuclear hormone receptor
105	Chemical Probes Portal	class	0	Kinase
105	Chemical Probes Portal	subClass	0	RTK
106	Chemical Probes Portal	class	0	Kinase
106	Chemical Probes Portal	subClass	0	TK
106	Chemical Probes Portal	subClass	1	Tyrosin kinase
106	Chemical Probes Portal	subClass	2	Tyr kinase
107	Chemical Probes Portal	class	0	Kinase
107	Chemical Probes Portal	subClass	0	TK
108	Chemical Probes Portal	class	0	Kinase
108	Chemical Probes Portal	subClass	0	TK
109	Chemical Probes Portal	class	0	Kinase
109	Chemical Probes Portal	subClass	0	TK
110	Chemical Probes Portal	class	0	Kinase
110	Chemical Probes Portal	subClass	0	CMGC
111	Chemical Probes Portal	class	0	Enzyme
112	Chemical Probes Portal	class	0	Enzyme
112	Chemical Probes Portal	subClass	0	LDH family
113	Chemical Probes Portal	class	0	Kinase
113	Chemical Probes Portal	subClass	0	TK
114	Chemical Probes Portal	class	0	Enzyme
114	Chemical Probes Portal	subClass	0	GTPase
115	Chemical Probes Portal	class	0	GPCR
115	Chemical Probes Portal	subClass	0	Adrenoceptor
116	Chemical Probes Portal	class	0	Protein metabolism
116	Chemical Probes Portal	class	1	Enzyme
116	Chemical Probes Portal	subClass	0	Protease
116	Chemical Probes Portal	subClass	1	Cysteine protease
117	Chemical Probes Portal	class	0	Other post-translational modification
117	Chemical Probes Portal	subClass	0	Chaperone
118	Chemical Probes Portal	class	0	Kinase
118	Chemical Probes Portal	subClass	0	TK
119	Chemical Probes Portal	class	0	Kinase
119	Chemical Probes Portal	subClass	0	TK
120	Chemical Probes Portal	class	0	Kinase
120	Chemical Probes Portal	subClass	0	Tyrosine Kinase
121	Chemical Probes Portal	class	0	Kinase
121	Chemical Probes Portal	subClass	0	TK
122	Chemical Probes Portal	class	0	GPCR
122	Chemical Probes Portal	subClass	0	Muscarinic Receptor
122	Chemical Probes Portal	subClass	1	Muscarinic receptor
