inchikey	name	smiles	chembl_id	cansar_id	portal_path	published_date	pains	toxicophore	rating_in_cell	rating_in_organism	rating_count	reference	source_db
ODPGGGTTYSGTGO-UHFFFAOYSA-N	AST 487	CCN1CCN(Cc2ccc(NC(=O)Nc3ccc(Oc4cc(NC)ncn4)cc3)cc2C(F)(F)F)CC1	CHEMBL574738	764849	unsuitables/ast-487	2016-12-09	No	No	0	0	0		Chemical Probes Portal
WAEXFXRVDQXREF-UHFFFAOYSA-N	Vorinostat	O=C(CCCCCCC(=O)Nc1ccccc1)NO		1113023	unsuitables/vorinostat	2017-04-10	No	Yes	0	0	0		Chemical Probes Portal
WINHZLLDWRZWRT-ATVHPVEESA-N	Sunitinib	CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C		154683	unsuitables/sunitinib	2016-12-09	No	No	0	0	0		Chemical Probes Portal
HVXKQKFEHMGHSL-QKDCVEJESA-N	XL-647	COc1cc2c(Nc3ccc(Cl)c(Cl)c3F)ncnc2cc1OC[C@@H]1C[C@@H]2CN(C)C[C@@H]2C1	CHEMBL3544983	535317	unsuitables/xl-647	2016-12-09	No	No	0	0	0		Chemical Probes Portal
VMWNQDUVQKEIOC-CYBMUJFWSA-N	Apomorphine	CN1CCc2cccc3c2[C@H]1Cc1ccc(O)c(O)c1-3		1185273	unsuitables/apomorphine	2016-12-09	Yes	Yes	0	0	0		Chemical Probes Portal
DYEFUKCXAQOFHX-UHFFFAOYSA-N	Ebselen	O=c1c2ccccc2[se]n1-c1ccccc1	CHEMBL51085	65636	unsuitables/ebselen	2016-12-09	No	Yes	0	0	0		Chemical Probes Portal
IQPNAANSBPBGFQ-UHFFFAOYSA-N	Digitoflavone	O=c1cc(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12		1241698	unsuitables/digitoflavone	2016-12-09	Yes	Yes	0	0	0		Chemical Probes Portal
KZNIFHPLKGYRTM-UHFFFAOYSA-N	Apigenin	O=c1cc(-c2ccc(O)cc2)oc2cc(O)cc(O)c12		1161291	unsuitables/apigenin	2016-12-09	No	No	0	0	0		Chemical Probes Portal
ZIUSSTSXXLLKKK-KOBPDPAPSA-N	Curcumin	COc1cc(/C=C/C(=O)/C=C(O)/C=C/c2ccc(O)c(OC)c2)ccc1O		1795385	unsuitables/curcumin	2016-12-09	No	Yes	0	0	0		Chemical Probes Portal
IZEKFCXSFNUWAM-UHFFFAOYSA-N	Dipyridamole	OCCN(CCO)c1nc(N2CCCCC2)c2nc(N(CCO)CCO)nc(N3CCCCC3)c2n1	CHEMBL932	681918	unsuitables/dipyridamole	2016-12-09	No	No	0	0	0		Chemical Probes Portal
KTEIFNKAUNYNJU-GFCCVEGCSA-N	Crizotinib	C[C@@H](Oc1cc(-c2cnn(C3CCNCC3)c2)cnc1N)c1c(Cl)ccc(F)c1Cl		259783	unsuitables/crizotinib	2016-12-09	No	No	0	0	0		Chemical Probes Portal
