inchikey	portal_path	published_date	pains	toxicophore	cansar_id	rating_in_cell	rating_in_organism	rating_count	reference	source_db	source	xref_id
IYIKLHRQXLHMJQ-UHFFFAOYSA-N	unsuitables/amiodarone	2016-12-09	No	No	322374	0	0	0		Chemical Probes Portal	Amiodarone	https://www.chemicalprobes.org/
MPVGZUGXCQEXTM-UHFFFAOYSA-N	unsuitables/linifanib	2016-12-09	No	No	1920436	0	0	0		Chemical Probes Portal	Linifanib	https://www.chemicalprobes.org/
QDPVYZNVVQQULH-UHFFFAOYSA-N	unsuitables/dovitinib-lactate	2016-12-09	No	No	711445	0	0	0		Chemical Probes Portal	Dovitinib lactate	https://www.chemicalprobes.org/
RTIXKCRFFJGDFG-UHFFFAOYSA-N	unsuitables/57-dihydroxyflavone	2016-12-09	No	No	1115786	0	0	0		Chemical Probes Portal	5,7-Dihydroxyflavone	https://www.chemicalprobes.org/
QQWUGDVOUVUTOY-UHFFFAOYSA-N	unsuitables/nvp-tae684	2016-12-09	No	No	868137	0	0	0		Chemical Probes Portal	NVP-TAE684	https://www.chemicalprobes.org/
GUBJNPWVIUFSTR-UHFFFAOYSA-N	unsuitables/jnj-28312141	2016-12-09	No	No	591760	0	0	0		Chemical Probes Portal	JNJ-28312141	https://www.chemicalprobes.org/
WPHKIQPVPYJNAX-UHFFFAOYSA-N	unsuitables/ilorasertib	2016-12-09	No	No	644156	0	0	0		Chemical Probes Portal	Ilorasertib	https://www.chemicalprobes.org/
XZXHXSATPCNXJR-ZIADKAODSA-N	unsuitables/intedanib	2016-12-09	No	Yes	817948	0	0	0		Chemical Probes Portal	Intedanib	https://www.chemicalprobes.org/
MZDKLVOWGIOKTN-UHFFFAOYSA-N	unsuitables/pf-562271	2016-12-09	No	No	631801	0	0	0		Chemical Probes Portal	PF-562271	https://www.chemicalprobes.org/
QQUXFYAWXPMDOE-UHFFFAOYSA-N	unsuitables/kenpaullone	2016-12-09	No	No	1185198	0	0	0		Chemical Probes Portal	Kenpaullone	https://www.chemicalprobes.org/
