inchikey	verdict	pains	toxicophore	rating_in_cell	rating_in_organism	rating_count	published_date	source_db	source
JOOXLOJCABQBSG-UHFFFAOYSA-N	unsuitable	No	No	0	0	0	2016-12-09	Chemical Probes Portal	
MVJMMLFMPWITEJ-UHFFFAOYSA-N	unsuitable	No	Yes	0	0	0	2016-12-09	Chemical Probes Portal	
CTNPALGJUAXMMC-PMFHANACSA-N	unsuitable	Yes	No	0	0	0	2016-12-09	Chemical Probes Portal	
KDKUVYLMPJIGKA-UHFFFAOYSA-N	unsuitable	No	No	0	0	0	2016-12-09	Chemical Probes Portal	
YYLKKYCXAOBSRM-JXMROGBWSA-N	unsuitable	No	No	0	0	0	2016-12-09	Chemical Probes Portal	
OWRXHGAFWZFFCW-UHFFFAOYSA-N	unsuitable	No	No	0	0	0	2016-12-09	Chemical Probes Portal	
JZTOUVBEZONDKA-UHFFFAOYSA-N	unsuitable	No	No	0	0	0	2016-12-09	Chemical Probes Portal	
RYYNGWLOYLRZLK-UHFFFAOYSA-N	unsuitable	No	No	0	0	0	2016-12-09	Chemical Probes Portal	
FUMCKNCUEAQHCV-XYPYZODXSA-N	unsuitable	No	No	0	0	0	2016-12-09	Chemical Probes Portal	
ZGZVRPRSFXRGCF-UHFFFAOYSA-N	unsuitable	No	No	0	0	0	2016-12-09	Chemical Probes Portal	
ZPEIMTDSQAKGNT-UHFFFAOYSA-N	unsuitable	No	No	0	0	0	2016-12-09	Chemical Probes Portal	
CGIGDMFJXJATDK-UHFFFAOYSA-N	unsuitable	No	No	0	0	0	2016-12-09	Chemical Probes Portal	
GCBJDOWIQHMCMR-UHFFFAOYSA-N	unsuitable	No	No	0	0	0	2016-12-09	Chemical Probes Portal	
KRIUNPBAQZGFQA-UHFFFAOYSA-N	unsuitable	No	Yes	0	0	0	2016-12-09	Chemical Probes Portal	
HJGFPNFAFSFDNN-UHFFFAOYSA-N	unsuitable	No	No	0	0	0	2016-12-09	Chemical Probes Portal	
BPNUQXPIQBZCMR-IBGZPJMESA-N	unsuitable	No	No	0	0	0	2016-12-08	Chemical Probes Portal	
RFAXLXKIAKIUDT-UHFFFAOYSA-N	unsuitable	No	Yes	0	0	0	2017-01-04	Chemical Probes Portal	
KRMDCWKBEZIMAB-UHFFFAOYSA-N	unsuitable	Yes	No	0	0	0	2016-12-09	Chemical Probes Portal	
DDLZLOKCJHBUHD-WAVHTBQISA-N	unsuitable	No	Yes	0	0	0	2016-12-09	Chemical Probes Portal	
UUADYKVKJIMIPA-UHFFFAOYSA-N	unsuitable	No	Yes	0	0	0	2016-12-09	Chemical Probes Portal	
KSOVGRCOLZZTPF-UHFFFAOYSA-N	unsuitable	Yes	No	0	0	0	2016-12-09	Chemical Probes Portal	
ZVWRFVCNQOECJS-UHFFFAOYSA-N	unsuitable	No	No	0	0	0	2016-12-09	Chemical Probes Portal	
VADOZMZXXRBXNY-UHFFFAOYSA-N	unsuitable	Yes	No	0	0	0	2016-12-09	Chemical Probes Portal	
UIARLYUEJFELEN-LROUJFHJSA-N	unsuitable	No	No	0	0	0	2016-12-09	Chemical Probes Portal	
BSFNGHCTZDCQBF-UHFFFAOYSA-N	unsuitable	No	No	0	0	0	2016-12-09	Chemical Probes Portal	
LYNBNVBMAGDJRW-UHFFFAOYSA-N	unsuitable	No	No	0	0	0	2016-12-09	Chemical Probes Portal	
GCYXEGSPUDSZJY-PTNGSMBKSA-N	unsuitable	Yes	Yes	0	0	0	2016-12-09	Chemical Probes Portal	
YMIJUBCSOKSFRU-UHFFFAOYSA-N	unsuitable	No	No	0	0	0	2016-12-09	Chemical Probes Portal	
KLBQZWRITKRQQV-UHFFFAOYSA-N	unsuitable	No	No	0	0	0	2016-12-09	Chemical Probes Portal	
GPSZYOIFQZPWEJ-UHFFFAOYSA-N	unsuitable	Yes	No	0	0	0	2016-12-09	Chemical Probes Portal	
BIIVYFLTOXDAOV-YVEFUNNKSA-N	unsuitable	No	No	0	0	0	2016-12-09	Chemical Probes Portal	
OUSFTKFNBAZUKL-UHFFFAOYSA-N	unsuitable	No	No	0	0	0	2016-12-09	Chemical Probes Portal	
JPYQFPGTGGLOMD-UHFFFAOYSA-N	unsuitable	No	No	0	0	0	2016-12-09	Chemical Probes Portal	
BQDHCGJUSXMIIS-UHFFFAOYSA-N	unsuitable	No	No	0	0	0	2016-12-09	Chemical Probes Portal	
AFSDNFLWKVMVRB-UHFFFAOYSA-N	unsuitable	Yes	Yes	0	0	0	2016-12-09	Chemical Probes Portal	
AYQYIBVVCJFCAE-KSEXSDGBSA-N	unsuitable	Yes	No	0	0	0	2016-12-13	Chemical Probes Portal	
XHBVYDAKJHETMP-UHFFFAOYSA-N	unsuitable	No	No	0	0	0	2016-12-15	Chemical Probes Portal	
XSMSNFMDVXXHGJ-UHFFFAOYSA-N	recommended	Yes	No	3.6666666666666665	3.3333333333333335	3	2021-02-17	Chemical Probes Portal	
SHPFDGWALWEPGS-UHFFFAOYSA-N	unsuitable	No	No	0	0	0	2017-03-02	Chemical Probes Portal	
MLKHXLFEYOOYEY-NVNXTCNLSA-N	unsuitable	Yes	No	0	0	0	2021-02-18	Chemical Probes Portal	
FMETVQKSDIOGPX-UHFFFAOYSA-N	unsuitable	No	No	0	0	0	2017-03-02	Chemical Probes Portal	
SXOZSDJHGMAEGZ-IGKKHSBFSA-N	unsuitable	No	No	0	0	0	2017-03-02	Chemical Probes Portal	
ISOCDPQFIXDIMS-HSZRJFAPSA-N	recommended	Yes	No	2.3333333333333335	2.6666666666666665	3	2021-01-07	Chemical Probes Portal	
BLQYVHBZHAISJM-CMDGGOBGSA-N	unsuitable	No	No	0	0	0	2017-02-01	Chemical Probes Portal	
CXQHYVUVSFXTMY-UHFFFAOYSA-N	unsuitable	No	No	0	0	0	2017-02-01	Chemical Probes Portal	
XZXHXSATPCNXJR-UHFFFAOYSA-N	unsuitable	No	Yes	0	0	0	2017-02-01	Chemical Probes Portal	
IFPPYSWJNWHOLQ-UHFFFAOYSA-N	unsuitable	No	No	0	0	0	2017-02-01	Chemical Probes Portal	
ZBNZXTGUTAYRHI-UHFFFAOYSA-N	unsuitable	No	No	0	0	0	2017-02-01	Chemical Probes Portal	
GCIKSSRWRFVXBI-UHFFFAOYSA-N	unsuitable	No	No	0	0	0	2017-02-01	Chemical Probes Portal	
JJWMRRNGWSITSQ-UHFFFAOYSA-N	unsuitable	No	No	0	0	0	2017-01-31	Chemical Probes Portal	
HAYYBYPASCDWEQ-UHFFFAOYSA-N	unsuitable	No	No	0	0	0	2017-02-01	Chemical Probes Portal	
GKEYKDOLBLYGRB-LGMDPLHJSA-N	unsuitable	No	No	0	0	0	2017-02-01	Chemical Probes Portal	
JLYAXFNOILIKPP-KXQOOQHDSA-N	unsuitable	No	Yes	0	0	0	2017-01-31	Chemical Probes Portal	
UQTPDWDAYHAZNT-AWEZNQCLSA-N	unsuitable	No	No	0	0	0	2017-02-01	Chemical Probes Portal	
WVXNSAVVKYZVOE-UHFFFAOYSA-N	unsuitable	No	No	0	0	0	2017-02-01	Chemical Probes Portal	
MLDQJTXFUGDVEO-UHFFFAOYSA-N	unsuitable	No	No	0	0	0	2017-02-01	Chemical Probes Portal	
UYJZZVDLGDDTCL-UHFFFAOYSA-N	unsuitable	No	No	0	0	0	2017-01-31	Chemical Probes Portal	
WVMANZPBOBRWCB-UHFFFAOYSA-N	unsuitable	No	No	0	0	0	2017-02-01	Chemical Probes Portal	
GZFYZYBWLCYBMI-MYZJJQSMSA-N	recommended	No	Yes	2.6666666666666665	2	3	2020-11-26	Chemical Probes Portal	
QYPJBTMRYKRTFG-UHFFFAOYSA-N	unsuitable	No	No	0	0	0	2017-03-13	Chemical Probes Portal	
HHKGVQGXRGQBBA-UHFFFAOYSA-N	recommended	No	No	2.6666666666666665	2.6666666666666665	3	2017-03-13	Chemical Probes Portal	
UUECJWRVDTUDCB-ISLYRVAYSA-N	unsuitable	Yes	Yes	0	0	0	2017-03-07	Chemical Probes Portal	
MDOJTZQKHMAPBK-UHFFFAOYSA-N	unsuitable	No	Yes	0	0	0	2017-03-02	Chemical Probes Portal	
LLEJIEBFSOEYIV-UHFFFAOYSA-N	unsuitable	No	No	0	0	0	2017-03-02	Chemical Probes Portal	
PBJKWGWHZVXBGU-UHFFFAOYSA-N	unsuitable	Yes	Yes	0	0	0	2017-03-02	Chemical Probes Portal	
SXJDCULZDFWMJC-UHFFFAOYSA-N	unsuitable	No	No	0	0	0	2017-03-02	Chemical Probes Portal	
HYTMVPCGCCQGST-JGUILPGDSA-N	unsuitable	Yes	Yes	0	0	0	2017-03-02	Chemical Probes Portal	
PQAPVTKIEGUPRN-UHFFFAOYSA-N	unsuitable	Yes	Yes	0	0	0	2017-03-02	Chemical Probes Portal	
WUGANDSUVKXMEC-UHFFFAOYSA-N	unsuitable	Yes	No	0	0	0	2017-03-02	Chemical Probes Portal	
YPSXFMHXRZAGTG-UHFFFAOYSA-N	unsuitable	No	Yes	0	0	0	2017-03-02	Chemical Probes Portal	
ILMNSCQOSGKTNZ-NKWVEPMBSA-N	unsuitable	No	Yes	0	0	0	2017-03-07	Chemical Probes Portal	
NAWIFPQLACUTSO-MXGDDHKLSA-N	unsuitable	No	Yes	0	0	0	2017-03-07	Chemical Probes Portal	
MUJOCHRZXRZONW-FOCLMDBBSA-N	unsuitable	No	Yes	0	0	0	2017-03-07	Chemical Probes Portal	
AELCINSCMGFISI-DTWKUNHWSA-N	unsuitable	No	No	0	0	0	2017-03-07	Chemical Probes Portal	
ZJZCTCNQTXBBFZ-PLMZOXRSSA-N	unsuitable	No	Yes	0	0	0	2017-03-07	Chemical Probes Portal	
YGSDEFSMJLZEOE-UHFFFAOYSA-M	unsuitable	No	No	0	0	0	2017-03-07	Chemical Probes Portal	
JAXSELKSZJMFSA-UHFFFAOYSA-N	unsuitable	No	No	0	0	0	2017-03-07	Chemical Probes Portal	
PAWIYAYFNXQGAP-UHFFFAOYSA-N	unsuitable	No	Yes	0	0	0	2017-03-07	Chemical Probes Portal	
FPOHNWQLNRZRFC-ZHACJKMWSA-N	unsuitable	Yes	Yes	0	0	0	2017-03-07	Chemical Probes Portal	
KGDMFBRXTHKRPA-GRCJMCHGSA-N	unsuitable	Yes	Yes	0	0	0	2017-03-07	Chemical Probes Portal	
PTJGLFIIZFVFJV-UHFFFAOYSA-N	unsuitable	No	Yes	0	0	0	2017-03-07	Chemical Probes Portal	
MUTBJZVSRNUIHA-UHFFFAOYSA-N	unsuitable	No	Yes	0	0	0	2017-03-07	Chemical Probes Portal	
IDQPVOFTURLJPT-UHFFFAOYSA-N	unsuitable	No	Yes	0	0	0	2017-03-07	Chemical Probes Portal	
GYKLFBYWXZYSOW-UHFFFAOYSA-N	unsuitable	No	Yes	0	0	0	2017-03-07	Chemical Probes Portal	
LTUGYAOMCKNTGG-UHFFFAOYSA-N	recommended	No	No	2.3333333333333335	0	3	2017-04-04	Chemical Probes Portal	
MIGJEXKBUJPKJF-UHFFFAOYSA-N	unsuitable	No	No	0	0	0	2017-04-04	Chemical Probes Portal	
RFTSSZJZXOSICM-GRSHGNNSSA-N	unsuitable	No	No	0	0	0	2017-03-02	Chemical Probes Portal	
QBKSWRVVCFFDOT-UHFFFAOYSA-N	unsuitable	Yes	Yes	0	0	0	2017-03-02	Chemical Probes Portal	
KLDXJTOLSGUMSJ-JGWLITMVSA-N	unsuitable	No	No	0	0	0	2017-03-02	Chemical Probes Portal	
UIFFUZWRFRDZJC-SBOOETFBSA-N	unsuitable	No	Yes	0	0	0	2017-03-02	Chemical Probes Portal	
PRDFBSVERLRRMY-UHFFFAOYSA-N	unsuitable	No	No	0	0	0	2017-03-02	Chemical Probes Portal	
RGGFUBMUOVFZEF-LDRVEFRDSA-N	unsuitable	Yes	Yes	0	0	0	2017-03-02	Chemical Probes Portal	
COHIEJLWRGREHV-XFFZJAGNSA-N	unsuitable	Yes	Yes	0	0	0	2017-03-02	Chemical Probes Portal	
YUYJEQHNWKQNBT-UHFFFAOYSA-N	unsuitable	No	No	0	0	0	2017-03-02	Chemical Probes Portal	
OUKYUETWWIPKQR-UHFFFAOYSA-N	unsuitable	No	No	0	0	0	2017-03-02	Chemical Probes Portal	
WUUGFSXJNOTRMR-IOSLPCCCSA-N	unsuitable	No	No	0	0	0	2017-03-07	Chemical Probes Portal	
LMXOHSDXUQEUSF-YECHIGJVSA-N	unsuitable	No	No	0	0	0	2017-03-07	Chemical Probes Portal	
IRSFLDGTOHBADP-UHFFFAOYSA-N	unsuitable	Yes	Yes	0	0	0	2017-03-07	Chemical Probes Portal	
VCMMXZQDRFWYSE-UHFFFAOYSA-N	unsuitable	Yes	Yes	0	0	0	2017-03-07	Chemical Probes Portal	
FECGNJPYVFEKOD-VMPITWQZSA-N	unsuitable	No	Yes	0	0	0	2017-03-07	Chemical Probes Portal	
YALNUENQHAQXEA-UHFFFAOYSA-N	unsuitable	No	Yes	0	0	0	2017-03-07	Chemical Probes Portal	
BWDQBBCUWLSASG-MDZDMXLPSA-N	unsuitable	No	Yes	0	0	0	2017-03-07	Chemical Probes Portal	
IVTKCTFTVKYWIQ-WEVVVXLNSA-N	unsuitable	No	Yes	0	0	0	2017-03-07	Chemical Probes Portal	
MAUCONCHVWBMHK-UHFFFAOYSA-N	unsuitable	No	Yes	0	0	0	2017-03-07	Chemical Probes Portal	
NCNRHFGMJRPRSK-MDZDMXLPSA-N	unsuitable	No	Yes	0	0	0	2017-03-07	Chemical Probes Portal	
JHDKZFFAIZKUCU-ZRDIBKRKSA-N	unsuitable	No	Yes	0	0	0	2017-03-07	Chemical Probes Portal	
JTDYUFSDZATMKU-UHFFFAOYSA-N	unsuitable	No	Yes	0	0	0	2017-03-07	Chemical Probes Portal	
RTKIYFITIVXBLE-QEQCGCAPSA-N	unsuitable	No	Yes	0	0	0	2017-03-07	Chemical Probes Portal	
MFBOGIVSZKQAPD-UHFFFAOYSA-M	unsuitable	No	No	0	0	0	2017-03-07	Chemical Probes Portal	
NIJJYAXOARWZEE-UHFFFAOYSA-N	unsuitable	No	Yes	0	0	0	2017-03-07	Chemical Probes Portal	
XHEFDIBZLJXQHF-UHFFFAOYSA-N	unsuitable	Yes	Yes	0	0	0	2017-03-07	Chemical Probes Portal	
CDRPUGZCRXZLFL-OWOJBTEDSA-N	unsuitable	Yes	Yes	0	0	0	2017-03-07	Chemical Probes Portal	
NETXMUIMUZJUTB-UHFFFAOYSA-N	unsuitable	No	No	0	0	0	2017-03-07	Chemical Probes Portal	
HUPFGZXOMWLGNK-UHFFFAOYSA-N	unsuitable	No	No	0	0	0	2017-03-20	Chemical Probes Portal	
XGALLCVXEZPNRQ-UHFFFAOYSA-N	unsuitable	No	No	0	0	0	2017-03-21	Chemical Probes Portal	
AYMYWHCQALZEGT-ORCRQEGFSA-N	unsuitable	Yes	Yes	0	0	0	2017-03-07	Chemical Probes Portal	
DXDRHHKMWQZJHT-FPYGCLRLSA-N	unsuitable	No	Yes	0	0	0	2017-03-07	Chemical Probes Portal	
KDPSGIFCBZTBEZ-UHFFFAOYSA-N	unsuitable	No	Yes	0	0	0	2017-03-07	Chemical Probes Portal	
ZZZYHIMVKOHVIH-MWFXHRFLSA-N	unsuitable	No	Yes	0	0	0	2017-03-17	Chemical Probes Portal	
QDKLRKZQSOQWJQ-SMDXAGPFSA-N	unsuitable	Yes	Yes	0	0	0	2017-03-20	Chemical Probes Portal	
AJRGHIGYPXNABY-UHFFFAOYSA-N	unsuitable	No	Yes	0	0	0	2017-04-10	Chemical Probes Portal	
JWOGUUIOCYMBPV-GMFLJSBRSA-N	unsuitable	No	No	0	0	0	2017-04-11	Chemical Probes Portal	
VAZAPHZUAVEOMC-UHFFFAOYSA-N	unsuitable	No	Yes	0	0	0	2017-04-11	Chemical Probes Portal	
DLVJMFOLJOOWFS-VJIFSZOSSA-N	unsuitable	No	Yes	0	0	0	2017-04-11	Chemical Probes Portal	
GNYCTMYOHGBSBI-KVUCBBCISA-N	unsuitable	No	Yes	0	0	0	2017-04-11	Chemical Probes Portal	
HRNLUBSXIHFDHP-UHFFFAOYSA-N	unsuitable	No	Yes	0	0	0	2017-04-11	Chemical Probes Portal	
INVTYAOGFAGBOE-UHFFFAOYSA-N	unsuitable	No	Yes	0	0	0	2017-04-11	Chemical Probes Portal	
DEZFNHCVIZBHBI-ZHACJKMWSA-N	unsuitable	No	No	0	0	0	2017-06-27	Chemical Probes Portal	
URWCXPXBBITYLR-UHFFFAOYSA-N	unsuitable	No	No	0	0	0	2017-07-08	Chemical Probes Portal	
PVRYEWOXWGDQHA-URLMMPGGSA-N	unsuitable	No	No	0	0	0	2017-06-02	Chemical Probes Portal	
UNXQGBMZYKHQCO-NVHWNKAKSA-N	unsuitable	No	No	0	0	0	2017-06-02	Chemical Probes Portal	
