inchikey	target_key	moa	bioactivity_type	relation	value	unit	assay_type	assay_description	cell_line	concentration	concentration_unit	source_db	source	source_xref	xref_id
GEPYBHCJBORHCE-SFHVURJKSA-N	Q92793	antagonist					cell	In HeLa cells, SGC-CBP30 displaced CREBBP from chromatin in a FRAP assay.				Chemical Probes Portal	SGC-CBP30	sgc-cbp30	https://www.chemicalprobes.org/
YTGYWPTWNBGCLG-UHFFFAOYSA-N	Q9H773	inhibitor			20	nM	biochemical	Enzymatic assay				Chemical Probes Portal	DOI:10.1021/acs.jmedchem.6b01786	zinc4511851	https://www.chemicalprobes.org/
YTGYWPTWNBGCLG-UHFFFAOYSA-N	Q9H773	inhibitor			10		binding	DSF				Chemical Probes Portal	DOI:10.1021/acs.jmedchem.6b01786	zinc4511851	https://www.chemicalprobes.org/
YTGYWPTWNBGCLG-UHFFFAOYSA-N	Q9H773	inhibitor	ΔTm		10.7	degC	cell	CETSA				Chemical Probes Portal	DOI:10.1021/acs.jmedchem.6b01786	zinc4511851	https://www.chemicalprobes.org/
CCAWRGNYALGPQH-UHFFFAOYSA-N	P48735	inhibitor			23	nM	biochemical	Enzymatic assay				Chemical Probes Portal	AGI-6780	agi-6780	https://www.chemicalprobes.org/
CCAWRGNYALGPQH-UHFFFAOYSA-N	P48735	inhibitor	IC50		11	nM	cell	In U87 cells expressing the mutant protein, AGI-6780 dose-dependently decreased 2HG levels.				Chemical Probes Portal	AGI-6780	agi-6780	https://www.chemicalprobes.org/
JCKGSPAAPQRPBW-OAQYLSRUSA-N	Q8WTS6	inhibitor			0.33	nM	biochemical	IC50 = 2 nM in radioactive methyltransferase assay, transfer of 3H from 3H-SAM to peptide substrate				Chemical Probes Portal	(R)-PFI-2	r-pfi-2	https://www.chemicalprobes.org/
JCKGSPAAPQRPBW-OAQYLSRUSA-N	Q8WTS6	inhibitor					cell	CETSA				Chemical Probes Portal	(R)-PFI-2	r-pfi-2	https://www.chemicalprobes.org/
BJFSUDWKXGMUKA-UHFFFAOYSA-N	Q9H8M2	inhibitor			14	nM	biochemical	Isothermal titration calorimetry				Chemical Probes Portal	BI-9564	bi-9564	https://www.chemicalprobes.org/
BJFSUDWKXGMUKA-UHFFFAOYSA-N	Q9H8M2	inhibitor			6	nM	biochemical	DiscoveRx				Chemical Probes Portal	BI-9564	bi-9564	https://www.chemicalprobes.org/
BJFSUDWKXGMUKA-UHFFFAOYSA-N	Q9H8M2	inhibitor	IC50		275	nM	cell	"BRD9 FRAP assay ~90%  inhibition at 100 nM
Recovery After Photobleaching (FRAP) assay U2OS cells transfected with GFP-BRD9: measurement of recovery half times of wild-type cells treated with DMSO in the absence or presence of 2.5 µM SAHA or treated with BI-9564 at different concentrations"				Chemical Probes Portal	BI-9564	bi-9564	https://www.chemicalprobes.org/
BJFSUDWKXGMUKA-UHFFFAOYSA-N	Q9NPI1	inhibitor			239	nM	biochemical	DiscoveRx				Chemical Probes Portal	BI-9564	bi-9564	https://www.chemicalprobes.org/
BJFSUDWKXGMUKA-UHFFFAOYSA-N	Q9NPI1	inhibitor					cell	"BRD7 FRAP assay full  inhibition at 1µM in
Recovery After Photobleaching (FRAP) assay U2OS cells transfected with GFP-BRD7: measurement of recovery half times of wild-type cells treated with DMSO in the absence or presence of 2.5 µM SAHA or treated with BI-9564"				Chemical Probes Portal	BI-9564	bi-9564	https://www.chemicalprobes.org/
RNAMYOYQYRYFQY-UHFFFAOYSA-N	Q96KQ7	inhibitor			3.7	nM	biochemical	Enzymatic activity assays.				Chemical Probes Portal	UNC0642	unc0642	https://www.chemicalprobes.org/
RNAMYOYQYRYFQY-UHFFFAOYSA-N	Q96KQ7	inhibitor	IC50		110	nM	cell	Inhibition of protein substrate (H3K9) methylation assessed by in cell western in MDA-MB-231 cells. Comparable results were also obtained in U2OS, PC3 and PANC-1 cells.				Chemical Probes Portal	UNC0642	unc0642	https://www.chemicalprobes.org/
RNAMYOYQYRYFQY-UHFFFAOYSA-N	Q9H9B1	inhibitor		<	2.5	nM	biochemical	Enzymatic activity assays.				Chemical Probes Portal	UNC0642	unc0642	https://www.chemicalprobes.org/
RNAMYOYQYRYFQY-UHFFFAOYSA-N	Q9H9B1	inhibitor	IC50		110	nM	cell	Inhibition of protein substrate (H3K9) methylation assessed by in cell western in MDA-MB-231 cells. Comparable results were also obtained in U2OS, PC3 and PANC-1 cells.				Chemical Probes Portal	UNC0642	unc0642	https://www.chemicalprobes.org/
QOECJCJVIMVJGX-UHFFFAOYSA-N	Q96KQ7	inhibitor			27	nM	binding	SPR				Chemical Probes Portal	UNC0638	unc0638	https://www.chemicalprobes.org/
QOECJCJVIMVJGX-UHFFFAOYSA-N	Q96KQ7	inhibitor		<	15	nM	biochemical	Fluorescence-based SAHH coupled assay.				Chemical Probes Portal	UNC0638	unc0638	https://www.chemicalprobes.org/
QOECJCJVIMVJGX-UHFFFAOYSA-N	Q96KQ7	inhibitor	IC50		81	nM	cell	In-cell western of protein substrate methylation assay				Chemical Probes Portal	UNC0638	unc0638	https://www.chemicalprobes.org/
QOECJCJVIMVJGX-UHFFFAOYSA-N	Q9H9B1	inhibitor			19	nM	binding	SPR				Chemical Probes Portal	UNC0638	unc0638	https://www.chemicalprobes.org/
DPJNKUOXBZSZAI-UHFFFAOYSA-N	Q15910	inhibitor			10	nM	biochemical	"Transfer of 3H from SAM to peptide substrate in in vitro enzymatic assay.
UNC1999's Ki for EZH2/SAM = 4.6 nM."				Chemical Probes Portal	UNC1999	unc1999	https://www.chemicalprobes.org/
DPJNKUOXBZSZAI-UHFFFAOYSA-N	Q15910	inhibitor			4.6	nM	biochemical	Transfer of 3H from SAM to peptide substrate in in vitro enzymatic assay.				Chemical Probes Portal	UNC1999	unc1999	https://www.chemicalprobes.org/
DPJNKUOXBZSZAI-UHFFFAOYSA-N	Q15910	inhibitor	IC50		124	nM	cell	in-cell western to detect protein substrate methylation in MCF10A cells				Chemical Probes Portal	UNC1999	unc1999	https://www.chemicalprobes.org/
DPJNKUOXBZSZAI-UHFFFAOYSA-N	Q92800	inhibitor			45	nM	biochemical	Transfer of 3H from SAM to peptide substrate in in vitro enzymatic assay.				Chemical Probes Portal	UNC1999	unc1999	https://www.chemicalprobes.org/
DPJNKUOXBZSZAI-UHFFFAOYSA-N	Q92800	inhibitor	IC50		124	nM	cell	in-cell western to detect protein substrate methylation in MCF10A cells				Chemical Probes Portal	UNC1999	unc1999	https://www.chemicalprobes.org/
WBKCKEHGXNWYMO-UHFFFAOYSA-N	O15054	inhibitor			60	nM	biochemical	Alpha screen				Chemical Probes Portal	GSK-J4	gsk-j4	https://www.chemicalprobes.org/
WBKCKEHGXNWYMO-UHFFFAOYSA-N	O15054	inhibitor	IC50		9000	nM	cell	Inhibition of TNF alpha release in primary human macrophages				Chemical Probes Portal	GSK-J4	gsk-j4	https://www.chemicalprobes.org/
BKCDJTRMYWSXMC-UHFFFAOYSA-N	Q96KQ7	inhibitor			3.6	nM	biochemical	Peptide-based AlphaLISA, measuring the levels of H3K9 dimethylation				Chemical Probes Portal	A-366	a-366	https://www.chemicalprobes.org/
BKCDJTRMYWSXMC-UHFFFAOYSA-N	Q96KQ7	inhibitor	% inhibition	~	50	%	cell	A-366 produced a dose-dependent reduction in cellular levels of H3K27Me in PC3 cells, with levels reduced ~50% at 3 uM.		3	uM	Chemical Probes Portal	A-366	a-366	https://www.chemicalprobes.org/
BKCDJTRMYWSXMC-UHFFFAOYSA-N	Q9H9B1	inhibitor			38	nM	biochemical	Peptide-based AlphaLISA, measuring the levels of H3K9 dimethylation				Chemical Probes Portal	A-366	a-366	https://www.chemicalprobes.org/
TWKYXZSXXXKKJU-FQEVSTJZSA-N	O14744	inhibitor			4	nM	biochemical	Homogeneous time-resolved fluorescence (HTRF) assay under balanced conditions to monitor the monomethylation of H4R3 on a histone H4 peptide by PRMT5:MEP50.				Chemical Probes Portal	GSK591	gsk591	https://www.chemicalprobes.org/
TWKYXZSXXXKKJU-FQEVSTJZSA-N	O14744	inhibitor	IC50		3	nM	cell	In-cell western assay following inhibition of symmetric dimethylation of arginine-containing substrates in Z-138 cells over 4 days.				Chemical Probes Portal	GSK591	gsk591	https://www.chemicalprobes.org/
OTTJIRVZJJGFTK-SFHVURJKSA-N	Q9NRG4	inhibitor			27	nM	binding	Scintillation proximity assay				Chemical Probes Portal	BAY-598	bay-598	https://www.chemicalprobes.org/
