resource	xref	inchikey
canSAR	1588377	MLKHXLFEYOOYEY-NVNXTCNLSA-N
canSAR	1889063	FMETVQKSDIOGPX-UHFFFAOYSA-N
canSAR	716875	SXOZSDJHGMAEGZ-IGKKHSBFSA-N
canSAR	524806	ISOCDPQFIXDIMS-HSZRJFAPSA-N
canSAR	1907784	BLQYVHBZHAISJM-CMDGGOBGSA-N
canSAR	916365	CXQHYVUVSFXTMY-UHFFFAOYSA-N
canSAR	826661	XZXHXSATPCNXJR-UHFFFAOYSA-N
canSAR	614800	IFPPYSWJNWHOLQ-UHFFFAOYSA-N
canSAR	501089	ZBNZXTGUTAYRHI-UHFFFAOYSA-N
canSAR	567748	GCIKSSRWRFVXBI-UHFFFAOYSA-N
canSAR	1302916	JJWMRRNGWSITSQ-UHFFFAOYSA-N
canSAR	849266	HAYYBYPASCDWEQ-UHFFFAOYSA-N
canSAR	265157	GKEYKDOLBLYGRB-LGMDPLHJSA-N
canSAR	997861	JLYAXFNOILIKPP-KXQOOQHDSA-N
canSAR	147527	UQTPDWDAYHAZNT-AWEZNQCLSA-N
canSAR	848780	WVXNSAVVKYZVOE-UHFFFAOYSA-N
canSAR	429624	MLDQJTXFUGDVEO-UHFFFAOYSA-N
canSAR	1321633	UYJZZVDLGDDTCL-UHFFFAOYSA-N
canSAR	1264460	WVMANZPBOBRWCB-UHFFFAOYSA-N
canSAR	202015	GZFYZYBWLCYBMI-MYZJJQSMSA-N
canSAR	466403	QYPJBTMRYKRTFG-UHFFFAOYSA-N
canSAR	886037	HHKGVQGXRGQBBA-UHFFFAOYSA-N
canSAR	1453644	UUECJWRVDTUDCB-ISLYRVAYSA-N
canSAR	24483	MDOJTZQKHMAPBK-UHFFFAOYSA-N
canSAR	1688064	LLEJIEBFSOEYIV-UHFFFAOYSA-N
canSAR	572876	PBJKWGWHZVXBGU-UHFFFAOYSA-N
canSAR	1596359	SXJDCULZDFWMJC-UHFFFAOYSA-N
canSAR	234445	HYTMVPCGCCQGST-JGUILPGDSA-N
canSAR	839902	PQAPVTKIEGUPRN-UHFFFAOYSA-N
canSAR	1829299	WUGANDSUVKXMEC-UHFFFAOYSA-N
canSAR	3312891	YPSXFMHXRZAGTG-UHFFFAOYSA-N
canSAR	1146558	ILMNSCQOSGKTNZ-NKWVEPMBSA-N
canSAR	1144457	NAWIFPQLACUTSO-MXGDDHKLSA-N
canSAR	719521	MUJOCHRZXRZONW-FOCLMDBBSA-N
canSAR	45808	AELCINSCMGFISI-DTWKUNHWSA-N
canSAR	3312903	ZJZCTCNQTXBBFZ-PLMZOXRSSA-N
canSAR	2880280	YGSDEFSMJLZEOE-UHFFFAOYSA-M
canSAR	3312911	JAXSELKSZJMFSA-UHFFFAOYSA-N
canSAR	256735	PAWIYAYFNXQGAP-UHFFFAOYSA-N
canSAR	1710013	FPOHNWQLNRZRFC-ZHACJKMWSA-N
canSAR	1718170	KGDMFBRXTHKRPA-GRCJMCHGSA-N
canSAR	1123828	PTJGLFIIZFVFJV-UHFFFAOYSA-N
canSAR	169499	MUTBJZVSRNUIHA-UHFFFAOYSA-N
canSAR	30287	IDQPVOFTURLJPT-UHFFFAOYSA-N
canSAR	28056	GYKLFBYWXZYSOW-UHFFFAOYSA-N
canSAR	190291	LTUGYAOMCKNTGG-UHFFFAOYSA-N
canSAR	1119325	MIGJEXKBUJPKJF-UHFFFAOYSA-N
canSAR	1500972	RFTSSZJZXOSICM-GRSHGNNSSA-N
canSAR	754444	QBKSWRVVCFFDOT-UHFFFAOYSA-N
canSAR	56967	KLDXJTOLSGUMSJ-JGWLITMVSA-N
canSAR	793808	UIFFUZWRFRDZJC-SBOOETFBSA-N
canSAR	565476	PRDFBSVERLRRMY-UHFFFAOYSA-N
canSAR	1556735	RGGFUBMUOVFZEF-LDRVEFRDSA-N
canSAR	1320297	COHIEJLWRGREHV-XFFZJAGNSA-N
canSAR	1868394	YUYJEQHNWKQNBT-UHFFFAOYSA-N
canSAR	766308	OUKYUETWWIPKQR-UHFFFAOYSA-N
canSAR	1171526	WUUGFSXJNOTRMR-IOSLPCCCSA-N
canSAR	1823000	LMXOHSDXUQEUSF-YECHIGJVSA-N
canSAR	1241811	IRSFLDGTOHBADP-UHFFFAOYSA-N
canSAR	30007	VCMMXZQDRFWYSE-UHFFFAOYSA-N
canSAR	1583363	FECGNJPYVFEKOD-VMPITWQZSA-N
canSAR	350456	YALNUENQHAQXEA-UHFFFAOYSA-N
canSAR	1902688	BWDQBBCUWLSASG-MDZDMXLPSA-N
canSAR	1496674	IVTKCTFTVKYWIQ-WEVVVXLNSA-N
canSAR	256658	MAUCONCHVWBMHK-UHFFFAOYSA-N
canSAR	1322821	NCNRHFGMJRPRSK-MDZDMXLPSA-N
canSAR	1718108	JHDKZFFAIZKUCU-ZRDIBKRKSA-N
canSAR	1487542	JTDYUFSDZATMKU-UHFFFAOYSA-N
canSAR	1317329	RTKIYFITIVXBLE-QEQCGCAPSA-N
canSAR	1190	MFBOGIVSZKQAPD-UHFFFAOYSA-M
canSAR	45378	NIJJYAXOARWZEE-UHFFFAOYSA-N
canSAR	1234742	XHEFDIBZLJXQHF-UHFFFAOYSA-N
canSAR	1066438	CDRPUGZCRXZLFL-OWOJBTEDSA-N
canSAR	1857922	NETXMUIMUZJUTB-UHFFFAOYSA-N
canSAR	1065883	HUPFGZXOMWLGNK-UHFFFAOYSA-N
canSAR	337949	XGALLCVXEZPNRQ-UHFFFAOYSA-N
canSAR	1166678	AYMYWHCQALZEGT-ORCRQEGFSA-N
canSAR	1116690	DXDRHHKMWQZJHT-FPYGCLRLSA-N
canSAR	1508966	KDPSGIFCBZTBEZ-UHFFFAOYSA-N
canSAR	720663	ZZZYHIMVKOHVIH-MWFXHRFLSA-N
canSAR	898879	QDKLRKZQSOQWJQ-SMDXAGPFSA-N
canSAR	1358819	AJRGHIGYPXNABY-UHFFFAOYSA-N
canSAR	902928	JWOGUUIOCYMBPV-GMFLJSBRSA-N
canSAR	1170255	VAZAPHZUAVEOMC-UHFFFAOYSA-N
canSAR	51775	DLVJMFOLJOOWFS-VJIFSZOSSA-N
canSAR	3312889	GNYCTMYOHGBSBI-KVUCBBCISA-N
canSAR	244348	HRNLUBSXIHFDHP-UHFFFAOYSA-N
canSAR	1888264	INVTYAOGFAGBOE-UHFFFAOYSA-N
canSAR	754171	DEZFNHCVIZBHBI-ZHACJKMWSA-N
canSAR	1061093	URWCXPXBBITYLR-UHFFFAOYSA-N
canSAR	847292	PVRYEWOXWGDQHA-URLMMPGGSA-N
canSAR	724668	UNXQGBMZYKHQCO-NVHWNKAKSA-N
canSAR	203147	RLUGRMMSGGKTPV-UHFFFAOYSA-N
canSAR	851760	UOVSZRTTWLJPHE-HNXAPSNLSA-N
canSAR	1078674	NNGMKDJOKUWNGN-NMMPVGNLSA-N
canSAR	865782	IYDMGGPKSVWQRT-UHFFFAOYSA-N
canSAR	813911	BDUHCSBCVGXTJM-WUFINQPMSA-N
