inchikey	property	ordinal	value	source_db	source
KVJFJJXCBRSCDY-UHFFFAOYSA-N	control_compound	0	WM-2474	Chemical Probes Portal	
PGIVGIFOWOVINL-GOSISDBHSA-N	control_compound	0	BAY-677	Chemical Probes Portal	
WZQLVEPIBAOOGF-RMMWZPCPSA-N	control_compound	0	GSK943	Chemical Probes Portal	
JZTTUZXIQIRVAB-FZEVHQGJSA-N	control_compound	0	BI 9446	Chemical Probes Portal	
VLLFGVHGKLDDLW-SFHVURJKSA-N	control_compound	0	cpd 10	Chemical Probes Portal	
UEMQPCYDWCSVCU-UHFFFAOYSA-N	control_compound	0	NI-198	Chemical Probes Portal	
WILMROCKORZEMQ-VJVIIGMYSA-N	control_compound	0	ISOAPOPTOLIDIN	Chemical Probes Portal	
NBDJDKAXIGWAIM-XZOQPEGZSA-N	control_compound	0	(S,S)-59	Chemical Probes Portal	
YQOLEILXOBUDMU-KRWDZBQOSA-N	control_compound	0	BAY-403	Chemical Probes Portal	
GACOFEKSDCOVMV-RRYXBOBMSA-N	control_compound	0	(+)-englerin A	Chemical Probes Portal	
SQNZDYHMCMIGGV-TZPPCSJFSA-N	control_compound	0	cis-AT1	Chemical Probes Portal	
RNQODBQYMXYMCT-SJORKVTESA-N	control_compound	0	BAY-448	Chemical Probes Portal	
RFZQYGBLRIKROZ-PCLIKHOPSA-N	control_compound	0	cpd 6	Chemical Probes Portal	
BPLVDYJDAVYLRQ-UHFFFAOYSA-N	control_compound	0	JNJ-40573663	Chemical Probes Portal	
BFTKDWYIRJGJCA-CYBMUJFWSA-N	control_compound	0	enant-CPI-637: S)-4-methyl-6-(1-methyl-3-(1-methyl-1H-pyrazol-4-yl)-1H-indazol-5-yl)-1,3,4,5-tetrahydro-2H-benzo[b][1,4]diazepin-2-one	Chemical Probes Portal	
OFWWWKWUCDUISA-UHFFFAOYSA-N	control_compound	0	BAY-364	Chemical Probes Portal	
CDQRIIUMNLMHRH-UHFFFAOYSA-N	control_compound	0	T-26f (5-((benzyl(methyl)amino)methyl)-N-(3-methoxybenzyl)-4-oxo-3,4-dihydrothieno[2,3-d]pyrimidine-2-carboxamide)	Chemical Probes Portal	
UMRRDXVUROEIKJ-JCXBGQGISA-N	control_compound	0	UNC4219	Chemical Probes Portal	
NRSGWEVTVGZDFC-UHFFFAOYSA-N	control_compound	0	BAY-4900	Chemical Probes Portal	
ARBRHWRTXPWZGN-UHFFFAOYSA-N	control_compound	0	Cpd 4	Chemical Probes Portal	
PXVFFBGSTYQHRO-REQIQPEASA-N	control_compound	0	DT2216NC	Chemical Probes Portal	
LIMCHOLAKDUZDS-XARBDFOFSA-N	control_compound	0	(-)CRBN-6-5-5-VHL	Chemical Probes Portal	
LIMCHOLAKDUZDS-XARBDFOFSA-N	control_compound	1	(*)CRBN-6-5-5-VHL	Chemical Probes Portal	
LIMCHOLAKDUZDS-XARBDFOFSA-N	control_compound	2	CRBN-6-5-5-VHL(-)	Chemical Probes Portal	
LIMCHOLAKDUZDS-XARBDFOFSA-N	control_compound	3	(-)CRBN-6-5-5-VHL(-)	Chemical Probes Portal	
QMGHHBHPDDAGGO-IIWOMYBWSA-N	control_compound	0	TBK1 control PROTAC 4	Chemical Probes Portal	
ZDBWLRLGUBSLPG-FDHYQTMZSA-N	control_compound	0	ddSAFit2	Chemical Probes Portal	
FWLMVFUGMHIOAA-UHFFFAOYSA-N	control_compound	0	PF-00911705	Chemical Probes Portal	
PNYRDVBFYVDJJI-UHFFFAOYSA-N	control_compound	0	SGC705	Chemical Probes Portal	
QPTCYEYTAWEZNT-UHFFFAOYSA-N	control_compound	0	ZINC37781618	Chemical Probes Portal	
BIAVGWDGIJKWRM-FQEVSTJZSA-N	control_compound	0	SB-223411	Chemical Probes Portal	
XNULRSOGWPFPBL-REWPJTCUSA-N	control_compound	0	3S,3aS-27c	Chemical Probes Portal	
UQZCQKXJAXKZQH-LBPRGKRZSA-N	control_compound	0	RBN250036	Chemical Probes Portal	
LCFFREMLXLZNHE-GBOLQPHISA-N	control_compound	0	cpd 17	Chemical Probes Portal	
