inchikey	property	ordinal	value	source_db	source
HKXSBJJCHBFTMB-UHFFFAOYSA-N	control_compound	0	ferrostatin-1	Chemical Probes Portal	
IRKXKBMGTVDZAJ-UHFFFAOYSA-N	control_compound	0	cpd 14A	Chemical Probes Portal	
VBTBURGKMCKOJC-UHFFFAOYSA-N	control_compound	0	cpd 20n	Chemical Probes Portal	
JJRRWLVKNLMRSA-UHFFFAOYSA-N	control_compound	0	MS8535N	Chemical Probes Portal	
VZAFGXCWAWRULT-UONOGXRCSA-N	control_compound	0	GSK4028	Chemical Probes Portal	
OLEFHQBTXFCZON-HXUWFJFHSA-N	control_compound	0	JNJ-6240	Chemical Probes Portal	
WZMIWVZGYMKUDV-UHFFFAOYSA-N	control_compound	0	CANSAR3893768	Chemical Probes Portal	
LPQXZOJIUVOCAL-NRFANRHFSA-N	control_compound	0	BAY-1880	Chemical Probes Portal	
XVECNLUKQDKOST-UHFFFAOYSA-N	control_compound	0	NVS-CECR2-C	Chemical Probes Portal	
CKFRXCBNKKOFGO-IGEOTXOUSA-N	control_compound	0	BAY-444	Chemical Probes Portal	
MMJPVSDTLGFIQW-UHFFFAOYSA-N	control_compound	0	BI 4395	Chemical Probes Portal	
ZGTWRRCZLAOQMY-UHFFFAOYSA-N	control_compound	0	canSAR1285572	Chemical Probes Portal	
UFKFTBGGMLIIME-DEOSSOPVSA-N	control_compound	0	LH222	Chemical Probes Portal	
MVULIYLBRNHLEE-LFHXYJAASA-N	control_compound	0	PROTAC-7	Chemical Probes Portal	
BOXZMOCGSKLDAH-OUZJXKGJSA-N	control_compound	0	canSAR3923653	Chemical Probes Portal	
KBTKRNXLECYGBY-NERSTHRASA-N	control_compound	0	CANSAR4199059	Chemical Probes Portal	
OFNZESNEBSQKSE-BQGOKDIQSA-N	control_compound	0	CANSAR3550550	Chemical Probes Portal	
OFNZESNEBSQKSE-BQGOKDIQSA-N	control_compound	1	CANSAR3550551	Chemical Probes Portal	
GJCIYFAPQUEGNE-UHFFFAOYSA-N	control_compound	0	canSAR3135622	Chemical Probes Portal	
GEPYBHCJBORHCE-SFHVURJKSA-N	control_compound	0	SGC-CBP30N (BDOIA513)	Chemical Probes Portal	
JCKGSPAAPQRPBW-OAQYLSRUSA-N	control_compound	0	(S)-PFI-2	Chemical Probes Portal	
BJFSUDWKXGMUKA-UHFFFAOYSA-N	control_compound	0	Not available	Chemical Probes Portal	
QOECJCJVIMVJGX-UHFFFAOYSA-N	control_compound	0	QQS	Chemical Probes Portal	
DPJNKUOXBZSZAI-UHFFFAOYSA-N	control_compound	0	UNC2400	Chemical Probes Portal	
WBKCKEHGXNWYMO-UHFFFAOYSA-N	control_compound	0	Ethyl 3-((6-(4,5-dihydro-1H-benzo[d]azepin-3(2H)-yl)-2-(pyridin-3-yl)pyrimidin-4-yl)amino)propanoate	Chemical Probes Portal	
BKCDJTRMYWSXMC-UHFFFAOYSA-N	control_compound	0	DS607	Chemical Probes Portal	
OTTJIRVZJJGFTK-SFHVURJKSA-N	control_compound	0	canSAR543398	Chemical Probes Portal	
ZKXZLIFRWWKZRY-KRWDZBQOSA-N	control_compound	0	canSAR1582710	Chemical Probes Portal	
ABGOSOMRWSYAOB-UHFFFAOYSA-N	control_compound	0	A-197	Chemical Probes Portal	
ABGOSOMRWSYAOB-UHFFFAOYSA-N	control_compound	1	SGC2043	Chemical Probes Portal	
LGWDVWIZDPGCFG-UHFFFAOYSA-N	control_compound	0	PZ-3067	Chemical Probes Portal	
IFWUBRBMMNTBRZ-UHFFFAOYSA-N	control_compound	0	N-Methyl-PDD00017273	Chemical Probes Portal	
REVJNSVNICWODC-KIDMSAQOSA-N	control_compound	0	A-395N	Chemical Probes Portal	
NDVQUNZCNAMROD-RZUBCFFCSA-N	control_compound	0	cisVH298	Chemical Probes Portal	
PIEQDBPBBQPLPL-UHFFFAOYSA-N	control_compound	0	canSAR3136718	Chemical Probes Portal	
BHUZLJOUHMBZQY-YXQOSMAKSA-N	control_compound	0	NILTUBACIN	Chemical Probes Portal	
VPQCHIWQHIOPQS-UHFFFAOYSA-N	control_compound	0	canSAR4558227	Chemical Probes Portal	
HXBRBOYWXDLHDC-UHFFFAOYSA-N	control_compound	0	RL2578	Chemical Probes Portal	
RJTJRVASUFIDQM-UHFFFAOYSA-N	control_compound	0	MSD-M1PAM-NC	Chemical Probes Portal	
MDGIEDNDSFMSLP-UHFFFAOYSA-N	control_compound	0	ZINC32547799	Chemical Probes Portal	
YCBIMOYJAYMCOJ-CCEZHUSRSA-N	control_compound	0	UNC11366	Chemical Probes Portal	
YCBIMOYJAYMCOJ-CCEZHUSRSA-N	control_compound	1	UNC11277	Chemical Probes Portal	
GYKNPXCQINZRLL-UHFFFAOYSA-N	control_compound	0	JB211	Chemical Probes Portal	
ISNXAOFEMNFJCO-YUXAGFNASA-N	control_compound	0	ABD298	Chemical Probes Portal	
ISNXAOFEMNFJCO-YUXAGFNASA-N	control_compound	1	JJH254	Chemical Probes Portal	
XUZMWHLSFXCVMG-UHFFFAOYSA-N	control_compound	0	INCB027753	Chemical Probes Portal	
XUZMWHLSFXCVMG-UHFFFAOYSA-N	control_compound	1	INCB029843	Chemical Probes Portal	
ZBCMHWUFWQFPLV-VVOJOOEHSA-N	control_compound	0	(R)-6-(2-Chloro-4-(4-methyl-2-oxopyridin-1(2H)-yl)phenyl)- 2-(methylamino)-8-(morpholin-2-ylmethyl)pyrido[2,3-d]- pyrimidin-7(8H)-one	Chemical Probes Portal	
JCINBYQJBYJGDM-UHFFFAOYSA-N	control_compound	0	Not available	Chemical Probes Portal	
IENLGMOXAQMNEH-CYBMUJFWSA-N	control_compound	0	Not available	Chemical Probes Portal	
MJSHVHLADKXCML-RQNOJGIXSA-N	control_compound	0	Compound 20 from J Med Chem paper	Chemical Probes Portal	
SXQZEMXQTRNLRZ-HXUWFJFHSA-N	control_compound	0	(S)-SKBG-1N	Chemical Probes Portal	
GXTJETQFYHZHNB-GASCZTMLSA-N	control_compound	0	BI-5273	Chemical Probes Portal	
QLXULUNLCRKWRD-UHFFFAOYSA-N	control_compound	0	WM-2474	Chemical Probes Portal	
JWZSSEWMVYKYKW-UHFFFAOYSA-N	control_compound	0	FM-743	Chemical Probes Portal	
OZFFKOSQNBBYCA-UHFFFAOYSA-N	control_compound	0	BAY-974	Chemical Probes Portal	
WBLVOWHFRUAMCP-UHFFFAOYSA-N	control_compound	0	CANSAR1840627	Chemical Probes Portal	
DTBGJTHCIGPRDA-UHFFFAOYSA-N	control_compound	0	STM2120	Chemical Probes Portal	
DKZYXHCYPUVGAF-JCNLHEQBSA-N	control_compound	0	Cpd1	Chemical Probes Portal	
YKDZIFFKQUNVHH-UHFFFAOYSA-N	control_compound	0	SGC-CK2-1N	Chemical Probes Portal	
GJYVLTPTDBQQCY-UHFFFAOYSA-N	control_compound	0	SGC-CLK-1	Chemical Probes Portal	
KNLROUBMVYVLGX-UHFFFAOYSA-N	control_compound	0	Compound 2 from Smith et al. 2016 (propionamide of JAK3i)	Chemical Probes Portal	
AUWUGRCKTQSGJY-HHHXNRCGSA-N	control_compound	0	MIC-nc	Chemical Probes Portal	
GSGDUDAFETZSPM-IATAILRESA-N	control_compound	0	canSAR3997277	Chemical Probes Portal	
FMTVWAGUJRUAKE-UHFFFAOYSA-N	control_compound	0	MS094	Chemical Probes Portal	
BNTAEJNPQLMGDJ-LLVKDONJSA-N	control_compound	0	TPn-004	Chemical Probes Portal	
LQTWDAYNGMMHLV-UHFFFAOYSA-N	control_compound	0	JQEZ23	Chemical Probes Portal	
YHMDHAMZFMNMTF-MSOLQXFVSA-N	control_compound	0	(2R,4R)-1-(3-Cyano-6-methyl-4-(trifluoromethyl)pyridin-2-yl)-4-hydroxy-N-methyl-N-(m-tolyl)pyrrolidine-2-carboxamide	Chemical Probes Portal	
DMIDPTCQPIJYFE-UHFFFAOYSA-N	control_compound	0	XY1	Chemical Probes Portal	
HSVRUECLQUGTDS-UHFFFAOYSA-N	control_compound	0	AGI-38053	Chemical Probes Portal	
VUIRVWPJNKZOSS-UHFFFAOYSA-N	control_compound	0	NCGC-959	Chemical Probes Portal	
NVGROBHDOYRPAN-FPTDNZKUSA-N	control_compound	0	NVS-MALT1-C	Chemical Probes Portal	
VKQBTIMLSDGNLG-QHCPKHFHSA-N	control_compound	0	BAY-897	Chemical Probes Portal	
NIHAFOURWLZLFN-UHFFFAOYSA-N	control_compound	0	CANSAR3935430	Chemical Probes Portal	
WXTJCPHELGTTJU-FMKPAKJESA-N	control_compound	0	canSAR7067859	Chemical Probes Portal	
DNVFTXQYIYFQBW-UHFFFAOYSA-N	control_compound	0	FRIN-1	Chemical Probes Portal	
ASRLBLHATMXGPC-UHFFFAOYSA-N	control_compound	0	BI-4827	Chemical Probes Portal	
GJMZWYLOARVASY-NTCAYCPXSA-N	control_compound	0	canSAR3595486	Chemical Probes Portal	
LBFYQISQYCGDDW-UHFFFAOYSA-N	control_compound	0	Compound 7 and 9 (Nat. Chem. Biol. 2015, 11, 973-980)	Chemical Probes Portal	
ODRITQGYYWHQGM-INIZCTEOSA-N	control_compound	0	MSC2530819	Chemical Probes Portal	
XBWKVZHZUZNMJE-UHFFFAOYSA-N	control_compound	0	JA262	Chemical Probes Portal	
BXNMZRPTQFVRFA-QGZVFWFLSA-N	control_compound	0	PF-05257137	Chemical Probes Portal	
RSJAXPUYVJKAAA-JPGJPTAESA-N	control_compound	0	BIIE0212	Chemical Probes Portal	
OAEWNSKRLBVVBV-QSEAXJEQSA-N	control_compound	0	A-545	Chemical Probes Portal	
BZCALJIHZVNMGJ-HSZRJFAPSA-N	control_compound	0	cpd 9b	Chemical Probes Portal	
KDFQABSFVYLGPM-QFIPXVFZSA-N	control_compound	0	CANSAR236284	Chemical Probes Portal	
PZGSYNNVPNLHQG-SANMLTNESA-N	control_compound	0	BAY-786	Chemical Probes Portal	
VXNAMCLMCBLNOL-NFQMXDRXSA-N	control_compound	0	CANSAR3894697	Chemical Probes Portal	
HVVLGXULBVAFRZ-UHFFFAOYSA-N	control_compound	0	BAY-726	Chemical Probes Portal	
TYXSIXOYTBHZFA-UHFFFAOYSA-N	control_compound	0	TP-024n	Chemical Probes Portal	
QXURFIGBRGWPQD-UHFFFAOYSA-N	control_compound	0	BAY-693	Chemical Probes Portal	
AFJRYPJIKHMNGL-UHFFFAOYSA-N	control_compound	0	RO4991571	Chemical Probes Portal	
ODOJVROSIRINJT-LJQANCHMSA-N	control_compound	0	C3TD879-N	Chemical Probes Portal	
QJWQAZTYFYCFQU-RMKNXTFCSA-N	control_compound	0	CANSAR4199076	Chemical Probes Portal	
BFMWIVWPPKENIN-AWEZNQCLSA-N	control_compound	0	cpd 30	Chemical Probes Portal	
JFHROPTYMMSOLG-UHFFFAOYSA-N	control_compound	0	cpd 3	Chemical Probes Portal	
BZJPCUQQPJJBTP-FGZHOGPDSA-N	control_compound	0	canSAR7378125	Chemical Probes Portal	
OLAGZWUBPYQCBR-JSKJCRAUSA-N	control_compound	0	canSAR7437535	Chemical Probes Portal	
KVDLSQZBDWJNSG-VINRIKPSSA-N	control_compound	0	canSAR7437536	Chemical Probes Portal	
ISQCXAWAHDJCRH-FKDRFZFOSA-N	control_compound	0	canSAR7437537	Chemical Probes Portal	
ISQCXAWAHDJCRH-FKDRFZFOSA-N	control_compound	1	canSAR7437563	Chemical Probes Portal	
JBTHUOYYUUPUOZ-LIHPQFRDSA-N	control_compound	0	canSAR7437538	Chemical Probes Portal	
PTARASCXNREVCH-UHFFFAOYSA-N	control_compound	0	canSAR7437539	Chemical Probes Portal	
AJQAXIIJKPCAOP-XVNGORCSSA-N	control_compound	0	canSAR7437540	Chemical Probes Portal	
AJQAXIIJKPCAOP-XVNGORCSSA-N	control_compound	1	canSAR7437564	Chemical Probes Portal	
PLCITURFVJNAFH-GUQHISFFSA-N	control_compound	0	canSAR7437541	Chemical Probes Portal	
NIQFZCJNEODJTE-CSIWTOAPSA-N	control_compound	0	canSAR7018955	Chemical Probes Portal	
DYDFSGCLYIZSAQ-UHFFFAOYSA-N	control_compound	0	canSAR7437562	Chemical Probes Portal	
ANAOJSKQILNLRY-MWTRTKDXSA-N	control_compound	0	canSAR7437561	Chemical Probes Portal	
FIFRHLLUVCAOIK-SJCJKPOMSA-N	control_compound	0	canSAR7437560	Chemical Probes Portal	
MMHYOHYLSFWJJB-ZDUSSCGKSA-N	control_compound	0	canSAR7437558	Chemical Probes Portal	
YPXUKPNZQTWCRR-UHFFFAOYSA-N	control_compound	0	canSAR7437557	Chemical Probes Portal	
DJOZFERTDDZPJO-UHFFFAOYSA-N	control_compound	0	canSAR7437555	Chemical Probes Portal	
YOOKRVNCYQFKCT-UHFFFAOYSA-N	control_compound	0	canSAR7437554	Chemical Probes Portal	
RGHSVQHKNJAFGR-QFIPXVFZSA-N	control_compound	0	canSAR7437552	Chemical Probes Portal	
XHMSDQXEIBTTBE-QFIPXVFZSA-N	control_compound	0	canSAR7437551	Chemical Probes Portal	
FFUVDKANSJZSAK-JDXGNMNLSA-N	control_compound	0	canSAR7437550	Chemical Probes Portal	
XRAUKWUDYSUHJM-LLVKDONJSA-N	control_compound	0	canSAR7437548	Chemical Probes Portal	
IYFKRANQUJUTKF-UHFFFAOYSA-N	control_compound	0	canSAR7088058	Chemical Probes Portal	
LDFDXTNMCGLUMQ-YGKODULZSA-N	control_compound	0	canSAR7437546	Chemical Probes Portal	
RIEBAXQZOMUWKX-UHFFFAOYSA-N	control_compound	0	canSAR7402268	Chemical Probes Portal	
LPDOIXPRZOWBJV-HOCLYGCPSA-N	control_compound	0	canSAR4208972	Chemical Probes Portal	
APEYSKGQWJKJAZ-LCLGPXMOSA-N	control_compound	0	canSAR7083887	Chemical Probes Portal	
APEYSKGQWJKJAZ-LCLGPXMOSA-N	control_compound	1	canSAR7437565	Chemical Probes Portal	
FHFUBRLTXZVOQX-UHFFFAOYSA-N	control_compound	0	NC-Z16	Chemical Probes Portal	
FHFUBRLTXZVOQX-UHFFFAOYSA-N	control_compound	1	canSAR7369919	Chemical Probes Portal	
CLUWNSLFLMBFKA-RMCUFUCFSA-N	control_compound	0	canSAR7412571	Chemical Probes Portal	
PWYJKWQDDHJXMJ-YKCITUTQSA-N	control_compound	0	canSAR7437542	Chemical Probes Portal	
GPZKXLCJTKULAU-UHFFFAOYSA-N	control_compound	0	canSAR7437543	Chemical Probes Portal	
BXCPYBFBMAWDDY-UHFFFAOYSA-N	control_compound	0	Neg-CPS2	Chemical Probes Portal	
LFCNOSRNWFMQLB-UHFFFAOYSA-N	control_compound	0	canSAR7437559	Chemical Probes Portal	
HKSBXNVKPFTBIG-WUEKOBJSSA-N	control_compound	0	CANSAR3935386	Chemical Probes Portal	
LPKVYTQGJNTZKY-UHFFFAOYSA-N	control_compound	0	canSAR7437547	Chemical Probes Portal	
LPKVYTQGJNTZKY-UHFFFAOYSA-N	control_compound	1	canSAR7437566	Chemical Probes Portal	
DQRZNYPHOWVXPQ-YDUPODKQSA-N	control_compound	0	cis-ACBI3	Chemical Probes Portal	
ZOSWUNAJRAEGEW-YTIGDUPRSA-N	control_compound	0	canSAR7385591	Chemical Probes Portal	
CSTHTJLTORVUST-UHFFFAOYSA-N	control_compound	0	canSAR7437549	Chemical Probes Portal	
ZGSWGXNEXAXEGV-XFCHVEHOSA-N	control_compound	0	ent-6	Chemical Probes Portal	
PPNNFXIBKLCMTI-WXEAQWFJSA-N	control_compound	0	UNC7043	Chemical Probes Portal	
IPNTVOAQOGRLQB-JJMBTQCASA-N	control_compound	0	canSAR3549010	Chemical Probes Portal	
IVARZBJJMMUJHI-SQKKEFIPSA-N	control_compound	0	cis-ACBI1	Chemical Probes Portal	
USEHXUPBCSTAIO-RAUDMRIHSA-N	control_compound	0	canSAR7437534	Chemical Probes Portal	
BOMRVPKXCINUMI-ZEGZQYLTSA-N	control_compound	0	AK-1690me	Chemical Probes Portal	
DOVSNSDMRJVTMR-JOCHJYFZSA-N	control_compound	0	CANSAR748058	Chemical Probes Portal	
WFVKDTWKNVLGGS-UHFFFAOYSA-N	control_compound	0	canSAR7437545	Chemical Probes Portal	
JTTGVFCANBFLCE-CJLVFECKSA-N	control_compound	0	canSAR7437544	Chemical Probes Portal	
ROINLDWZNWCWJK-ZYIHSGTPSA-N	control_compound	0	SK3288	Chemical Probes Portal	
BOXPLNRWIHHHBO-CHCOZFFLSA-N	control_compound	0	CANSAR4199069	Chemical Probes Portal	
INXGMIWEZJNJOA-NVZKIFIHSA-N	control_compound	0	XY9002-NC	Chemical Probes Portal	
DUPAJELXESPTNF-PPZGWQTASA-N	control_compound	0	cpd 3	Chemical Probes Portal	
AAZUPSFRSHFTGV-INIZCTEOSA-N	control_compound	0	VT106	Chemical Probes Portal	
LLCVDQHLYHBAHR-UHFFFAOYSA-N	control_compound	0	VT106	Chemical Probes Portal	
ZZWWXIBKLBMSCS-FQEVSTJZSA-N	control_compound	0	ND-022	Chemical Probes Portal	
UVVQLQQNGHYTOL-JIVXZRRKSA-N	control_compound	0	canSAR3553056	Chemical Probes Portal	
FQWDVNSBYDXPIO-CQSZACIVSA-N	control_compound	0	8VI	Chemical Probes Portal	
UJDFQDPAVQIQLB-UHFFFAOYSA-N	control_compound	0	canSAR7437556	Chemical Probes Portal	
AXNQNPVSVCEGTP-LALXJTNGSA-N	control_compound	0	canSAR7437553	Chemical Probes Portal	
KDOQEEMQPHIANX-NFBKMPQASA-N	control_compound	0	A-1596584	Chemical Probes Portal	
PFEKWBKJUBCXDT-KGLIPLIRSA-N	control_compound	0	SC-6238532	Chemical Probes Portal	
ALNBIGSEWMWEGS-UHFFFAOYSA-N	control_compound	0	cpd 57	Chemical Probes Portal	
CQFHGOWYJXQICA-FKDNKQOESA-N	control_compound	0	Compound 1	Chemical Probes Portal	
AYGDOYFDJDUPSS-UHFFFAOYSA-N	control_compound	0	2-(3-benzyloxy-2,6-dichloro-anilino)benzoic acid	Chemical Probes Portal	
QKVFMAAIXZONRN-UHFFFAOYSA-N	control_compound	0	BAY-827	Chemical Probes Portal	
VUOYAALVGSMUHC-UHFFFAOYSA-N	control_compound	0	BI01372674	Chemical Probes Portal	
PRWSIEBRGXYXAJ-UHFFFAOYSA-N	control_compound	0	CANSAR203754	Chemical Probes Portal	
VPJXPDLMACOGIZ-UHFFFAOYSA-N	control_compound	0	canSAR3447722	Chemical Probes Portal	
VPJXPDLMACOGIZ-UHFFFAOYSA-N	control_compound	1	CCT252313	Chemical Probes Portal	
HXNUFFCHRIWTRZ-UHFFFAOYSA-N	control_compound	0	SR-321	Chemical Probes Portal	
OYKPWSZSBLRRPL-HOYKHHGWSA-N	control_compound	0	MRL-SYKi-NC	Chemical Probes Portal	
KTBSXLIQKWEBRB-UHFFFAOYSA-N	structure_source	0	pubchem:name:ITACITINIB	Chemical Probes Portal	
ODOJVROSIRINJT-LJQANCHMSA-N	structure_source	0	pubchem:name:C3TD879	Chemical Probes Portal	
BFMWIVWPPKENIN-AWEZNQCLSA-N	structure_source	0	pubchem:name:ART5537	Chemical Probes Portal	
JALIPZPFONOAJA-ZKGBLMBJSA-N	structure_source	0	pubchem:name:BMS-986458	Chemical Probes Portal	
MUYQEHKMQMHJNI-ZDUSSCGKSA-N	structure_source	0	pubchem:name:BLU-654	Chemical Probes Portal	
ALNBIGSEWMWEGS-UHFFFAOYSA-N	structure_source	0	pubchem:name:CCT400028	Chemical Probes Portal	
CQFHGOWYJXQICA-FKDNKQOESA-N	structure_source	0	pubchem:name:KT-253	Chemical Probes Portal	
DVGLTSTVSHOWJF-UHFFFAOYSA-N	structure_source	0	pubchem:name:S9-A13	Chemical Probes Portal	
VDLHPYFVCAHCCZ-UHFFFAOYSA-N	structure_source	0	pubchem:name:RPI-GLYT2-82	Chemical Probes Portal	
YXYBHRORJSDZTQ-UHFFFAOYSA-N	structure_source	0	pubchem:name:NUAK1-IN-2	Chemical Probes Portal	
