target_key	source_db	property	ordinal	value
O43614	Chemical Probes Portal	subClass	1	Orexin receptor
O43614	Chemical Probes Portal	subClass	2	Orexin 2 receptor
O43683	Chemical Probes Portal	class	0	Kinase
O43683	Chemical Probes Portal	subClass	0	Ser/Thr Protein Kinase
O43739	Chemical Probes Portal	class	0	Cytohesin
O60260	Chemical Probes Portal	class	0	Ubiquitin-protein ligase
O60260	Chemical Probes Portal	subClass	0	Parkinson disease protein
O60285	Chemical Probes Portal	class	0	Kinase
O60285	Chemical Probes Portal	subClass	0	CAMK
O60341	Chemical Probes Portal	class	0	Epigenetic
O60502	Chemical Probes Portal	class	0	Enzyme
O60502	Chemical Probes Portal	subClass	0	Hydrolase
O60551	Chemical Probes Portal	class	0	Other post-translational modification
O60551	Chemical Probes Portal	subClass	0	Acyltransferase
O60674	Chemical Probes Portal	class	0	Protein kinase
O60674	Chemical Probes Portal	class	1	Kinase
O60674	Chemical Probes Portal	subClass	0	TK
O60674	Chemical Probes Portal	subClass	1	Tyrosine kinase
O60678	Chemical Probes Portal	class	0	Epigenetic
O60678	Chemical Probes Portal	subClass	0	Protein methyltransferase
O60678	Chemical Probes Portal	subClass	1	Methyltransferase
O60741	Chemical Probes Portal	class	0	Ion Channel
O60741	Chemical Probes Portal	subClass	0	Potassium/Sodium Channel
O60885	Chemical Probes Portal	class	0	Epigenetic
O60885	Chemical Probes Portal	subClass	0	Bromodomain
O60911	Chemical Probes Portal	class	0	Protein metabolism
O60911	Chemical Probes Portal	subClass	0	Protease
O75116	Chemical Probes Portal	class	0	Kinase
O75116	Chemical Probes Portal	subClass	0	AGC
O75164	Chemical Probes Portal	class	0	Epigenetic
O75164	Chemical Probes Portal	subClass	0	Histone demethylase
O75306	Chemical Probes Portal	class	0	Enzyme
O75306	Chemical Probes Portal	subClass	0	Dehydrogenase
O75385	Chemical Probes Portal	class	0	Kinase
O75385	Chemical Probes Portal	subClass	0	Autophagy Activating Kinases
O75417	Chemical Probes Portal	class	0	Enzyme
O75417	Chemical Probes Portal	subClass	0	DNA Polymerase
O75460	Chemical Probes Portal	class	0	Kinase
O75460	Chemical Probes Portal	subClass	0	Ser/Thr Kinase
O75530	Chemical Probes Portal	class	0	Epigenetic
O75530	Chemical Probes Portal	subClass	0	Polycomb family
O75575	Chemical Probes Portal	class	0	CGRP-receptor component protein
O75643	Chemical Probes Portal	class	0	Enzyme
O75643	Chemical Probes Portal	subClass	0	Helicase
O75716	Chemical Probes Portal	class	0	Kinase
O75716	Chemical Probes Portal	subClass	0	Ser/Thr Kinase
O75762	Chemical Probes Portal	class	0	Transient Receptor
O75762	Chemical Probes Portal	class	1	Ion Channel
O75762	Chemical Probes Portal	subClass	0	Transient receptor, TRPV subfamily
O75874	Chemical Probes Portal	class	0	Enzyme
O75874	Chemical Probes Portal	class	1	Kinase
O75874	Chemical Probes Portal	subClass	0	Dehydrogenase
O75907	Chemical Probes Portal	class	0	Other
O75907	Chemical Probes Portal	class	1	Enzyme
