inchikey	organism	dose_value	dose_unit	route	dose_raw	source_db	source
AUYCSWFYKYVCLD-HXUWFJFHSA-N	Monkey (Cynomolgus)	1	mg/kg	IV	1 mg/Kg IV and PO	Chemical Probes Portal	
OEDSFMUSNZDJFD-UHFFFAOYSA-N	Mouse	1	mg/kg		1 mg/kg	Chemical Probes Portal	
QMHRLXNEGYTSRV-UHFFFAOYSA-N	Rat	1	mg/kg	IV	1 mg/Kg IV, 5 mg/Kg PO	Chemical Probes Portal	
QMHRLXNEGYTSRV-UHFFFAOYSA-N	Rat	5	mg/kg	PO	1 mg/Kg IV, 5 mg/Kg PO	Chemical Probes Portal	
QMHRLXNEGYTSRV-UHFFFAOYSA-N	Dog	1	mg/kg	IV	1 mg/Kg IV, 5 mg/Kg PO	Chemical Probes Portal	
QMHRLXNEGYTSRV-UHFFFAOYSA-N	Dog	5	mg/kg	PO	1 mg/Kg IV, 5 mg/Kg PO	Chemical Probes Portal	
QMHRLXNEGYTSRV-UHFFFAOYSA-N	Rat					Chemical Probes Portal	
LQEHCKYYIXQEBM-FUKIBTTHSA-N	Rat	5	mg/kg	IV	5 mg/Kg IV, 10 mg/Kg PO	Chemical Probes Portal	
LQEHCKYYIXQEBM-FUKIBTTHSA-N	Rat	10	mg/kg	PO	5 mg/Kg IV, 10 mg/Kg PO	Chemical Probes Portal	
LQEHCKYYIXQEBM-FUKIBTTHSA-N	Dog	5	mg/kg	IV	5 mg/Kg IV, 10 mg/Kg PO	Chemical Probes Portal	
LQEHCKYYIXQEBM-FUKIBTTHSA-N	Dog	10	mg/kg	PO	5 mg/Kg IV, 10 mg/Kg PO	Chemical Probes Portal	
LQEHCKYYIXQEBM-FUKIBTTHSA-N	Monkey (Cynomolgus)	5	mg/kg	IV	5 mg/Kg IV, 10 mg/Kg PO	Chemical Probes Portal	
LQEHCKYYIXQEBM-FUKIBTTHSA-N	Monkey (Cynomolgus)	10	mg/kg	PO	5 mg/Kg IV, 10 mg/Kg PO	Chemical Probes Portal	
CSJYMAFXYMYNCK-UHFFFAOYSA-N	Rat	1	mg/kg		1 mg/Kg	Chemical Probes Portal	
CSJYMAFXYMYNCK-UHFFFAOYSA-N	Rat	2	mg/kg		2 mg/kg	Chemical Probes Portal	
ILHNIWOZZKIBNW-UHFFFAOYSA-N	Rat	3	mg/kg		3 mg/kg	Chemical Probes Portal	
OAMLIJKKGZLNHE-UHFFFAOYSA-N	Rat	1	mg/kg		1 mg/kg	Chemical Probes Portal	
OAMLIJKKGZLNHE-UHFFFAOYSA-N	Monkey (Rheus)	0.5	mg/kg		0.5 mg/Kg	Chemical Probes Portal	
JTCAGRAKUAAYDY-OAHLLOKOSA-N	Rat	5	mg/kg	PO	5 mg/Kg PO, 1 mg/Kg IV	Chemical Probes Portal	
JTCAGRAKUAAYDY-OAHLLOKOSA-N	Rat	1	mg/kg	IV	5 mg/Kg PO, 1 mg/Kg IV	Chemical Probes Portal	
JTCAGRAKUAAYDY-OAHLLOKOSA-N	Dog	5	mg/kg	PO	5 mg/Kg PO, 1 mg/Kg IV	Chemical Probes Portal	
JTCAGRAKUAAYDY-OAHLLOKOSA-N	Dog	1	mg/kg	IV	5 mg/Kg PO, 1 mg/Kg IV	Chemical Probes Portal	
FSWFYCYPTDLKON-CMJOXMDJSA-N	Rat				0.52 (IV), 1.04 (PO) mg/Kg	Chemical Probes Portal	
FSWFYCYPTDLKON-CMJOXMDJSA-N	Monkey (Cynomolgus)				0.50 (IV), 1.50 (PO) mg/Kg	Chemical Probes Portal	
FSWFYCYPTDLKON-CMJOXMDJSA-N	Other					Chemical Probes Portal	
SKZQFKBIJUXXCG-INIZCTEOSA-N	Rat	1	mg/kg		1 mg/kg	Chemical Probes Portal	
SKZQFKBIJUXXCG-INIZCTEOSA-N	Rat	3	mg/kg		3 mg/Kg	Chemical Probes Portal	
TVGAHWWPABTBCX-UHFFFAOYSA-N	Mouse	10	mg/kg		10 mg/Kg	Chemical Probes Portal	
TVGAHWWPABTBCX-UHFFFAOYSA-N	Mouse	3	mg/kg		3 mg/Kg	Chemical Probes Portal	
TVGAHWWPABTBCX-UHFFFAOYSA-N	Mouse	1	mg/kg		1 mg/Kg	Chemical Probes Portal	
FRBRZGLUFOZRGD-JVPBZIDWSA-N	Rat	1	mg/kg		1 mg/Kg	Chemical Probes Portal	
FRBRZGLUFOZRGD-JVPBZIDWSA-N	Rat	3	mg/kg		3 mg/Kg	Chemical Probes Portal	
FRBRZGLUFOZRGD-JVPBZIDWSA-N	Dog	0.5	mg/kg		0.5 mg/Kg	Chemical Probes Portal	
FRBRZGLUFOZRGD-JVPBZIDWSA-N	Dog	1	mg/kg		1 mg/Kg	Chemical Probes Portal	
PXQATVYJKMMHAU-UHFFFAOYSA-N	Rat					Chemical Probes Portal	
PXQATVYJKMMHAU-UHFFFAOYSA-N	Dog					Chemical Probes Portal	
PXQATVYJKMMHAU-UHFFFAOYSA-N	Monkey (Cynomolgus)					Chemical Probes Portal	
YNFDIGJKJPNFFD-SJORKVTESA-N	Rat	4	mg/kg		4 mg/kg	Chemical Probes Portal	
RPHDOVLXDYWDGF-UHFFFAOYSA-N	Mouse	10	mg/kg		10 mg/kg	Chemical Probes Portal	
KVJFJJXCBRSCDY-UHFFFAOYSA-N	Mouse	100	mg/kg		100 mg/Kg BID	Chemical Probes Portal	
PGIVGIFOWOVINL-GOSISDBHSA-N	Rat	0.3	mg/kg		0.3 mg/Kg	Chemical Probes Portal	
WZQLVEPIBAOOGF-RMMWZPCPSA-N	Rat	1	mg/kg		1 mg/Kg	Chemical Probes Portal	
WZQLVEPIBAOOGF-RMMWZPCPSA-N	Rat	3	mg/kg		3 mg/Kg	Chemical Probes Portal	
WZQLVEPIBAOOGF-RMMWZPCPSA-N	Dog	1	mg/kg		1 mg/Kg	Chemical Probes Portal	
WZQLVEPIBAOOGF-RMMWZPCPSA-N	Dog	2	mg/kg		2 mg/Kg	Chemical Probes Portal	
QZZCUOVXHPAQRQ-UHFFFAOYSA-N	Rat	1	mg/kg		1 mg/Kg	Chemical Probes Portal	
QZZCUOVXHPAQRQ-UHFFFAOYSA-N	Rat	3	mg/kg		3 mg/Kg	Chemical Probes Portal	
QZZCUOVXHPAQRQ-UHFFFAOYSA-N	Dog	0.5	mg/kg		0.5 mg/Kg	Chemical Probes Portal	
QZZCUOVXHPAQRQ-UHFFFAOYSA-N	Dog	1	mg/kg		1.0 mg/Kg	Chemical Probes Portal	
JZTTUZXIQIRVAB-FZEVHQGJSA-N	Mouse	3	mg/kg		3 mg/Kg	Chemical Probes Portal	
JZTTUZXIQIRVAB-FZEVHQGJSA-N	Mouse	3	mg/kg		3 mg/Kg	Chemical Probes Portal	
ZLGNYFOIDAVMHY-MPKOGUQCSA-N	Mouse	25	mg/kg	IV	25 mg/Kg IV once weekly, 10 mg/Kg 3 times weekly, 25 mg/Kg 5 days a week for 2 weeks, 50 mg/Kg every other day for 3 weeks	Chemical Probes Portal	
ZLGNYFOIDAVMHY-MPKOGUQCSA-N	Mouse	10	mg/kg		25 mg/Kg IV once weekly, 10 mg/Kg 3 times weekly, 25 mg/Kg 5 days a week for 2 weeks, 50 mg/Kg every other day for 3 weeks	Chemical Probes Portal	
ZLGNYFOIDAVMHY-MPKOGUQCSA-N	Mouse	25	mg/kg		25 mg/Kg IV once weekly, 10 mg/Kg 3 times weekly, 25 mg/Kg 5 days a week for 2 weeks, 50 mg/Kg every other day for 3 weeks	Chemical Probes Portal	
ZLGNYFOIDAVMHY-MPKOGUQCSA-N	Mouse	50	mg/kg		25 mg/Kg IV once weekly, 10 mg/Kg 3 times weekly, 25 mg/Kg 5 days a week for 2 weeks, 50 mg/Kg every other day for 3 weeks	Chemical Probes Portal	
QULDDKSCVCJTPV-UHFFFAOYSA-N	Mouse	125	mg/kg		31, 62.5, 125 mg/Kg, 75, 150 mg/Kg, 100 mg/Kg	Chemical Probes Portal	
QULDDKSCVCJTPV-UHFFFAOYSA-N	Mouse	150	mg/kg		31, 62.5, 125 mg/Kg, 75, 150 mg/Kg, 100 mg/Kg	Chemical Probes Portal	
QULDDKSCVCJTPV-UHFFFAOYSA-N	Mouse	100	mg/kg		31, 62.5, 125 mg/Kg, 75, 150 mg/Kg, 100 mg/Kg	Chemical Probes Portal	
BLVQHYHDYFTPDV-VCABWLAWSA-N	Other	10	mg/mL		10 mg/mL	Chemical Probes Portal	
VLLFGVHGKLDDLW-SFHVURJKSA-N	Rat	0.3	mg		0.3 mg /Kg	Chemical Probes Portal	
VLLFGVHGKLDDLW-SFHVURJKSA-N	Rat	1	mg/kg		1 mg/Kg	Chemical Probes Portal	
VLLFGVHGKLDDLW-SFHVURJKSA-N	Dog	0.3	mg/kg		0.3 mg/Kg	Chemical Probes Portal	
VLLFGVHGKLDDLW-SFHVURJKSA-N	Dog	1	mg/kg		1 mg/Kg	Chemical Probes Portal	
VLLFGVHGKLDDLW-SFHVURJKSA-N	Monkey (Cynomolgus)	0.3	mg/kg		0.3 mg/Kg	Chemical Probes Portal	
VLLFGVHGKLDDLW-SFHVURJKSA-N	Monkey (Cynomolgus)	0.3	mg/kg		0.3 mg/Kg	Chemical Probes Portal	
UEMQPCYDWCSVCU-UHFFFAOYSA-N	Mouse	3	mg/kg	PO	3 mg/kg (oral), 1 mg/kg (IV)	Chemical Probes Portal	
UEMQPCYDWCSVCU-UHFFFAOYSA-N	Mouse	1	mg/kg	IV	3 mg/kg (oral), 1 mg/kg (IV)	Chemical Probes Portal	
XMBSZPZJLPTFMV-UHFFFAOYSA-N	Mouse	3	mg/kg	IV	3 mg/Kg IV, 10 mg/Kg PO, up to 50 mg/Kg	Chemical Probes Portal	
XMBSZPZJLPTFMV-UHFFFAOYSA-N	Mouse	10	mg/kg	PO	3 mg/Kg IV, 10 mg/Kg PO, up to 50 mg/Kg	Chemical Probes Portal	
XMBSZPZJLPTFMV-UHFFFAOYSA-N	Mouse	50	mg/kg		3 mg/Kg IV, 10 mg/Kg PO, up to 50 mg/Kg	Chemical Probes Portal	
QYDASSGXBXGRBS-CKJXQJPGSA-N	Other	1	mg/kg		1 mg/kg and 30 mg/kg	Chemical Probes Portal	
QYDASSGXBXGRBS-CKJXQJPGSA-N	Other	30	mg/kg		1 mg/kg and 30 mg/kg	Chemical Probes Portal	
YQOLEILXOBUDMU-KRWDZBQOSA-N	Other	3	mg/kg		3-30 mg/Kg	Chemical Probes Portal	
JNSLBXJNVHYNNW-CXNSMIOJSA-N	Mouse	50	mg/kg		50 mg/kg	Chemical Probes Portal	
RNQODBQYMXYMCT-SJORKVTESA-N	Other					Chemical Probes Portal	
RFZQYGBLRIKROZ-PCLIKHOPSA-N	Mouse	3	mg/kg		3 mg/Kg	Chemical Probes Portal	
RFZQYGBLRIKROZ-PCLIKHOPSA-N	Mouse	10	mg/kg		10 mg/Kg	Chemical Probes Portal	
RFZQYGBLRIKROZ-PCLIKHOPSA-N	Mouse	30	mg/kg		30 mg/Kg	Chemical Probes Portal	
BPLVDYJDAVYLRQ-UHFFFAOYSA-N	Rat	10	mg/kg		10 mg/Kg	Chemical Probes Portal	
WNEILUNVMHVMPH-UHFFFAOYSA-N	Other	8	mg/kg		0.5, 1, 2, 4, 8 mg/Kg	Chemical Probes Portal	
AEJOEPSMZCEYJN-HXUWFJFHSA-N	Other	10	mg/kg		10 mg/kg	Chemical Probes Portal	
OJKONCJPCULNOW-DYVFJYSZSA-N	Other	100	mg/kg		1, 3, 10, 100 mg/Kg	Chemical Probes Portal	
YDNOHCOYQVZOMC-UHFFFAOYSA-N	Other	75	mg/kg		75 mg/Kg	Chemical Probes Portal	
OFWWWKWUCDUISA-UHFFFAOYSA-N	Rat					Chemical Probes Portal	
CDQRIIUMNLMHRH-UHFFFAOYSA-N	Other	10	mg/kg	PO	10 mg/kg (oral); 1 mg/kg (IV)	Chemical Probes Portal	
CDQRIIUMNLMHRH-UHFFFAOYSA-N	Other	1	mg/kg	IV	10 mg/kg (oral); 1 mg/kg (IV)	Chemical Probes Portal	
CHEANNSDVJOIBS-MHZLTWQESA-N	Other	1	mg/kg	IV	1 mg/kg, iv; 5 mg/kg, po (M), 0.5 mg/kg, iv; 2 mg/kg, po (R), 0.5 mg/kg, iv; 2 mg/kg, po (C), up to 100 mg/Kg po	Chemical Probes Portal	
CHEANNSDVJOIBS-MHZLTWQESA-N	Other	5	mg/kg	PO	1 mg/kg, iv; 5 mg/kg, po (M), 0.5 mg/kg, iv; 2 mg/kg, po (R), 0.5 mg/kg, iv; 2 mg/kg, po (C), up to 100 mg/Kg po	Chemical Probes Portal	
CHEANNSDVJOIBS-MHZLTWQESA-N	Other	0.5	mg/kg	IV	1 mg/kg, iv; 5 mg/kg, po (M), 0.5 mg/kg, iv; 2 mg/kg, po (R), 0.5 mg/kg, iv; 2 mg/kg, po (C), up to 100 mg/Kg po	Chemical Probes Portal	
CHEANNSDVJOIBS-MHZLTWQESA-N	Other	2	mg/kg	PO	1 mg/kg, iv; 5 mg/kg, po (M), 0.5 mg/kg, iv; 2 mg/kg, po (R), 0.5 mg/kg, iv; 2 mg/kg, po (C), up to 100 mg/Kg po	Chemical Probes Portal	
CHEANNSDVJOIBS-MHZLTWQESA-N	Other	0.5	mg/kg	IV	1 mg/kg, iv; 5 mg/kg, po (M), 0.5 mg/kg, iv; 2 mg/kg, po (R), 0.5 mg/kg, iv; 2 mg/kg, po (C), up to 100 mg/Kg po	Chemical Probes Portal	
CHEANNSDVJOIBS-MHZLTWQESA-N	Other	2	mg/kg	PO	1 mg/kg, iv; 5 mg/kg, po (M), 0.5 mg/kg, iv; 2 mg/kg, po (R), 0.5 mg/kg, iv; 2 mg/kg, po (C), up to 100 mg/Kg po	Chemical Probes Portal	
CHEANNSDVJOIBS-MHZLTWQESA-N	Other	100	mg/kg	PO	1 mg/kg, iv; 5 mg/kg, po (M), 0.5 mg/kg, iv; 2 mg/kg, po (R), 0.5 mg/kg, iv; 2 mg/kg, po (C), up to 100 mg/Kg po	Chemical Probes Portal	
QBGKPEROWUKSBK-QPPIDDCLSA-N	Other	50	mg/kg		50 mg/kg	Chemical Probes Portal	
NRSGWEVTVGZDFC-UHFFFAOYSA-N	Other	1	mg/kg		1 mg/Kg, 3 mg/Kg, 10 mg/Kg, 0.1-0.3 mg/Kg IV	Chemical Probes Portal	
NRSGWEVTVGZDFC-UHFFFAOYSA-N	Other	3	mg/kg		1 mg/Kg, 3 mg/Kg, 10 mg/Kg, 0.1-0.3 mg/Kg IV	Chemical Probes Portal	
NRSGWEVTVGZDFC-UHFFFAOYSA-N	Other	10	mg/kg		1 mg/Kg, 3 mg/Kg, 10 mg/Kg, 0.1-0.3 mg/Kg IV	Chemical Probes Portal	
NRSGWEVTVGZDFC-UHFFFAOYSA-N	Other	0.1	mg/kg	IV	1 mg/Kg, 3 mg/Kg, 10 mg/Kg, 0.1-0.3 mg/Kg IV	Chemical Probes Portal	
HUUSXLKCTQDPGL-UHFFFAOYSA-N	Other	3	mg/kg	IV	3 mg/Kg (IV), 20 mg/Kg (PO)	Chemical Probes Portal	
HUUSXLKCTQDPGL-UHFFFAOYSA-N	Other	20	mg/kg	PO	3 mg/Kg (IV), 20 mg/Kg (PO)	Chemical Probes Portal	
ARBRHWRTXPWZGN-UHFFFAOYSA-N	Rat	1	mg/kg	IV	1 mg/Kg IV, 2.5 or 5 mg/Kg PO	Chemical Probes Portal	
ARBRHWRTXPWZGN-UHFFFAOYSA-N	Rat	5	mg/kg	PO	1 mg/Kg IV, 2.5 or 5 mg/Kg PO	Chemical Probes Portal	
PXVFFBGSTYQHRO-REQIQPEASA-N	Other	7.5	mg/kg		7.5-15 mg/Kg	Chemical Probes Portal	
KPBNHDGDUADAGP-VAWYXSNFSA-N	Mouse	5	mg/kg		5 mg/Kg	Chemical Probes Portal	
KPBNHDGDUADAGP-VAWYXSNFSA-N	Mouse	10	mg/kg		10 mg/Kg	Chemical Probes Portal	
KPBNHDGDUADAGP-VAWYXSNFSA-N	Mouse	30	mg/kg		30 mg/Kg	Chemical Probes Portal	
JFOAJUGFHDCBJJ-UHFFFAOYSA-N	Mouse	10	mg/kg		10 mg/Kg	Chemical Probes Portal	
JFOAJUGFHDCBJJ-UHFFFAOYSA-N	Mouse	10	mg/kg		10 mg/Kg	Chemical Probes Portal	
FNYGWXSATBUBER-UHFFFAOYSA-N	Mouse	150	mg/kg		150 mg/kg, 450 mg/kg	Chemical Probes Portal	
FNYGWXSATBUBER-UHFFFAOYSA-N	Mouse	450	mg/kg		150 mg/kg, 450 mg/kg	Chemical Probes Portal	
WVAKRQOMAINQPU-UHFFFAOYSA-N	Mouse	2	mg/kg		2 mg/Kg	Chemical Probes Portal	
WVAKRQOMAINQPU-UHFFFAOYSA-N	Mouse	10	mg/kg		10 mg/Kg	Chemical Probes Portal	
WVAKRQOMAINQPU-UHFFFAOYSA-N	Rat	1	mg/kg		1 mg/Kg	Chemical Probes Portal	
WVAKRQOMAINQPU-UHFFFAOYSA-N	Rat	4	mg/kg		4 mg/Kg	Chemical Probes Portal	
NAXSRXHZFIBFMI-UHFFFAOYSA-N	Mouse	10	mg/kg		10 mg/kg	Chemical Probes Portal	
ZDBWLRLGUBSLPG-FDHYQTMZSA-N	Mouse	10	mg/kg		10 mg/Kg	Chemical Probes Portal	
KSGZCKSNTAJOJS-DZBMUNJRSA-N	Mouse	1	mg/kg		1 mg/kg (PK study), 0.16 mg/kg once-daily (efficacy study)	Chemical Probes Portal	
KSGZCKSNTAJOJS-DZBMUNJRSA-N	Mouse	0.16	mg/kg		1 mg/kg (PK study), 0.16 mg/kg once-daily (efficacy study)	Chemical Probes Portal	
JLFSBHQQXIAQEC-UHFFFAOYSA-N	Mouse	30	mg/kg		30-100 mg/kg	Chemical Probes Portal	
FWLMVFUGMHIOAA-UHFFFAOYSA-N	Rat	12.5	mg/kg		12.5-50 mg/Kg	Chemical Probes Portal	
FWLMVFUGMHIOAA-UHFFFAOYSA-N	Dog	12.5	mg/kg		12.5-50 mg/Kg	Chemical Probes Portal	
XYFPWWZEPKGCCK-GOSISDBHSA-N	Mouse	3.31	mg/kg		3.31 mg/Kg	Chemical Probes Portal	
XYFPWWZEPKGCCK-GOSISDBHSA-N	Mouse	14.2	mg/kg		14.2 mg/Kg	Chemical Probes Portal	
LLVZBTWPGQVVLW-SNAWJCMRSA-N	Mouse	2.5	mg/kg		2.5 mg/kg	Chemical Probes Portal	
VUVUVNZRUGEAHB-CYBMUJFWSA-N	Mouse	3	mg/mL		3 mg/mL	Chemical Probes Portal	
ALGHKWSXJUQNJJ-UHFFFAOYSA-N	Rat	2.5	mg/kg		2.5 mg/Kg	Chemical Probes Portal	
ALGHKWSXJUQNJJ-UHFFFAOYSA-N	Rat	10	mg/kg		10 mg/Kg	Chemical Probes Portal	
ALGHKWSXJUQNJJ-UHFFFAOYSA-N	Dog	1	mg/kg		1.0 mg/Kg	Chemical Probes Portal	
ALGHKWSXJUQNJJ-UHFFFAOYSA-N	Dog	3	mg/kg		3.0 mg/Kg	Chemical Probes Portal	
QPTCYEYTAWEZNT-UHFFFAOYSA-N	Mouse	30	ug		30 ug	Chemical Probes Portal	
KSERXGMCDHOLSS-LJQANCHMSA-N	Mouse	1	mg/kg		1 mg/Kg	Chemical Probes Portal	
KSERXGMCDHOLSS-LJQANCHMSA-N	Mouse	10	mg/kg		10 mg/Kg	Chemical Probes Portal	
BIAVGWDGIJKWRM-FQEVSTJZSA-N	Rat	0.1	mg/kg		6.9 ± 0.1 mg/Kg	Chemical Probes Portal	
BIAVGWDGIJKWRM-FQEVSTJZSA-N	Dog	0.02	mg/kg		0.93 ± 0.02 mg/Kg	Chemical Probes Portal	
BIAVGWDGIJKWRM-FQEVSTJZSA-N	Rat	0	mg/kg		8.0 ± 0.0 mg/Kg	Chemical Probes Portal	
BIAVGWDGIJKWRM-FQEVSTJZSA-N	Dog				4.2 ± 0.2	Chemical Probes Portal	
WRCGBYNVBFVRTN-UHFFFAOYSA-N	Mouse	25	mg/kg		25 mg/Kg	Chemical Probes Portal	
XNULRSOGWPFPBL-REWPJTCUSA-N	Rat	2	mg/kg		2 mg/Kg	Chemical Probes Portal	
XNULRSOGWPFPBL-REWPJTCUSA-N	Rat	2	mg/kg		2 mg/Kg	Chemical Probes Portal	
ADZBMFGQQWPHMJ-RHSMWYFYSA-N	Mouse	200	mg/kg		200 mg/Kg	Chemical Probes Portal	
ILOIOIGZFHGSMS-UHFFFAOYSA-N	Mouse	10	mg/kg		10 mg/Kg	Chemical Probes Portal	
FROGGFONBYACJB-KRWDZBQOSA-N	Rat	10	mg/kg		10 mg/Kg	Chemical Probes Portal	
UQZCQKXJAXKZQH-LBPRGKRZSA-N	Mouse	300	mg/kg		3, 10, 30, 300 mg/Kg	Chemical Probes Portal	
JZCWLJDSIRUGIN-UHFFFAOYSA-N	Mouse	60	mg/kg		60 mg/Kg	Chemical Probes Portal	
LCFFREMLXLZNHE-GBOLQPHISA-N	Rat	2	mg/kg	IV	2 mg/Kg IV, 20 mg/Kg PO	Chemical Probes Portal	
LCFFREMLXLZNHE-GBOLQPHISA-N	Rat	20	mg/kg	PO	2 mg/Kg IV, 20 mg/Kg PO	Chemical Probes Portal	
FUIYMYNYUHVDPT-HDJSIYSDSA-N	Rat	1	mg/kg		1-3 mg/Kg	Chemical Probes Portal	
FUIYMYNYUHVDPT-HDJSIYSDSA-N	Dog	1	mg/kg		1-3 mg/Kg	Chemical Probes Portal	
GRTDDIZIUSADLD-CRAIPNDOSA-N	Rat	3	mg/kg		3 mg/Kg	Chemical Probes Portal	
GRTDDIZIUSADLD-CRAIPNDOSA-N	Rat	3	mg/kg		3 mg/Kg	Chemical Probes Portal	
GRTDDIZIUSADLD-CRAIPNDOSA-N	Monkey (Cynomolgus)	3	mg/kg		3 mg/Kg	Chemical Probes Portal	
GRTDDIZIUSADLD-CRAIPNDOSA-N	Monkey (Cynomolgus)	3	mg/kg		3 mg/Kg	Chemical Probes Portal	
OXQNLLVUVDAEHC-OAQYLSRUSA-N	Other					Chemical Probes Portal	
PKNYXWMTHFMHKD-UHFFFAOYSA-N	Rat	3	mg/kg		3 mg/Kg BID	Chemical Probes Portal	
PKNYXWMTHFMHKD-UHFFFAOYSA-N	Other	3	mg/kg		3 mg/Kg BID	Chemical Probes Portal	
OYUDYQMFVRHPIY-UHFFFAOYSA-N	Mouse	2.5	mg/kg		2.5 mg/Kg	Chemical Probes Portal	
OYUDYQMFVRHPIY-UHFFFAOYSA-N	Mouse	5	mg/kg		5 mg/Kg	Chemical Probes Portal	
OYUDYQMFVRHPIY-UHFFFAOYSA-N	Rat	2.5	mg/kg		2.5 mg/Kg	Chemical Probes Portal	
OYUDYQMFVRHPIY-UHFFFAOYSA-N	Rat	5	mg/kg		5 mg/Kg	Chemical Probes Portal	
OYUDYQMFVRHPIY-UHFFFAOYSA-N	Dog	3	mg/kg		3 mg/Kg	Chemical Probes Portal	
OYUDYQMFVRHPIY-UHFFFAOYSA-N	Dog	3	mg/kg		3 mg/Kg	Chemical Probes Portal	
OYUDYQMFVRHPIY-UHFFFAOYSA-N	Monkey (Cynomolgus)	3	mg/kg		3 mg/Kg	Chemical Probes Portal	
OYUDYQMFVRHPIY-UHFFFAOYSA-N	Monkey (Cynomolgus)	3	mg/kg		3 mg/Kg	Chemical Probes Portal	
USHQRIKZLHNPQR-JTQLQIEISA-N	Rat	1	mg/kg	IV	1 mg/Kg IV, 3 mg/Kg PO	Chemical Probes Portal	
USHQRIKZLHNPQR-JTQLQIEISA-N	Rat	3	mg/kg	PO	1 mg/Kg IV, 3 mg/Kg PO	Chemical Probes Portal	
USHQRIKZLHNPQR-JTQLQIEISA-N	Dog	0.46	mg/kg	IV	0.46 mg/kg IV, 3 mg/kg PO	Chemical Probes Portal	
USHQRIKZLHNPQR-JTQLQIEISA-N	Dog	3	mg/kg	PO	0.46 mg/kg IV, 3 mg/kg PO	Chemical Probes Portal	
USHQRIKZLHNPQR-JTQLQIEISA-N	Monkey (Cynomolgus)	0.1	mg/kg	IV	0.1 mg/Kg IV, 10 mg/Kg PO	Chemical Probes Portal	
USHQRIKZLHNPQR-JTQLQIEISA-N	Monkey (Cynomolgus)	10	mg/kg	PO	0.1 mg/Kg IV, 10 mg/Kg PO	Chemical Probes Portal	
PQUGCKBLVKJMNT-UHFFFAOYSA-N	Rat	10	mg/kg		10 mg/Kg	Chemical Probes Portal	
PQUGCKBLVKJMNT-UHFFFAOYSA-N	Rat	10	mg/kg		10 mg/Kg	Chemical Probes Portal	
WWOOWAHTEXIWBO-QFRSUPTLSA-N	Mouse	10	mg/kg		10 mg/Kg	Chemical Probes Portal	
WULUGQONDYDNKY-UHFFFAOYSA-N	Mouse	1	mg/kg	IV	1 mg/Kg IV, 10 mg/Kg PO	Chemical Probes Portal	
WULUGQONDYDNKY-UHFFFAOYSA-N	Mouse	10	mg/kg	PO	1 mg/Kg IV, 10 mg/Kg PO	Chemical Probes Portal	
WULUGQONDYDNKY-UHFFFAOYSA-N	Rat	3	mg/kg	IV	3 mg/Kg IV, 10 mg/Kg PO	Chemical Probes Portal	
WULUGQONDYDNKY-UHFFFAOYSA-N	Rat	10	mg/kg	PO	3 mg/Kg IV, 10 mg/Kg PO	Chemical Probes Portal	
YEVOZZZLKJKCCD-UHFFFAOYSA-N	Mouse	10	mg/kg		10 mg/kg	Chemical Probes Portal	
YEVOZZZLKJKCCD-UHFFFAOYSA-N	Mouse	1	mg/kg		1 mg/Kg	Chemical Probes Portal	
YEVOZZZLKJKCCD-UHFFFAOYSA-N	Mouse	100	mg/kg		3, 10, 30, 50, and 100 mg/kg	Chemical Probes Portal	
PRNXOFBDXNTIFG-FQEVSTJZSA-N	Mouse	10	mg/kg		10 mg/Kg	Chemical Probes Portal	
PRNXOFBDXNTIFG-FQEVSTJZSA-N	Mouse	100	mg/kg		100 mg/Kg	Chemical Probes Portal	
COOGVHJHSCBOQT-MRVPVSSYSA-N	Rat	2	mg/kg		2 mg/Kg	Chemical Probes Portal	
COOGVHJHSCBOQT-MRVPVSSYSA-N	Rat	10	mg/kg		10 mg/Kg	Chemical Probes Portal	
COOGVHJHSCBOQT-MRVPVSSYSA-N	Mouse	2	mg/kg		2 mg/Kg	Chemical Probes Portal	
COOGVHJHSCBOQT-MRVPVSSYSA-N	Mouse	5	mg/kg		5 mg/Kg	Chemical Probes Portal	
COOGVHJHSCBOQT-MRVPVSSYSA-N	Dog	2	mg/kg		2 mg/Kg	Chemical Probes Portal	
COOGVHJHSCBOQT-MRVPVSSYSA-N	Dog	10	mg/kg		10 mg/Kg	Chemical Probes Portal	
DLNFTRSEHUWEGO-HUUCEWRRSA-N	Mouse	50	mg/kg		50-200 mg/Kg BID	Chemical Probes Portal	
LIIWIMDSZVNYHY-UHFFFAOYSA-N	Other	5	mg/kg		5 mg/kg	Chemical Probes Portal	
PDMXSCCBEBCTGX-UHFFFAOYSA-N	Rat	3	mg/kg		3 mg/Kg	Chemical Probes Portal	
QBIGUDRHHJTXKG-UUWRZZSWSA-N	Mouse	100	mg/kg		3, 10, 30, 100 mg/kg BID or 60 mg/kg QD	Chemical Probes Portal	
QBIGUDRHHJTXKG-UUWRZZSWSA-N	Mouse	60	mg/kg		3, 10, 30, 100 mg/kg BID or 60 mg/kg QD	Chemical Probes Portal	
QBIGUDRHHJTXKG-UUWRZZSWSA-N	Rat	1	mg/kg		1 mg/kg	Chemical Probes Portal	
QBIGUDRHHJTXKG-UUWRZZSWSA-N	Rat	5	mg/kg		5 mg/kg	Chemical Probes Portal	
GRXCLNMCJWKTAT-UHFFFAOYSA-N	Mouse	1	mg/kg		1 mg/Kg	Chemical Probes Portal	
