inchikey	source_db	property	ordinal	value
XCFLWTZSJYBCPF-UHFFFAOYSA-N	Chemical Probes Portal	canSAR_ID	0	379695
XCFLWTZSJYBCPF-UHFFFAOYSA-N	Chemical Probes Portal	url	0	https://www.chemicalprobes.org/gne7915
ZYVXTMKTGDARKR-UHFFFAOYSA-N	Chemical Probes Portal	rating_in_cell	0	3
ZYVXTMKTGDARKR-UHFFFAOYSA-N	Chemical Probes Portal	rating_in_organism	0	0
ZYVXTMKTGDARKR-UHFFFAOYSA-N	Chemical Probes Portal	rating_count	0	3
ZYVXTMKTGDARKR-UHFFFAOYSA-N	Chemical Probes Portal	unsuitable	0	No
ZYVXTMKTGDARKR-UHFFFAOYSA-N	Chemical Probes Portal	pains	0	No
ZYVXTMKTGDARKR-UHFFFAOYSA-N	Chemical Probes Portal	toxicophore	0	No
ZYVXTMKTGDARKR-UHFFFAOYSA-N	Chemical Probes Portal	published_date	0	2015-12-10
ZYVXTMKTGDARKR-UHFFFAOYSA-N	Chemical Probes Portal	canSAR_ID	0	466178
ZYVXTMKTGDARKR-UHFFFAOYSA-N	Chemical Probes Portal	url	0	https://www.chemicalprobes.org/az191
YHHFKWKMXWRVTJ-OQKWZONESA-N	Chemical Probes Portal	rating_in_cell	0	0
YHHFKWKMXWRVTJ-OQKWZONESA-N	Chemical Probes Portal	rating_in_organism	0	0
YHHFKWKMXWRVTJ-OQKWZONESA-N	Chemical Probes Portal	rating_count	0	0
YHHFKWKMXWRVTJ-OQKWZONESA-N	Chemical Probes Portal	unsuitable	0	Yes
YHHFKWKMXWRVTJ-OQKWZONESA-N	Chemical Probes Portal	pains	0	No
YHHFKWKMXWRVTJ-OQKWZONESA-N	Chemical Probes Portal	toxicophore	0	Yes
YHHFKWKMXWRVTJ-OQKWZONESA-N	Chemical Probes Portal	published_date	0	2016-12-15
YHHFKWKMXWRVTJ-OQKWZONESA-N	Chemical Probes Portal	canSAR_ID	0	1354531
YHHFKWKMXWRVTJ-OQKWZONESA-N	Chemical Probes Portal	url	0	https://www.chemicalprobes.org/unsuitables/jib-04
MOUNHKKCIGVIDI-UHFFFAOYSA-L	Chemical Probes Portal	rating_in_cell	0	0
MOUNHKKCIGVIDI-UHFFFAOYSA-L	Chemical Probes Portal	rating_in_organism	0	0
MOUNHKKCIGVIDI-UHFFFAOYSA-L	Chemical Probes Portal	rating_count	0	0
MOUNHKKCIGVIDI-UHFFFAOYSA-L	Chemical Probes Portal	unsuitable	0	Yes
MOUNHKKCIGVIDI-UHFFFAOYSA-L	Chemical Probes Portal	pains	0	No
MOUNHKKCIGVIDI-UHFFFAOYSA-L	Chemical Probes Portal	toxicophore	0	No
MOUNHKKCIGVIDI-UHFFFAOYSA-L	Chemical Probes Portal	published_date	0	2017-03-07
MOUNHKKCIGVIDI-UHFFFAOYSA-L	Chemical Probes Portal	canSAR_ID	0	723373
MOUNHKKCIGVIDI-UHFFFAOYSA-L	Chemical Probes Portal	url	0	https://www.chemicalprobes.org/unsuitables/ami-1
XVBGRTMNFNMINE-UHFFFAOYSA-N	Chemical Probes Portal	rating_in_cell	0	0
XVBGRTMNFNMINE-UHFFFAOYSA-N	Chemical Probes Portal	rating_in_organism	0	0
XVBGRTMNFNMINE-UHFFFAOYSA-N	Chemical Probes Portal	rating_count	0	0
XVBGRTMNFNMINE-UHFFFAOYSA-N	Chemical Probes Portal	unsuitable	0	Yes
XVBGRTMNFNMINE-UHFFFAOYSA-N	Chemical Probes Portal	pains	0	No
XVBGRTMNFNMINE-UHFFFAOYSA-N	Chemical Probes Portal	toxicophore	0	No
XVBGRTMNFNMINE-UHFFFAOYSA-N	Chemical Probes Portal	published_date	0	2016-12-15
XVBGRTMNFNMINE-UHFFFAOYSA-N	Chemical Probes Portal	canSAR_ID	0	927800
XVBGRTMNFNMINE-UHFFFAOYSA-N	Chemical Probes Portal	url	0	https://www.chemicalprobes.org/unsuitables/xmd17-109
OMKHWTRUYNAGFG-IEBDPFPHSA-N	Chemical Probes Portal	rating_in_cell	0	0
OMKHWTRUYNAGFG-IEBDPFPHSA-N	Chemical Probes Portal	rating_in_organism	0	0
OMKHWTRUYNAGFG-IEBDPFPHSA-N	Chemical Probes Portal	rating_count	0	0
OMKHWTRUYNAGFG-IEBDPFPHSA-N	Chemical Probes Portal	unsuitable	0	Yes
OMKHWTRUYNAGFG-IEBDPFPHSA-N	Chemical Probes Portal	pains	0	No
OMKHWTRUYNAGFG-IEBDPFPHSA-N	Chemical Probes Portal	toxicophore	0	No
OMKHWTRUYNAGFG-IEBDPFPHSA-N	Chemical Probes Portal	published_date	0	2017-02-03
OMKHWTRUYNAGFG-IEBDPFPHSA-N	Chemical Probes Portal	canSAR_ID	0	1117457
OMKHWTRUYNAGFG-IEBDPFPHSA-N	Chemical Probes Portal	url	0	https://www.chemicalprobes.org/unsuitables/dznep
PZPPOCZWRGNKIR-PNVYSBBASA-N	Chemical Probes Portal	rating_in_cell	0	0
PZPPOCZWRGNKIR-PNVYSBBASA-N	Chemical Probes Portal	rating_in_organism	0	0
PZPPOCZWRGNKIR-PNVYSBBASA-N	Chemical Probes Portal	rating_count	0	0
PZPPOCZWRGNKIR-PNVYSBBASA-N	Chemical Probes Portal	unsuitable	0	Yes
PZPPOCZWRGNKIR-PNVYSBBASA-N	Chemical Probes Portal	pains	0	No
PZPPOCZWRGNKIR-PNVYSBBASA-N	Chemical Probes Portal	toxicophore	0	Yes
