inchikey	smiles	chembl_id	name
AFMXVBAHMGWYAZ-UHFFFAOYSA-N	Cc1ccc(-c2ccnc(Nc3cc(NC(=O)c4ccc(CN5CCN(C)CC5)cc4)ccc3C)n2)cn1	CHEMBL1079113	
AFSDNFLWKVMVRB-UHFFFAOYSA-N	O=c1oc2c(O)c(O)cc3c(=O)oc4c(O)c(O)cc1c4c23	CHEMBL6246	
AFVLVVWMAFSXCK-VMPITWQZSA-N	N#C/C(=C\c1ccc(O)cc1)C(=O)O	CHEMBL1885958	
AFZLABYDOCWQBQ-WOJBJXKFSA-N	COc1cccc(CCc2ccccc2OCC[C@@H]2C[C@@H](O)CN2C)c1	CHEMBL1415927	
AFZWZVLPIMHLSE-UHFFFAOYSA-N	Cc1cc(C)c(S(=O)(=O)n2cc(C)cc2C)c(C)c1	CHEMBL2313646	
AGAVJQRYUXAJGE-UHFFFAOYSA-N	CN1CCC(COCc2cc(-c3ccc(C#N)cc3)cc(C(F)(F)F)c2)(c2ccccc2)CC1	CHEMBL3596492	
AGBQKNBQESQNJD-SSDOTTSWSA-N	O=C(O)CCCC[C@@H]1CCSS1	CHEMBL134342	
AGBSXNCBIWWLHD-FQEVSTJZSA-N	COc1ncc(-c2nc3c(n2C(C)C)[C@H](c2ccc(Cl)cc2)N(c2cc(Cl)cn(C)c2=O)C3=O)c(OC)n1	CHEMBL3653256	
AGKAAJMNNVUNDK-UHFFFAOYSA-N	O=C(NCCCN1CCCCCC1)C(c1ccccc1)C1CCCCC1	CHEMBL1378945	
AGLCGCXQQDBYKJ-UHFFFAOYSA-N	COc1cccc(NCCC2(c3ccccc3)CC(C)(C)OC(C)(C)C2)c1	CHEMBL1800705	
AGNFWIZBEATIAK-UHFFFAOYSA-N	NCCCCc1ccccc1	CHEMBL79512	
AGPIHNZOZNKRGT-CYBMUJFWSA-N	O=C(c1cc(S(=O)(=O)Nc2ccccc2F)c(F)cc1Cl)N1CCN2CCC[C@@H]2C1	CHEMBL3589557	
AGPKZVBTJJNPAG-WHFBIAKZSA-N	CC[C@H](C)[C@H](N)C(=O)O	CHEMBL1233584	
AGSPXMVUFBBBMO-UHFFFAOYSA-N	N#CCCN	CHEMBL1618272	
AGVNHDNTFYHZNL-QGZVFWFLSA-N	Cc1cccc(S(=O)(=O)N(C)[C@H](C)CCN2CCC(C)CC2)c1	CHEMBL12264	
AGZMQTIIZFXACL-UHFFFAOYSA-N	NS(=O)(=O)c1ccc(NS(=O)(=O)c2ccc([N+](=O)[O-])cc2)cc1	CHEMBL23684	
AHGMXAFUHVRQAD-UHFFFAOYSA-N	COC(=O)c1cc(Oc2ccc(C(F)(F)F)cc2Cl)ccc1[N+](=O)[O-]	CHEMBL2269735	
AHIFMZUYRNPRJK-MHZLTWQESA-N	O=P(CN[C@@H](Cc1ccc(-c2ccccc2)cc1)c1nn[nH]n1)(Oc1ccccc1)Oc1ccccc1	CHEMBL36795	
AHJRHEGDXFFMBM-UHFFFAOYSA-N	CC(=O)c1c(C)c2cnc(Nc3ccc(N4CCNCC4)cn3)nc2n(C2CCCC2)c1=O	CHEMBL189963	
AHJRSKVOELIMOX-RVXWVPLUSA-N	CCCCC#Cc1nc(N)c2ncn([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)c2n1	CHEMBL319387	
AHLBNYSZXLDEJQ-FWEHEUNISA-N	CCCCCCCCCCC[C@@H](C[C@@H]1OC(=O)[C@H]1CCCCCC)OC(=O)[C@H](CC(C)C)NC=O	CHEMBL175247	
AIBHLZVVPXCTKY-SRCQZFHVSA-N	CN1C[C@H](Cn2cncn2)C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21		
AICVIWJSFCXEOX-UHFFFAOYSA-N	Cc1c(F)ccc(C(=O)Nc2cc(-c3ccncc3)ccc2N2CCN(C)CC2)c1Cl	CHEMBL3823308	
AIFRHYZBTHREPW-UHFFFAOYSA-N	c1ccc2c(c1)[nH]c1cnccc12	CHEMBL275224	
AINBDMJFHOKBDF-UHFFFAOYSA-N	CC(=O)Nc1ccc2c(=O)n(O)c(=O)[nH]c2c1	CHEMBL3617200	
AIOCFZJGGGEWDK-UHFFFAOYSA-N	COc1cc(-c2cn(C)c(=O)c3cnccc23)cc(OC)c1CN(C)CC(=O)NCCOCCOCCNc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O		
AIONOLUJZLIMTK-AWEZNQCLSA-N	COc1ccc([C@@H]2CC(=O)c3c(O)cc(O)cc3O2)cc1O	CHEMBL399121	
AIVSIRYZIBXTMM-UHFFFAOYSA-N	CCOC(=O)C(c1ccccc1)C1CCCCN1	CHEMBL1187932	
AIXMJTYHQHQJLU-UHFFFAOYSA-N	COC(=O)CC1CC(c2ccc(O)cc2)=NO1	CHEMBL210858	
AJBBEYXFRYFVNM-UHFFFAOYSA-N	CCCn1c(=O)c2[nH]c(-c3ccc(OCC(=O)Nc4ccc(C#N)cc4)cc3)nc2n(CCC)c1=O	CHEMBL273807	
AJFFBPZYXRNAIC-UHFFFAOYSA-N	Cc1c(C(=O)NN2CCOCC2)nn(-c2ccc(Cl)cc2Cl)c1-c1ccc(I)cc1	CHEMBL476833	
AJFGLTPLWPTALJ-SSDOTTSWSA-N	N[C@@](CF)(Cc1c[nH]cn1)C(=O)O	CHEMBL4079279	
AJIAMIPUWJQSPR-UHFFFAOYSA-N	Cn1cnnc1C1CCN(c2ncccc2-c2ccc(F)nc2)CC1		
AJKSBVCOTKODMF-UHFFFAOYSA-N	O=C1CC(=O)N(C2CCCC2)C(=O)N1CCc1cccc(Cl)c1	CHEMBL2381008	
AJRGHIGYPXNABY-UHFFFAOYSA-N	COc1ccc(Cn2ccc3ccc(C(=O)NO)cc32)cc1	CHEMBL2170177	
AKFNADJKXYYHSU-WHPWKXGYSA-N	C[C@@H]1CN(c2ccc(S(C)(=O)=O)cc2)CCN1c1cccc(C(=O)NC2C3CC4CC2CC(O)(C4)C3)n1	CHEMBL3401681	
AKJULTWNHWSAFM-UHFFFAOYSA-N	CS(=O)(=O)c1ccc(CC(=O)Nc2cc(Cl)c(-c3ccccc3OC(F)(F)F)c(Cl)c2)cc1	CHEMBL3609408	
AKMNUCBQGHFICM-UHFFFAOYSA-N	Cc1nc2ccc(NC(=O)Nc3ccnc4cccnc34)cc2o1	CHEMBL2111553	
