inchikey	smiles	chembl_id	name
HWUHTJIKQZZBRA-UHFFFAOYSA-N	Cl.Cl.NC1(c2ccc(-c3nc4ccn5c(=O)[nH]nc5c4cc3-c3ccccc3)cc2)CCC1		MK-2206 2HCl
HXNUFFCHRIWTRZ-UHFFFAOYSA-N	Nc1c(C(=O)NCc2ccc(C(=O)NCCCC3CCCCC3)cc2)cnn1-c1ccccc1		SR318
ZLHFILGSQDJULK-UHFFFAOYSA-N	COC1=C(C(=CC=C1)F)C2=NCC3=CN=C(N=C3C4=C2C=C(C=C4)Cl)NC5=CC(=C(C=C5)C(=O)O)OC		Alisertib
OLIIUAHHAZEXEX-UHFFFAOYSA-N	CC1=C(C(=O)Nc2cc3cn[nH]c3cc2F)C(c2ccc(C(F)(F)F)cc2)CC(=O)N1		GSK429286A
DEZZLWQELQORIU-UHFFFAOYSA-N	OCCn1cc(-c2ccc3c(c2)CCC3=NO)c(-c2ccncc2)n1		GDC-0879
FWLMVFUGMHIOAA-UHFFFAOYSA-N	CNC(C1=CC=C(NC2=NC=C(C(F)(F)F)C(NCC3=C(N(S(C)(=O)=O)C)N=CC=N3)=N2)C=C1)=O		PF-04554878
ZCCPLJOKGAACRT-UHFFFAOYSA-N	Cc1ccc(C(=O)Nc2cccc(C(F)(F)F)c2)cc1Nc1nc(-c2cccnc2)nc2c1cnn2C		NVP-BHG712
ISPBCAXOSOLFME-UHFFFAOYSA-N	CCOc1cn(-c2ccc(F)cc2C)nc1C(=O)Nc1ccc(Oc2ccnc3cc(OC)c(OC)cc23)c(F)c1		LDC1267
QLPHOXTXAKOFMU-WBVHZDCISA-N	CNc1nc(-c2ccc3c(N)n[nH]c3c2)cc(N2C[C@@H](C(=O)NC3CCCCC3)CC[C@H]2C)n1		GSK2334470
AXRCEOKUDYDWLF-UHFFFAOYSA-N	Cn1cc(C2=C(c3cn(C4CCN(Cc5ccccn5)CC4)c4ccccc34)C(=O)NC2=O)c2ccccc21		Enzastaurin
FWKRCZKMCJOFNG-UHFFFAOYSA-N	CN1CCN(Cc2cc(NC(=O)c3ccc4c(c3)CN(c3ccccc3)CC4)cc(C(F)(F)F)c2)CC1		DDR-TRK-1N (380079)
